内容,主题概率,主题类型
外观 看着 不错 口感,"[(0, 0.018188938), (1, 0.018188668), (2, 0.018189736), (3, 0.018188262), (4, 0.01818879), (5, 0.018188464), (6, 0.018189184), (7, 0.16372935), (8, 0.67257047), (9, 0.018187853), (10, 0.01819028)]",8
山芋 粉丝 差别 掰断 表面 发亮 味道 商家 粉丝 山芋 粉丝,"[(7, 0.92420506)]",7
去年 感觉 打开 包装 刺鼻 味道 包装袋 粉条,"[(0, 0.010103883), (1, 0.01010439), (2, 0.010103616), (3, 0.010104886), (4, 0.69376457), (5, 0.01010443), (6, 0.010104293), (7, 0.21529898), (8, 0.010104047), (9, 0.010103285), (10, 0.010103565)]",4
粉条 太粗 开水 下锅 煮熟,"[(0, 0.015162149), (1, 0.015162279), (2, 0.015162138), (3, 0.0151621485), (4, 0.8483769), (5, 0.015162109), (6, 0.01516213), (7, 0.015162619), (8, 0.015162118), (9, 0.015162201), (10, 0.015163172)]",4
中评 粉条 味道 根本就是 图片 那种,"[(0, 0.012989259), (1, 0.012990043), (2, 0.01299278), (3, 0.012989315), (4, 0.01299154), (5, 0.012991143), (6, 0.22233652), (7, 0.012989402), (8, 0.6607516), (9, 0.01298918), (10, 0.012989209)]",8
毛重 老师 折断 一根 的要 几下,"[(0, 0.012996884), (1, 0.012996884), (2, 0.012996884), (3, 0.012997122), (4, 0.012997553), (5, 0.012996897), (6, 0.012996884), (7, 0.0129969055), (8, 0.012996884), (9, 0.012996914), (10, 0.8700302)]",10
粉条 快递 满意,"[(0, 0.022728197), (1, 0.0227279), (2, 0.02272825), (3, 0.022728778), (4, 0.57312053), (5, 0.022728436), (6, 0.022728004), (7, 0.022729632), (8, 0.2223241), (9, 0.02272809), (10, 0.022728136)]",4
评价 口感 不像 主播 好吃 几块钱 一斤 价格 买到 粉条 拍照,"[(2, 0.74215335), (6, 0.08274585), (7, 0.114462785)]",2
配量 干净 感觉 太粗 喜欢 细点,"[(0, 0.0129978685), (1, 0.012995911), (2, 0.012999051), (3, 0.87001896), (4, 0.012999324), (5, 0.013000993), (6, 0.013003), (7, 0.012996618), (8, 0.012995506), (9, 0.012996407), (10, 0.012996411)]",3
老板 可不是 红薯 粉条 乡下人,"[(0, 0.015160716), (1, 0.0151608335), (2, 0.015160805), (3, 0.015160255), (4, 0.015164558), (5, 0.015160284), (6, 0.015160339), (7, 0.0151602505), (8, 0.015160385), (9, 0.015160589), (10, 0.848391)]",10
太粗 南方人 喜欢 口感 正宗 粉丝,"[(0, 0.01299298), (1, 0.012992678), (2, 0.012992601), (3, 0.012992315), (4, 0.012993587), (5, 0.22836296), (6, 0.012994273), (7, 0.65470016), (8, 0.012992543), (9, 0.012993347), (10, 0.012992525)]",7
感觉 正宗 红薯 煮熟,"[(0, 0.018193675), (1, 0.81805575), (2, 0.018194273), (3, 0.018194782), (4, 0.01819499), (5, 0.018195199), (6, 0.018193847), (7, 0.01819385), (8, 0.018194402), (9, 0.01819356), (10, 0.018195642)]",1
今晚 做点 地瓜 给放 三分之一 粉条 满意 价格 便宜 收到 质量 碎粉 肯定 便宜,"[(4, 0.9393642)]",4
口感 不错 不粘锅 一小 抖开 情况 发给 买家,"[(0, 0.01010987), (1, 0.01011001), (2, 0.89889765), (3, 0.010109953), (4, 0.010110768), (5, 0.010109814), (6, 0.010110141), (7, 0.010110559), (8, 0.01011125), (9, 0.010109942), (10, 0.01011006)]",2
好吃 直播,"[(0, 0.030303901), (1, 0.030307172), (2, 0.69695187), (3, 0.030305369), (4, 0.03030379), (5, 0.03030823), (6, 0.030304955), (7, 0.03030333), (8, 0.030304184), (9, 0.030303694), (10, 0.030303566)]",2
十八里,"[(0, 0.04549854), (1, 0.04549854), (2, 0.04549854), (3, 0.04549854), (4, 0.04549854), (5, 0.04549854), (6, 0.04549854), (7, 0.04549854), (8, 0.04549854), (9, 0.5450146), (10, 0.04549854)]",9
太粗 一倍,"[(0, 0.0303332), (1, 0.0303332), (2, 0.0303332), (3, 0.030333787), (4, 0.301938), (5, 0.03033355), (6, 0.0303332), (7, 0.030335378), (8, 0.0303332), (9, 0.42505533), (10, 0.030337963)]",9
粉条 收到 不知 收到 粉条 全是 大嘎达 做生意 希望 解释一下 只能,"[(9, 0.9242188)]",9
收到 细粉 粉条 本来 很粗 泡发 粉条 粉条 太粗 希望 商家 改进 粉条 太粗 满意 满意 满意,"[(4, 0.9494849)]",4
主播 粉条 折断 收到 折不断 不买 偏要 外地,"[(0, 0.010109186), (1, 0.0101087885), (2, 0.010109475), (3, 0.8989077), (4, 0.010111863), (5, 0.010108656), (6, 0.010108967), (7, 0.01010862), (8, 0.010108664), (9, 0.010109002), (10, 0.010109048)]",3
直播间 产品 收到 粉条 标有 几次 一点红 香味,"[(0, 0.010105192), (1, 0.010105684), (2, 0.010105211), (3, 0.010105043), (4, 0.7344581), (5, 0.1745941), (6, 0.010104888), (7, 0.010105991), (8, 0.010105375), (9, 0.010105552), (10, 0.010104924)]",4
不出 好长时间,"[(0, 0.030339075), (1, 0.030339075), (2, 0.030339075), (3, 0.696607), (4, 0.030339075), (5, 0.030339075), (6, 0.030339075), (7, 0.030341318), (8, 0.030339075), (9, 0.030339075), (10, 0.030339075)]",3
很久 不熟 白菜 白菜 粉条 好久 导致 整道菜 好吃 家里 那种 好吃 家里 那种 不用 白菜 粉条 口感 还好,"[(4, 0.071076594), (5, 0.8254679), (8, 0.067072175)]",5
粉条 不好 小时候 生产队 下过 红薯 粉条 东方 甄选 推荐 不敢相信 希望 东方 甄选 更远,"[(4, 0.94315255)]",4
追评 好坏 设定 评价 说瞎话 评上 质量 追评,"[(0, 0.12505795), (1, 0.010106824), (2, 0.0101065915), (3, 0.01010678), (4, 0.010106909), (5, 0.010106595), (6, 0.010107947), (7, 0.010107455), (8, 0.78397965), (9, 0.010106749), (10, 0.010106597)]",8
红薯 不烂 食用 不动 我会 懂行 帮看,"[(0, 0.011400562), (1, 0.011401442), (2, 0.011400851), (3, 0.011400617), (4, 0.011400682), (5, 0.0114005795), (6, 0.011400565), (7, 0.01140073), (8, 0.011400716), (9, 0.8859906), (10, 0.01140267)]",9
粉条 太粗 以往 口感 好像 食用,"[(0, 0.01298966), (1, 0.012989217), (2, 0.21175669), (3, 0.012989209), (4, 0.25763163), (5, 0.012989275), (6, 0.012989402), (7, 0.012990947), (8, 0.012988859), (9, 0.42669472), (10, 0.012990393)]",9
红薯 好像 食用 胶嚼不动,"[(0, 0.018186871), (1, 0.018189497), (2, 0.01819039), (3, 0.018186988), (4, 0.018187167), (5, 0.01818687), (6, 0.018186824), (7, 0.018187309), (8, 0.018187342), (9, 0.818122), (10, 0.018188734)]",9
没开 该个 好吃 好评,"[(0, 0.01819348), (1, 0.018194983), (2, 0.6452719), (3, 0.018193945), (4, 0.19098037), (5, 0.018194897), (6, 0.018193873), (7, 0.018194051), (8, 0.018193616), (9, 0.018193725), (10, 0.018195113)]",2
粉丝 主播 口感 不好,"[(0, 0.61145186), (1, 0.018183349), (2, 0.018184422), (3, 0.018183246), (4, 0.018184101), (5, 0.018183658), (6, 0.018183699), (7, 0.018186858), (8, 0.018182574), (9, 0.22489218), (10, 0.018184057)]",0
粉条 口感 黏腻 没什么 弹性,"[(0, 0.015164606), (1, 0.015164676), (2, 0.015165897), (3, 0.015164763), (4, 0.30481654), (5, 0.015168272), (6, 0.01516451), (7, 0.55869746), (8, 0.015164165), (9, 0.015164242), (10, 0.015164808)]",7
打开 袋子 刺鼻 味道 袋子 粉条 味道,"[(0, 0.011370008), (1, 0.0113701355), (2, 0.011369628), (3, 0.011370882), (4, 0.3277609), (5, 0.011370542), (6, 0.56990856), (7, 0.011370095), (8, 0.011370161), (9, 0.0113695245), (10, 0.011369575)]",6
收到 品质 还好,"[(0, 0.022728277), (1, 0.7727074), (2, 0.02273), (3, 0.022730345), (4, 0.022729464), (5, 0.022728207), (6, 0.022728564), (7, 0.02272926), (8, 0.022731367), (9, 0.02272893), (10, 0.02272815)]",1
粉条 口感 不好 红薯 粉条,"[(0, 0.015154048), (1, 0.015153458), (2, 0.015153024), (3, 0.015152286), (4, 0.48633876), (5, 0.015152821), (6, 0.015152503), (7, 0.015153348), (8, 0.015152305), (9, 0.015152583), (10, 0.37728482)]",4
价格比 口感 还行,"[(0, 0.022736685), (1, 0.02273723), (2, 0.022737615), (3, 0.022737492), (4, 0.022736369), (5, 0.022737285), (6, 0.022736583), (7, 0.7726281), (8, 0.022736367), (9, 0.022737691), (10, 0.022738526)]",7
好久 不烂,"[(0, 0.03030811), (1, 0.03030811), (2, 0.03030811), (3, 0.030308548), (4, 0.030308304), (5, 0.34661302), (6, 0.03030811), (7, 0.03030811), (8, 0.03030811), (9, 0.38061208), (10, 0.03030941)]",9
分成 两个 包装,"[(0, 0.022756824), (1, 0.022757426), (2, 0.022758666), (3, 0.022756705), (4, 0.3469494), (5, 0.44822147), (6, 0.022760725), (7, 0.022758173), (8, 0.02276289), (9, 0.022757798), (10, 0.022759892)]",5
想要 那种,"[(0, 0.030306801), (1, 0.030307673), (2, 0.69692814), (3, 0.030306816), (4, 0.030306961), (5, 0.030308167), (6, 0.030307323), (7, 0.03030696), (8, 0.03030757), (9, 0.030306801), (10, 0.030306801)]",2
粉条 质量 一般化,"[(0, 0.7726026), (1, 0.022738453), (2, 0.022739185), (3, 0.022738827), (4, 0.022744743), (5, 0.022738468), (6, 0.022739923), (7, 0.022738684), (8, 0.022740433), (9, 0.02273944), (10, 0.022739243)]",0
粉条 收到 试吃 快递,"[(0, 0.018183384), (1, 0.018183416), (2, 0.018184036), (3, 0.018183783), (4, 0.81815094), (5, 0.01818293), (6, 0.01818758), (7, 0.018186478), (8, 0.018190729), (9, 0.01818339), (10, 0.01818335)]",4
沂沟 红薯 粉条 地瓜 粉条 不错,"[(0, 0.012990138), (1, 0.012992024), (2, 0.012991127), (3, 0.012990408), (4, 0.8700917), (5, 0.012990205), (6, 0.012990475), (7, 0.01299054), (8, 0.012991147), (9, 0.01299062), (10, 0.012991633)]",4
试吃 评论,"[(0, 0.03030374), (1, 0.030304316), (2, 0.030303909), (3, 0.030303786), (4, 0.030304046), (5, 0.030304674), (6, 0.69695723), (7, 0.030307177), (8, 0.030303704), (9, 0.030303704), (10, 0.030303756)]",6
上当 细粉,"[(0, 0.030307228), (1, 0.6969216), (2, 0.030307228), (3, 0.030308936), (4, 0.030307757), (5, 0.030307228), (6, 0.03030767), (7, 0.030307228), (8, 0.030309288), (9, 0.030307228), (10, 0.030308621)]",1
粉条 商家 几元 感觉 地瓜,"[(0, 0.015159377), (1, 0.015160507), (2, 0.015159575), (3, 0.015160869), (4, 0.48186642), (5, 0.015160338), (6, 0.015159676), (7, 0.015159423), (8, 0.015159327), (9, 0.0151604945), (10, 0.38169402)]",4
水份 好吃 红薯,"[(0, 0.022731021), (1, 0.7726962), (2, 0.022730052), (3, 0.022730922), (4, 0.022731507), (5, 0.022731163), (6, 0.022729594), (7, 0.022730103), (8, 0.02272982), (9, 0.022729492), (10, 0.02273012)]",1
发过来 粉条 好多,"[(0, 0.022735436), (1, 0.46928787), (2, 0.022735372), (3, 0.022734469), (4, 0.32609767), (5, 0.022734966), (6, 0.022734612), (7, 0.022734344), (8, 0.022734676), (9, 0.022734856), (10, 0.022735706)]",1
粉条 收到 了用 评论,"[(0, 0.018193943), (1, 0.018193796), (2, 0.613651), (3, 0.018193671), (4, 0.018198429), (5, 0.018193848), (6, 0.018195592), (7, 0.22259831), (8, 0.018193398), (9, 0.018194128), (10, 0.018193876)]",2
不值 价钱 看着,"[(0, 0.28704238), (1, 0.022728767), (2, 0.022729743), (3, 0.022729594), (4, 0.022732655), (5, 0.022729281), (6, 0.022731826), (7, 0.02273), (8, 0.27096087), (9, 0.022731544), (10, 0.26015335)]",0
买上 回来 试了试,"[(0, 0.022744698), (1, 0.022744734), (2, 0.022744631), (3, 0.022744708), (4, 0.77255213), (5, 0.02274606), (6, 0.022744607), (7, 0.022744607), (8, 0.022744607), (9, 0.022744628), (10, 0.022744626)]",4
快递 驿站 服务 特别 垃圾,"[(0, 0.0151537135), (1, 0.015154666), (2, 0.17299545), (3, 0.015152839), (4, 0.015153601), (5, 0.0151545545), (6, 0.015154868), (7, 0.015153196), (8, 0.6906212), (9, 0.015152906), (10, 0.015152995)]",8
口感 甜丝,"[(0, 0.030318625), (1, 0.030318005), (2, 0.030318787), (3, 0.030317886), (4, 0.030317662), (5, 0.03031816), (6, 0.030318309), (7, 0.030320618), (8, 0.030317435), (9, 0.030317364), (10, 0.69681716)]",10
收到 好吃 评价,"[(0, 0.022729829), (1, 0.7727059), (2, 0.022730606), (3, 0.022729095), (4, 0.022729713), (5, 0.02272888), (6, 0.022728499), (7, 0.022731211), (8, 0.022729145), (9, 0.022728873), (10, 0.02272823)]",1
粉条 太粗 口感,"[(0, 0.022731991), (1, 0.0227303), (2, 0.022732358), (3, 0.022730175), (4, 0.77268296), (5, 0.022730742), (6, 0.022731163), (7, 0.022738082), (8, 0.022729), (9, 0.022729034), (10, 0.022734176)]",4
外表 土豆粉,"[(0, 0.030338196), (1, 0.030339293), (2, 0.030338196), (3, 0.030338196), (4, 0.030338196), (5, 0.030338196), (6, 0.6966031), (7, 0.030338196), (8, 0.030338196), (9, 0.030341247), (10, 0.030348925)]",6
确实 小时候 味道 差评,"[(0, 0.01819659), (1, 0.0181926), (2, 0.0181944), (3, 0.018192893), (4, 0.52247655), (5, 0.01819388), (6, 0.31378073), (7, 0.018193634), (8, 0.018195393), (9, 0.018191807), (10, 0.018191466)]",4
不好 评价,"[(0, 0.6969558), (1, 0.030304933), (2, 0.030303419), (3, 0.03030339), (4, 0.030304257), (5, 0.030304238), (6, 0.030303398), (7, 0.030307863), (8, 0.030305102), (9, 0.030303555), (10, 0.030304048)]",0
红薯 差别,"[(0, 0.030305212), (1, 0.35173953), (2, 0.030307036), (3, 0.030305456), (4, 0.030306177), (5, 0.3755027), (6, 0.03030541), (7, 0.030306963), (8, 0.030306216), (9, 0.030306485), (10, 0.030308833)]",5
不咋好,"[(0, 0.045498546), (1, 0.045498546), (2, 0.045498546), (3, 0.045498546), (4, 0.045504738), (5, 0.045498546), (6, 0.045498546), (7, 0.045498546), (8, 0.045498546), (9, 0.54500836), (10, 0.045498546)]",9
粉条 味道,"[(0, 0.030306175), (1, 0.030306658), (2, 0.030304773), (3, 0.030308116), (4, 0.42806026), (5, 0.29918456), (6, 0.030307204), (7, 0.03030635), (8, 0.030306656), (9, 0.030304454), (10, 0.030304793)]",4
粉条 质量 真不,"[(0, 0.022735227), (1, 0.022728104), (2, 0.022728149), (3, 0.02272826), (4, 0.77270424), (5, 0.022728046), (6, 0.022733962), (7, 0.022728788), (8, 0.02272816), (9, 0.022728886), (10, 0.02272816)]",4
还么,"[(0, 0.045514654), (1, 0.045514654), (2, 0.045514654), (3, 0.045514654), (4, 0.045514654), (5, 0.045514654), (6, 0.54485345), (7, 0.045514654), (8, 0.045514654), (9, 0.045514654), (10, 0.045514654)]",6
真心话 质量,"[(0, 0.6967518), (1, 0.030324517), (2, 0.030324487), (3, 0.030324547), (4, 0.030324819), (5, 0.030324496), (6, 0.030326935), (7, 0.03032473), (8, 0.030324508), (9, 0.030324714), (10, 0.030324487)]",0
斤两 不算,"[(0, 0.030308783), (1, 0.030308535), (2, 0.030308593), (3, 0.6969079), (4, 0.030309228), (5, 0.030313076), (6, 0.030308535), (7, 0.030308828), (8, 0.030308632), (9, 0.030308647), (10, 0.030309303)]",3
质量 不好,"[(0, 0.6969624), (1, 0.030303368), (2, 0.030303186), (3, 0.030303253), (4, 0.030304207), (5, 0.030304052), (6, 0.030305333), (7, 0.030303517), (8, 0.030303204), (9, 0.030303644), (10, 0.030303823)]",0
粉丝 太粗 不好,"[(0, 0.022732254), (1, 0.022729069), (2, 0.022728836), (3, 0.022728948), (4, 0.7726972), (5, 0.022730181), (6, 0.02272905), (7, 0.022731006), (8, 0.022728836), (9, 0.022734724), (10, 0.022729922)]",4
一点 包装 东西 纸箱装 不想,"[(0, 0.015154978), (1, 0.015156687), (2, 0.01515744), (3, 0.015155239), (4, 0.015159861), (5, 0.0151563315), (6, 0.015154912), (7, 0.01515692), (8, 0.015154774), (9, 0.015156346), (10, 0.84843653)]",10
子孙 四代 商家 补偿 发错 好吃,"[(0, 0.012995366), (1, 0.012997733), (2, 0.012996235), (3, 0.012995778), (4, 0.8700385), (5, 0.012997409), (6, 0.012996143), (7, 0.012995178), (8, 0.012995582), (9, 0.012996161), (10, 0.012995898)]",4
南瓜 收到 相差 第一次 挺好 回购 只能 回购,"[(0, 0.01010447), (1, 0.0101049505), (2, 0.010104896), (3, 0.010104677), (4, 0.5127986), (5, 0.39625603), (6, 0.010104299), (7, 0.010106473), (8, 0.010104523), (9, 0.010106276), (10, 0.010104777)]",4
第一次 购买 精品 大果 快递 十多天 没到 申请 售后 退货 精品 大果 一份 大果 一份 无语,"[(5, 0.81562436), (7, 0.1362202)]",5
收到 下次 泡沫 包装 保护 作用 更好,"[(0, 0.011371236), (1, 0.011371211), (2, 0.01137128), (3, 0.011371265), (4, 0.88628757), (5, 0.011370962), (6, 0.01137099), (7, 0.011371088), (8, 0.01137094), (9, 0.01137214), (10, 0.011371275)]",4
收到 包装 南瓜 破损 试吃 追评,"[(0, 0.012988514), (1, 0.012988724), (2, 0.012989813), (3, 0.012988585), (4, 0.8701091), (5, 0.0129885385), (6, 0.012990484), (7, 0.012989088), (8, 0.012990009), (9, 0.012988637), (10, 0.012988501)]",4
一共 六个 很小 稍微 大点 吃起 发图片 几个 口感,"[(5, 0.61454505), (7, 0.2101533), (10, 0.102494076)]",5
南瓜 味道 发来 四个 切开,"[(0, 0.015154591), (1, 0.015155483), (2, 0.015156953), (3, 0.015154802), (4, 0.015155159), (5, 0.42577705), (6, 0.015154685), (7, 0.015154711), (8, 0.015154756), (9, 0.015154627), (10, 0.43782717)]",10
为啥 感觉 南瓜,"[(0, 0.022729363), (1, 0.02273076), (2, 0.022729097), (3, 0.022731392), (4, 0.022732006), (5, 0.022732425), (6, 0.02272849), (7, 0.022728791), (8, 0.02272893), (9, 0.022729669), (10, 0.7726991)]",10
南瓜 便宜 太软 喜欢 估计 老年人 喜欢,"[(0, 0.011369504), (1, 0.011368493), (2, 0.011368569), (3, 0.011368786), (4, 0.6748364), (5, 0.011369527), (6, 0.2228435), (7, 0.011368504), (8, 0.011368386), (9, 0.011369343), (10, 0.011369008)]",4
质量 不好 客服 赏点 懒得,"[(0, 0.46351314), (1, 0.0151606705), (2, 0.015160113), (3, 0.015160774), (4, 0.015160378), (5, 0.015160309), (6, 0.40004173), (7, 0.015160975), (8, 0.015160106), (9, 0.015160333), (10, 0.015161441)]",0
南瓜 直播 展示 蒸蛋 感觉 水挺,"[(0, 0.15081526), (1, 0.012998128), (2, 0.012999389), (3, 0.012998864), (4, 0.012998292), (5, 0.7322007), (6, 0.012997772), (7, 0.012997799), (8, 0.012997809), (9, 0.012997899), (10, 0.01299808)]",5
假贝 生鲜 假货 谁家 老北鼻 淘宝 南瓜 不甜 真贝 淘宝 垃圾 商品 管控 淘宝 严谨 售后服务,"[(5, 0.82200825), (10, 0.12979294)]",5
一点 好吃 香味 正宗 南瓜,"[(0, 0.01515236), (1, 0.015152766), (2, 0.015152461), (3, 0.015152176), (4, 0.015152764), (5, 0.84847534), (6, 0.015152299), (7, 0.015152458), (8, 0.015152517), (9, 0.0151525475), (10, 0.015152339)]",5
特别 店里 好吃 感觉 长老,"[(0, 0.015159718), (1, 0.8483998), (2, 0.015160419), (3, 0.015160476), (4, 0.015159724), (5, 0.015160723), (6, 0.015160137), (7, 0.0151595045), (8, 0.015160082), (9, 0.015159647), (10, 0.015159798)]",1
精品 大果 一箱 四个 算是 大果 好不好 收到,"[(0, 0.010106212), (1, 0.010107742), (2, 0.010107552), (3, 0.010106501), (4, 0.010107189), (5, 0.010107021), (6, 0.01010703), (7, 0.010106406), (8, 0.010106144), (9, 0.266688), (10, 0.6423502)]",10
摔裂,"[(0, 0.045540556), (1, 0.045540556), (2, 0.5445944), (3, 0.045540556), (4, 0.045540556), (5, 0.045540556), (6, 0.045540556), (7, 0.045540556), (8, 0.045540556), (9, 0.045540556), (10, 0.045540556)]",2
买到 假贝 一点 不甜 少籽,"[(0, 0.015158403), (1, 0.015158573), (2, 0.015158436), (3, 0.015158395), (4, 0.015158758), (5, 0.8484151), (6, 0.015158383), (7, 0.015158396), (8, 0.015158381), (9, 0.015158646), (10, 0.015158566)]",5
买回来 十天 水汪 不面 不甜 南瓜 切开 多久,"[(0, 0.010107033), (1, 0.010107703), (2, 0.010106757), (3, 0.010106747), (4, 0.010107366), (5, 0.010108294), (6, 0.010106742), (7, 0.010106665), (8, 0.010106975), (9, 0.010107629), (10, 0.89892805)]",10
正宗 南瓜,"[(0, 0.030306485), (1, 0.030307645), (2, 0.030306818), (3, 0.030305672), (4, 0.030308487), (5, 0.69692963), (6, 0.03030621), (7, 0.030306691), (8, 0.030308988), (9, 0.030307066), (10, 0.030306323)]",5
中果 大小 八个 三个 四个 五个 却是 八个 中午 一点,"[(8, 0.2740984), (10, 0.651464)]",10
到货 太大 优选 很小 小点 味道,"[(0, 0.32306978), (1, 0.012998887), (2, 0.012998375), (3, 0.012999229), (4, 0.012998215), (5, 0.013000078), (6, 0.012999045), (7, 0.013000022), (8, 0.0129989395), (9, 0.012998676), (10, 0.5599388)]",10
收到 四个,"[(0, 0.030305902), (1, 0.030307582), (2, 0.030313266), (3, 0.030308029), (4, 0.030311052), (5, 0.03030392), (6, 0.030305563), (7, 0.030305764), (8, 0.030303877), (9, 0.030308258), (10, 0.6969268)]",10
南瓜 食用 习惯,"[(0, 0.022734934), (1, 0.022735931), (2, 0.022735469), (3, 0.022734674), (4, 0.022736719), (5, 0.0227363), (6, 0.02273462), (7, 0.022735735), (8, 0.02273508), (9, 0.77264524), (10, 0.022735348)]",9
拆开 快递 四个 南瓜 破成 块儿,"[(0, 0.012994139), (1, 0.012994316), (2, 0.012994048), (3, 0.012993978), (4, 0.012994973), (5, 0.012994684), (6, 0.012993925), (7, 0.0129944645), (8, 0.2805509), (9, 0.012994385), (10, 0.6025002)]",10
南瓜 个头 不小 中果 四个 说实话 味道 贝瓜 太水 甜度 水唧 瓜味 很重 按碎 南瓜饼 好吃 一分 价钱 一分货 贪便宜,"[(0, 0.17585276), (2, 0.7368154), (10, 0.052667353)]",2
一点 分钟 直播间 不粉 包赔 当是 生意 再也不会,"[(0, 0.010107036), (1, 0.13365218), (2, 0.0101072015), (3, 0.010107478), (4, 0.010107974), (5, 0.010108188), (6, 0.010106925), (7, 0.010107901), (8, 0.01010822), (9, 0.010107389), (10, 0.77537954)]",10
第一次 好吃 不粉 难吃 小果 特别 第一次 大个,"[(0, 0.0101019535), (1, 0.01010396), (2, 0.010104), (3, 0.010103706), (4, 0.010102357), (5, 0.89897275), (6, 0.0101020755), (7, 0.010101879), (8, 0.010101834), (9, 0.010103466), (10, 0.010102044)]",5
卡得准,"[(0, 0.045576915), (1, 0.5442308), (2, 0.045576915), (3, 0.045576915), (4, 0.045576915), (5, 0.045576915), (6, 0.04557692), (7, 0.045576915), (8, 0.04557692), (9, 0.04557692), (10, 0.04557692)]",1
很甜 收到 喉咙 习惯性 好评,"[(0, 0.015159003), (1, 0.015158989), (2, 0.015159251), (3, 0.015158954), (4, 0.84841067), (5, 0.015158661), (6, 0.015158763), (7, 0.015158935), (8, 0.015158921), (9, 0.015158957), (10, 0.015158929)]",4
东西 口感 收到 货让人 生气 包装 稀烂 一盒 四个 没少 四斤 二两,"[(1, 0.7941738), (10, 0.14279185)]",1
中果 发来 有大有小 下次 再也不会 这家 值得 购买,"[(0, 0.24466352), (1, 0.010107474), (2, 0.6643688), (3, 0.010108047), (4, 0.010108497), (5, 0.010107226), (6, 0.010107356), (7, 0.010107051), (8, 0.010107031), (9, 0.010107435), (10, 0.0101076)]",2
南瓜 不好 湿达 大小 不均 不到,"[(0, 0.012995966), (1, 0.012994741), (2, 0.012994304), (3, 0.01299446), (4, 0.45547673), (5, 0.012995292), (6, 0.012994301), (7, 0.4275699), (8, 0.012994395), (9, 0.01299494), (10, 0.012994966)]",4
感觉 个头 只能 超市 便宜,"[(0, 0.015152641), (1, 0.015152692), (2, 0.015152141), (3, 0.58590364), (4, 0.01515375), (5, 0.015152347), (6, 0.015151977), (7, 0.015152354), (8, 0.015153074), (9, 0.2777224), (10, 0.01515302)]",3
口感 那种 口感 南瓜 失望,"[(0, 0.015153478), (1, 0.0151542425), (2, 0.8484588), (3, 0.0151527235), (4, 0.015155816), (5, 0.015155952), (6, 0.015152924), (7, 0.015154467), (8, 0.015153121), (9, 0.0151539305), (10, 0.0151545135)]",2
南瓜 香甜 好吃 有点儿,"[(0, 0.01818318), (1, 0.34791827), (2, 0.01818344), (3, 0.018183175), (4, 0.018184353), (5, 0.48843095), (6, 0.018183205), (7, 0.018183133), (8, 0.018183354), (9, 0.018183615), (10, 0.01818337)]",5
中果 无语 买来 早饭 大小 好歹,"[(0, 0.012993542), (1, 0.012994566), (2, 0.012993943), (3, 0.0129947085), (4, 0.0129954675), (5, 0.012994527), (6, 0.012994484), (7, 0.19158794), (8, 0.012994794), (9, 0.012994473), (10, 0.69146156)]",10
总共 收到 南瓜 理赔 好奇 总重量 确实 重量 一家 收到 一箱 希望 老板 重量 称够 发货,"[(0, 0.9464935)]",0
南瓜 不粉 不面 水垮 好吃 再也不会,"[(0, 0.01299813), (1, 0.8700129), (2, 0.012998618), (3, 0.012998653), (4, 0.012999015), (5, 0.012998952), (6, 0.012998164), (7, 0.012998089), (8, 0.012998854), (9, 0.012998489), (10, 0.013000108)]",1
南瓜 本来,"[(0, 0.030305732), (1, 0.030306514), (2, 0.030306345), (3, 0.030311443), (4, 0.6969266), (5, 0.030307004), (6, 0.030305218), (7, 0.030309658), (8, 0.030307027), (9, 0.030306617), (10, 0.030307846)]",4
收到 包装 不行 希望 包装 包好,"[(0, 0.012990727), (1, 0.012990856), (2, 0.012991163), (3, 0.012990726), (4, 0.7436069), (5, 0.01299053), (6, 0.0129905455), (7, 0.012990814), (8, 0.1394763), (9, 0.012990863), (10, 0.012990537)]",4
南瓜 收到 原因 好吃,"[(0, 0.018183876), (1, 0.81815517), (2, 0.018185204), (3, 0.018184118), (4, 0.018186046), (5, 0.018185148), (6, 0.018183764), (7, 0.018183826), (8, 0.018183889), (9, 0.01818471), (10, 0.018184217)]",1
感觉 不到 一点 甜味,"[(0, 0.018182669), (1, 0.018183602), (2, 0.01818281), (3, 0.018184299), (4, 0.24447067), (5, 0.5918814), (6, 0.018182678), (7, 0.018183287), (8, 0.018182632), (9, 0.01818263), (10, 0.01818331)]",5
描述 相符 情况 一共 六个 两个 种子 发黑 肯定,"[(7, 0.90905136)]",7
大果 小果 空调 遥控器,"[(0, 0.018189346), (1, 0.018189896), (2, 0.018189728), (3, 0.018190108), (4, 0.018189372), (5, 0.018189749), (6, 0.018189345), (7, 0.018189361), (8, 0.018189326), (9, 0.8181043), (10, 0.018189384)]",9
不行 粉面,"[(0, 0.36711437), (1, 0.03035639), (2, 0.03036106), (3, 0.030356558), (4, 0.030356314), (5, 0.030356223), (6, 0.030356223), (7, 0.030356223), (8, 0.35967407), (9, 0.030356223), (10, 0.030356338)]",0
南瓜 好像 土里,"[(0, 0.022735303), (1, 0.022735944), (2, 0.022739924), (3, 0.02273506), (4, 0.022736996), (5, 0.022736577), (6, 0.022734897), (7, 0.022735272), (8, 0.02273549), (9, 0.77263844), (10, 0.022736112)]",9
