内容,主题概率,主题类型
下锅 口感 不错,"[(0, 0.022734936), (1, 0.022735175), (2, 0.02273639), (3, 0.022735313), (4, 0.022736209), (5, 0.022734746), (6, 0.022735974), (7, 0.02273728), (8, 0.022736782), (9, 0.022734594), (10, 0.7726426)]",10
还好,"[(0, 0.045454912), (1, 0.045457326), (2, 0.045454875), (3, 0.04545504), (4, 0.045454875), (5, 0.0454549), (6, 0.04545519), (7, 0.04545729), (8, 0.54544586), (9, 0.045454875), (10, 0.045454875)]",8
不错 收到 价格 实惠,"[(0, 0.018182956), (1, 0.018183602), (2, 0.018185608), (3, 0.018185014), (4, 0.018185394), (5, 0.018182298), (6, 0.8181615), (7, 0.018182969), (8, 0.018183406), (9, 0.01818396), (10, 0.018183246)]",6
收到 待用 好不好,"[(0, 0.022738589), (1, 0.022742586), (2, 0.022741528), (3, 0.022739159), (4, 0.7726052), (5, 0.022738313), (6, 0.02273957), (7, 0.02273857), (8, 0.022738645), (9, 0.022738915), (10, 0.022738902)]",4
粒香 回来 圆粒,"[(0, 0.022780247), (1, 0.39215085), (2, 0.022779984), (3, 0.022780286), (4, 0.022783967), (5, 0.222538), (6, 0.02277989), (7, 0.20306692), (8, 0.02277989), (9, 0.022779971), (10, 0.022779964)]",1
收到 代子 破烂,"[(0, 0.022752026), (1, 0.022752207), (2, 0.77247906), (3, 0.022752255), (4, 0.022752566), (5, 0.022751812), (6, 0.022751976), (7, 0.022752011), (8, 0.022751806), (9, 0.022752281), (10, 0.022751996)]",2
收到 真空,"[(0, 0.030304983), (1, 0.030305743), (2, 0.41748002), (3, 0.030305952), (4, 0.030307267), (5, 0.030304272), (6, 0.030304775), (7, 0.030305248), (8, 0.3097707), (9, 0.030306056), (10, 0.030304968)]",2
真空 满意,"[(0, 0.03030476), (1, 0.030304462), (2, 0.030305961), (3, 0.03030689), (4, 0.3563517), (5, 0.030306997), (6, 0.030304559), (7, 0.030304765), (8, 0.37090075), (9, 0.030304596), (10, 0.030304566)]",8
直播间 描述,"[(0, 0.030303769), (1, 0.6969447), (2, 0.030307254), (3, 0.030304745), (4, 0.030304953), (5, 0.030304765), (6, 0.030305058), (7, 0.030309938), (8, 0.030305838), (9, 0.030305257), (10, 0.030303694)]",1
不到 生产日期,"[(0, 0.030321078), (1, 0.030321041), (2, 0.030322608), (3, 0.030323526), (4, 0.6967797), (5, 0.030321138), (6, 0.030321041), (7, 0.030323843), (8, 0.030321095), (9, 0.030321103), (10, 0.030323835)]",4
东西 收到 下锅,"[(0, 0.02273568), (1, 0.022737253), (2, 0.022739485), (3, 0.022737013), (4, 0.022738684), (5, 0.022735218), (6, 0.022735283), (7, 0.022736354), (8, 0.022734642), (9, 0.022736594), (10, 0.7726338)]",10
大众 型号 米粒,"[(0, 0.022755047), (1, 0.022755245), (2, 0.7724479), (3, 0.022756498), (4, 0.022755047), (5, 0.022755047), (6, 0.022755047), (7, 0.022755047), (8, 0.022755047), (9, 0.022755047), (10, 0.022755047)]",2
包装 下次 购买,"[(0, 0.022729825), (1, 0.02272837), (2, 0.3312286), (3, 0.022727713), (4, 0.4642124), (5, 0.022729624), (6, 0.02272778), (7, 0.022728663), (8, 0.022727657), (9, 0.022731433), (10, 0.022727894)]",4
包装 口子 没烂 收下,"[(0, 0.018224671), (1, 0.018225232), (2, 0.018225351), (3, 0.018224746), (4, 0.018226538), (5, 0.26389778), (6, 0.0182247), (7, 0.57207566), (8, 0.01822463), (9, 0.018224927), (10, 0.018225733)]",7
二十斤 十斤 好不好,"[(0, 0.022746813), (1, 0.022750933), (2, 0.022748912), (3, 0.022747088), (4, 0.77252203), (5, 0.02274742), (6, 0.022748904), (7, 0.022746813), (8, 0.022747152), (9, 0.022746813), (10, 0.022747163)]",4
好米 理解 错误 南方 珍珠米,"[(0, 0.015168008), (1, 0.015168083), (2, 0.8483188), (3, 0.015168559), (4, 0.015168159), (5, 0.015168008), (6, 0.015168008), (7, 0.0151681565), (8, 0.015168008), (9, 0.015168215), (10, 0.015168008)]",2
一袋 袋子 退回去 麻烦 只能 三个,"[(0, 0.01300916), (1, 0.29986462), (2, 0.013009216), (3, 0.013009246), (4, 0.013010531), (5, 0.013009176), (6, 0.30674866), (7, 0.013009428), (8, 0.28931004), (9, 0.013010618), (10, 0.013009289)]",6
商家 服務 态度 不错 运输 过程 毛病,"[(0, 0.011367131), (1, 0.011367504), (2, 0.011367441), (3, 0.011367268), (4, 0.011367483), (5, 0.011367144), (6, 0.011367474), (7, 0.011367274), (8, 0.011367621), (9, 0.011367703), (10, 0.88632596)]",10
收到 打开 包装袋 一地 袋子 那鹤 翅膀 下裂 口子 估计 十分之一 年纪 办理 退货 手续 繁杂 只好 地上 算了,"[(4, 0.8094034), (7, 0.14965165)]",4
发货 邮件 收到 同一天 购买 差距 三天 时间,"[(0, 0.010107913), (1, 0.010108179), (2, 0.698966), (3, 0.12573949), (4, 0.010108019), (5, 0.094428696), (6, 0.010108501), (7, 0.010108477), (8, 0.010107959), (9, 0.010108739), (10, 0.010107957)]",2
地址 给我发 两个 地方 害得 快递,"[(0, 0.012993532), (1, 0.012993434), (2, 0.012994697), (3, 0.012993454), (4, 0.012995055), (5, 0.012994013), (6, 0.012995484), (7, 0.6368852), (8, 0.0130005935), (9, 0.24615905), (10, 0.012995516)]",7
