聚类数量,轮廓系数
2,0.06018471321282533
3,0.06331108223571418
4,0.06933153139525924
5,0.08497706892208569
6,0.09717183313773751
7,0.11433058090221139
8,0.1228721070686146
9,0.14218021394399288
10,0.14417492223709863
