negative-word,negative-counts,neutral-word,neutral-counts,positive-word,positive-counts
垃圾,10.0,,,,
底线,5.0,,,,
垃圾清运,2.0,,,,
严重威胁,1.0,,,,
拒不执行,1.0,,,,
缺乏,1.0,,,,
引以为戒,1.0,,,,
较弱,1.0,,,,
新闻频道,1.0,,,,
麻痹,1.0,,,,
,,理想信念,1.0,,
,,扎实,1.0,,
,,一流大学,1.0,,
,,初心,1.0,,
,,力量,1.0,,
,,优异,1.0,,
,,针对性,1.0,,
,,深刻,1.0,,
,,深入人心,1.0,,
,,坚守,1.0,,
,,,,点赞,17.0
,,,,感动,17.0
,,,,坚强有力,6.0
,,,,点赞大,6.0
,,,,点赞超,3.0
,,,,深受感动,2.0
,,,,令人感动,1.0
,,,,活泼可爱,1.0
,,,,获赞,1.0
,,,,意犹未尽,1.0
