所属主题,文章数量,特征词,主题强度
Topic0,6,ない、原発、する、ある、事故、こと、東電、いる、電力、原子力、燃料、規制、から、稼働、べき、政権、という、など、福島、ため,0.23077
Topic1,20,原発、ない、いる、する、ある、こと、事故、規制、から、稼働、電力、原子力、福島、なる、など、避難、という、べき、計画、よう,0.76923
