Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重
ない,0.020,原発,0.030
原発,0.018,ない,0.021
する,0.013,いる,0.014
ある,0.009,する,0.013
事故,0.008,ある,0.011
こと,0.007,こと,0.009
東電,0.007,事故,0.009
いる,0.006,規制,0.008
電力,0.005,から,0.007
原子力,0.005,稼働,0.006
燃料,0.004,電力,0.006
規制,0.004,原子力,0.005
から,0.004,福島,0.005
稼働,0.004,なる,0.005
べき,0.004,など,0.005
政権,0.003,避難,0.005
という,0.003,という,0.004
など,0.003,べき,0.004
福島,0.003,計画,0.004
ため,0.003,よう,0.004
