Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重
废水,0.025,污水,0.022,废水,0.010,废水,0.009,污水,0.017,废水,0.011
核污染,0.011,废水,0.019,粉丝,0.007,视频,0.008,废水,0.016,支持,0.008
污水,0.010,支持,0.013,黄景,0.006,污水,0.007,排放,0.009,关注,0.007
辐射,0.010,排放,0.010,辐射,0.006,感觉,0.006,储罐,0.008,社区,0.007
排放,0.009,人类,0.006,收起,0.005,国家,0.006,人生,0.006,超话,0.005
收起,0.007,国家,0.005,排放,0.005,风险,0.005,收起,0.006,收起,0.005
手机,0.007,视频,0.005,危害,0.004,肯定,0.005,社会,0.005,市场,0.004
危害,0.006,收起,0.005,确实,0.004,推荐,0.005,人类,0.004,癌症,0.004
早安,0.006,核污染,0.005,消费者,0.004,黄金,0.005,核电站,0.004,感觉,0.004
视频,0.005,国产,0.004,产品,0.004,品牌,0.004,鬼子,0.004,消费者,0.003
癌症,0.004,不吃,0.004,报道,0.003,收起,0.004,辐射,0.004,危害,0.003
核电站,0.004,健康,0.004,希望,0.003,人群,0.004,报道,0.003,数据,0.003
超话,0.004,全球,0.003,公司,0.003,海产品,0.004,核污染,0.003,朋友,0.003
鱼油,0.003,喜欢,0.003,世界,0.003,希望,0.004,健康,0.003,排放,0.003
发现,0.003,超话,0.003,发现,0.003,市场,0.004,到达,0.003,奶茶,0.003
支持,0.003,企业,0.003,污水,0.003,驾驶,0.003,国产,0.003,逻辑,0.003
喜欢,0.003,总统,0.003,制裁,0.003,开通,0.003,世界,0.003,资本,0.003
牛肉,0.003,事件,0.003,事件,0.002,关注,0.003,全球,0.003,社会,0.003
射线,0.003,到达,0.003,量子,0.002,老百姓,0.003,发生,0.003,辐射,0.003
情况,0.003,关注,0.003,愉快,0.002,癌症,0.003,腐蚀,0.003,不用,0.003
健康,0.003,新闻,0.003,成年人,0.002,汽车,0.003,信息,0.003,好像,0.003
社区,0.003,国际,0.003,健康,0.002,只能,0.003,环境,0.003,品牌,0.002
超标,0.002,计划,0.003,交代,0.002,头像,0.003,油罐车,0.003,日货,0.002
治疗,0.002,利益,0.003,系统,0.002,核污染,0.003,支持,0.003,视频,0.002
短剧,0.002,核电站,0.003,包括,0.002,排放,0.003,不行,0.003,抵制,0.002
国货,0.002,社会,0.002,电磁辐射,0.002,危害,0.003,国家,0.003,发现,0.002
安检,0.002,表达,0.002,请愿,0.002,国际,0.003,发现,0.003,产品,0.002
请愿,0.002,链接,0.002,干嘛,0.002,评论,0.003,激光,0.002,办法,0.002
