所属主题,文章数量,特征词,主题强度
Topic0,1401,不好、隔音、内饰、异味、续航、亏电、噪音、价格、动力、座椅、后备箱、储物、不稳、担心、驾驶、拥挤、内部、车身、油耗、颠簸,0.37221
Topic1,394,噪音、座椅、续航、系统、亏电、驾驶、颠簸、位置、不好、储物、发动机、后备箱、轴距、拥挤、价格、隔音、空间、内饰、声音、动力,0.10468
Topic2,1969,噪音、亏电、续航、座椅、不好、价格、拥挤、油耗、动力、后备箱、储物、异味、空间、系统、驾驶、内饰、车漆、位置、隔音、颠簸,0.52311
