特征词,词频,词性
兰州,30189,名词
黄河,18679,名词
景区,9320,名词
地方,7878,名词
敦煌,7845,名词
博物馆,7417,名词
时间,7298,名词
酒店,6842,名词
不错,6121,形容词
公园,5908,名词
甘肃,5687,名词
景点,5500,名词
感觉,5346,名词
小时,5263,名词
中山,5256,名词
张掖,4978,名词
历史,4527,名词
门票,4067,名词
铁桥,4027,名词
莫高窟,3978,名词
城市,3919,名词
出发,3847,动词
中国,3772,名词
值得,3763,动词
行程,3730,名词
牛肉面,3697,名词
到达,3667,动词
西宁,3659,名词
甘肃省,3600,名词
位于,3591,动词
文化,3545,名词
游客,3460,名词
推荐,3409,动词
西北,3392,名词
机场,3372,名词
青海湖,3371,名词
水车,3240,名词
选择,3235,动词
参观,3148,名词
拍照,3049,动词
建筑,2973,名词
景色,2893,名词
好吃,2879,动词
兰州市,2793,名词
嘉峪关,2773,名词
发现,2768,动词
火车,2761,名词
喜欢,2741,动词
风景,2726,名词
草原,2707,名词
味道,2638,名词
市区,2626,名词
夜市,2477,名词
石窟,2459,名词
沙漠,2452,名词
体验,2370,名词
母亲,2303,名词
只能,2265,动词
鸣沙山,2253,名词
青海,2217,名词
讲解,2170,动词
特色,2162,名词
建议,2162,名词
来到,2134,动词
雅丹,2103,名词
提前,2090,动词
司机,2066,名词
月牙泉,2040,名词
感受,2022,动词
东西,2007,名词
住宿,2001,名词
天气,1987,名词
价格,1982,名词
文物,1972,名词
羊肉,1920,名词
七彩,1895,名词
西安,1880,名词
世界,1880,名词
照片,1879,名词
美食,1853,名词
中心,1832,名词
朋友,1816,名词
雕塑,1810,名词
步行,1786,名词
山顶,1777,名词
孩子,1750,名词
游玩,1738,名词
交通,1688,名词
茶卡盐湖,1668,名词
拉面,1662,名词
休息,1656,动词
海拔,1643,名词
艺术,1619,名词
火车站,1617,名词
公路,1599,名词
回到,1583,动词
牛肉,1561,名词
壁画,1532,名词
很大,1513,形容词
打卡,1501,动词
乘坐,1496,动词
