特征词,词频,词性
黄河,7124,名词
兰州,6562,名词
不错,3194,形容词
值得,2621,动词
公园,2401,名词
铁桥,2232,名词
博物馆,2164,名词
地方,1991,名词
历史,1673,名词
兰州市,1508,名词
中山,1489,名词
景区,1479,名词
景点,1442,名词
位于,1417,动词
景色,1380,名词
水车,1371,名词
甘肃省,1220,名词
甘肃,1111,名词
文化,1042,名词
讲解,979,动词
感觉,973,名词
建筑,907,名词
时间,889,名词
母亲,872,名词
孩子,795,名词
推荐,785,动词
体验,776,名词
风景区,770,名词
风景,769,名词
门票,750,名词
游客,658,名词
城市,637,名词
文物,615,名词
喜欢,609,动词
特色,580,名词
雕塑,576,名词
中国,572,名词
参观,548,名词
山顶,548,名词
小时,545,名词
环境,489,名词
交通,486,名词
壮观,475,形容词
游玩,474,名词
夜景,467,名词
市区,456,名词
适合,438,动词
动物,433,名词
表演,433,动词
羊皮,429,名词
漂亮,397,形容词
西北,394,名词
性价比,392,名词
感受,386,动词
筏子,377,名词
东西,376,名词
滨河路,367,名词
著名,366,形容词
步行,364,名词
很大,363,形容词
开放,362,动词
休闲,362,动词
建议,360,名词
博览园,358,名词
朋友,345,名词
广场,342,名词
打卡,340,动词
标志性,339,名词
拍照,338,动词
俯瞰,333,动词
大桥,332,名词
好玩,326,动词
中心,313,名词
选择,311,动词
世界,309,名词
全国,309,名词
好看,306,动词
张掖,292,名词
艺术,289,名词
黄河水,273,名词
知识,270,动词
奔马,268,动词
美丽,262,名词
雕像,259,名词
西湖,259,名词
动物园,257,名词
价格,255,名词
好,255,形容词
景观,255,名词
震撼,252,动词
标志,249,名词
乘坐,248,动词
步行街,248,名词
设施,244,名词
到达,240,动词
电瓶车,239,名词
大众,237,名词
意义,236,名词
