类型,数量,占比,,,
强烈积极,11424,,,,
积极,2643,,,,
比较积极,1425,,,,
中立,720,,,,
比较消极,942,,,,
消极,699,,,,
强烈消极,1215,,,,
,,,,,
总,19068,,,,
,,,,,
情感类别,数量,占比,强度,数量,占比
积极情绪,15492,81.25%,强烈积极,11424,73.74%
,,,积极,2643,17.06%
,,,比较积极,1425,9.20%
中立,720,3.78%,,,
消极情绪,2856,14.98%,比较消极,942,32.98%
,,,消极,699,24.47%
,,,强烈消极,1215,42.54%
