主题数,困惑度,一致性
2,-9.066818910471383,0.5565204846151247
3,-8.941680536924544,0.5094728637872376
4,-8.963665597039117,0.45814565171421767
5,-8.943246739285089,0.5793009146980064
6,-9.034838538508458,0.4655841075736331
7,-9.109061707132378,0.5459371917385651
8,-9.33260668519767,0.5356650586504638
9,-9.5262254107917,0.5309535616974379
10,-9.814280357981342,0.522801907197701
11,-10.12069136583656,0.5617402360361123
12,-10.481408050604976,0.5732158428888929
13,-10.84292249032546,0.6245210932952523
14,-11.120832210911237,0.6110473157438338
