Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重
网页,0.042,感觉,0.016,疫情,0.026,核酸,0.026,睡不着,0.031,病例,0.033,鼻子,0.021,发烧,0.027,白天,0.017,疫情,0.008,检测,0.018,第三天,0.019
难受,0.039,咳嗽,0.015,药品,0.014,高烧,0.016,味觉,0.023,确诊,0.025,太难受,0.011,感觉,0.025,喝水,0.013,核酸,0.008,核酸,0.017,阳了,0.014
睡着,0.011,晚上,0.014,防控,0.013,疫情,0.015,嗓子,0.013,本土,0.022,买不到,0.008,症状,0.022,老公,0.011,无症状,0.008,发现,0.016,嗓子,0.012
酒精,0.010,难受,0.013,冠状病毒,0.011,检测,0.014,嗅觉,0.011,无症状,0.021,嘴巴,0.008,晚上,0.016,力气,0.009,新增,0.008,疫情,0.014,流鼻涕,0.010
病毒,0.010,发烧,0.011,新型,0.010,新冠,0.012,鼻子,0.007,新增,0.020,咽喉,0.006,感冒,0.015,三点,0.007,新冠,0.007,退烧,0.013,公司,0.009
阳性,0.010,感染,0.011,肺炎,0.009,采样,0.011,明天,0.007,输入,0.019,概率,0.004,浑身,0.014,折磨,0.007,病例,0.007,隔离,0.011,吃饭,0.008
一夜,0.010,口罩,0.010,新冠,0.009,病毒,0.011,脑袋,0.006,感染者,0.019,低热,0.004,头疼,0.012,价格,0.007,确诊,0.007,人员,0.010,病毒,0.006
疫情,0.007,几天,0.010,退烧,0.008,好好,0.008,离谱,0.006,境外,0.015,有人,0.004,布洛芬,0.011,咳嗽,0.006,感染者,0.007,口罩,0.009,咳嗽,0.005
新冠,0.006,上班,0.009,药店,0.007,工作,0.008,直播,0.005,全省,0.014,感觉,0.004,体温,0.011,啊啊啊,0.006,境外,0.007,新冠,0.009,不停,0.005
发现,0.006,舒服,0.009,小区,0.007,放开,0.008,感觉,0.005,洗头,0.011,大哥,0.004,我阳,0.011,康复,0.006,公司,0.007,防控,0.009,舒服,0.005
请假,0.006,希望,0.009,调整,0.005,快递,0.008,温度计,0.005,发现,0.009,夜晚,0.003,抗原,0.010,宝宝,0.006,本土,0.007,例为,0.008,六点,0.004
奥密克,0.005,医院,0.009,风险,0.005,人员,0.005,耳朵,0.005,大姨妈,0.009,吐出来,0.003,低烧,0.010,连花清,0.005,输入,0.007,社区,0.007,声音,0.004
检测,0.004,两天,0.008,工作,0.005,口罩,0.005,额头,0.005,隔离,0.009,出血,0.003,睡觉,0.009,周三,0.005,小区,0.006,感染者,0.007,一点点,0.004
消毒,0.004,睡不着,0.008,保障,0.005,居民,0.005,老板,0.005,江西省,0.009,提前,0.003,早上,0.008,疫情,0.005,轻微,0.006,健康,0.007,几天,0.004
烧退,0.004,抗原,0.008,国家,0.005,感染,0.005,旁边,0.005,累计,0.008,莫名其妙,0.003,没阳,0.008,样子,0.005,口罩,0.005,重点,0.006,两天,0.004
核酸,0.004,不想,0.007,睡着,0.005,说阳,0.005,终于,0.005,报告,0.007,神清气爽,0.003,头晕,0.008,好消息,0.004,烦死,0.005,无症状,0.006,春节,0.004
感染,0.003,半夜,0.007,转阴,0.005,小时,0.004,买到,0.005,出院,0.007,外套,0.003,都阳,0.008,周四,0.004,驿站,0.004,本土,0.006,担心,0.004
十二点,0.003,嗓子,0.007,病毒,0.005,体温,0.004,都阳,0.004,酸疼,0.007,一只,0.003,洗澡,0.008,没劲,0.004,病毒,0.004,管控,0.006,我家,0.004
希望,0.003,同事,0.007,措施,0.005,期间,0.004,爸爸,0.004,医学观察,0.007,二次,0.003,下午,0.007,起床,0.004,感染,0.004,筛查,0.006,抗原,0.004
消失,0.003,鼻塞,0.007,医疗,0.005,做好,0.004,科室,0.004,疫情,0.006,反弹,0.003,小时,0.007,十点,0.004,快递,0.004,病例,0.006,一盒,0.004
