,电影语言,上映时间,电影类型,热门主演,电影导演,电影持续时间,想看人数,总票房（单位万）
4,1,2,2,0,0,91,75947,4848.3
11,0,2,4,1,0,114,74744,5044.9
16,1,1,3,1,1,109,56830,30500.0
18,1,0,0,1,0,102,41328,52600.0
27,0,0,0,0,0,93,14,66.9
29,0,1,4,0,0,116,1544263,55500.0
32,1,0,6,0,0,97,59625,24900.000000000004
41,1,0,0,1,0,113,139320,8143.9
46,0,0,0,0,0,110,1425171,160300.0
53,1,1,0,1,0,76,18124,407.0
67,0,0,8,0,0,91,5749,143.6
70,1,0,3,0,0,103,6385,9512.5
80,1,0,2,0,0,141,25381,28500.0
81,0,0,2,0,0,91,467,7.7
88,0,0,2,0,0,96,203,4.2
90,1,2,2,0,0,119,2438,16.2
98,0,0,0,0,0,86,3747,0.345
103,0,0,2,0,0,90,20845,467.2
118,0,1,0,1,0,83,65,468.8
123,0,0,2,0,0,91,6,5.8
149,1,0,2,1,0,114,71604,22999.999999999996
150,0,2,2,0,0,99,7501,504.6
155,0,1,2,0,0,112,140514,5219.4
156,0,0,2,0,0,95,323,0.0169
162,0,0,3,0,0,102,1315,1.3
167,0,0,4,0,0,107,30224,21000.0
170,1,0,2,0,0,139,32064,42500.0
187,1,2,3,0,0,130,5022,2966.6
191,0,1,0,0,0,107,2110,21.6
192,0,2,4,0,0,99,38,0.0702
194,0,0,2,0,0,92,41186,618.4
211,0,0,2,0,0,110,750,32.0
224,1,0,0,1,0,110,200175,23100.0
229,0,1,2,0,0,93,1095,13.6
230,0,0,6,0,0,86,24794,693.7
238,0,0,3,0,0,106,37462,5026.6
250,1,0,3,1,0,142,399,56800.0
256,0,1,0,0,0,96,148,11.3
257,0,1,2,0,0,102,39422,118.3
266,0,2,2,0,0,89,15513,3.4
270,0,2,7,0,0,138,57208,75400.0
283,0,0,7,0,0,129,2283,50.4
286,1,0,2,0,1,107,155289,33900.0
289,0,1,2,0,0,114,1573,96.1
302,1,0,2,0,0,119,3021,64.0
309,0,1,0,0,0,85,16307,238.7
317,0,0,4,0,0,100,25245,33500.0
325,0,0,7,0,0,90,34760,765.5
326,0,2,0,0,0,96,431430,149500.0
339,0,0,9,0,0,93,329,2.9
341,0,0,2,0,0,102,419,3008.0
349,0,1,0,0,0,85,23046,2526.8
380,1,0,2,0,0,126,8461,187.5
383,0,1,1,1,0,107,106805,1687.4
386,0,2,4,0,0,110,109131,29200.0
