主题类型,0
0,"{'消极态度': 0.1, '积极态度': 0.9}"
1,"{'消极态度': 0.17, '积极态度': 0.83}"
2,"{'消极态度': 0.04, '积极态度': 0.96}"
3,"{'消极态度': 0.23, '积极态度': 0.77}"
