Pre-Theme,Theme,Sim
Sept Topic 9,Oct Topic 2,0.73
Sept Topic 9,Oct Topic 3,0.60
Sept Topic 9,Oct Topic 4,0.87
Sept Topic 9,Oct Topic 5,0.77
Sept Topic 9,Oct Topic 6,0.79
Sept Topic 9,Oct Topic 7,0.70
Sept Topic 9,Oct Topic 8,0.83
Sept Topic 9,Oct Topic 9,0.91
Sept Topic 9,Oct Topic 10,0.64
Sept Topic 9,Oct Topic 11,0.79
Sept Topic 9,Oct Topic 12,0.80
Sept Topic 9,Oct Topic 13,0.74
Sept Topic 10,Oct Topic 0,0.73
Sept Topic 10,Oct Topic 1,0.81
Sept Topic 10,Oct Topic 2,0.62
Sept Topic 10,Oct Topic 4,0.72
Sept Topic 10,Oct Topic 5,0.67
Sept Topic 10,Oct Topic 6,0.64
Sept Topic 10,Oct Topic 7,0.69
Sept Topic 10,Oct Topic 8,0.75
Sept Topic 10,Oct Topic 9,0.64
Sept Topic 10,Oct Topic 10,0.79
Sept Topic 10,Oct Topic 11,0.75
Sept Topic 10,Oct Topic 12,0.74
Sept Topic 10,Oct Topic 13,0.65
Sept Topic 11,Oct Topic 0,0.88
Sept Topic 11,Oct Topic 1,0.84
Sept Topic 11,Oct Topic 2,0.73
Sept Topic 11,Oct Topic 3,0.65
Sept Topic 11,Oct Topic 4,0.87
Sept Topic 11,Oct Topic 5,0.77
Sept Topic 11,Oct Topic 6,0.76
Sept Topic 11,Oct Topic 7,0.83
Sept Topic 11,Oct Topic 8,0.83
Sept Topic 11,Oct Topic 9,0.78
Sept Topic 11,Oct Topic 10,0.72
Sept Topic 11,Oct Topic 11,0.97
Sept Topic 11,Oct Topic 12,0.82
Sept Topic 11,Oct Topic 13,0.79
Sept Topic 12,Oct Topic 0,0.82
Sept Topic 12,Oct Topic 1,0.84
Sept Topic 12,Oct Topic 2,0.72
Sept Topic 12,Oct Topic 3,0.63
Sept Topic 12,Oct Topic 4,0.84
Sept Topic 12,Oct Topic 5,0.81
Sept Topic 12,Oct Topic 6,0.71
Sept Topic 12,Oct Topic 7,0.79
Sept Topic 12,Oct Topic 8,0.81
Sept Topic 12,Oct Topic 9,0.81
Sept Topic 12,Oct Topic 10,0.69
Sept Topic 12,Oct Topic 11,0.84
Sept Topic 12,Oct Topic 12,0.94
Sept Topic 12,Oct Topic 13,0.74
Sept Topic 13,Oct Topic 0,0.78
Sept Topic 13,Oct Topic 1,0.77
Sept Topic 13,Oct Topic 2,0.72
Sept Topic 13,Oct Topic 3,0.73
Sept Topic 13,Oct Topic 4,0.78
Sept Topic 13,Oct Topic 5,0.77
Sept Topic 13,Oct Topic 6,0.68
Sept Topic 13,Oct Topic 7,0.70
Sept Topic 13,Oct Topic 8,0.73
Sept Topic 13,Oct Topic 9,0.74
Sept Topic 13,Oct Topic 10,0.71
Sept Topic 13,Oct Topic 11,0.80
Sept Topic 13,Oct Topic 12,0.79
Sept Topic 13,Oct Topic 13,0.81
Sept Topic 14,Oct Topic 0,0.87
Sept Topic 14,Oct Topic 1,0.82
Sept Topic 14,Oct Topic 2,0.75
Sept Topic 14,Oct Topic 3,0.66
Sept Topic 14,Oct Topic 4,0.92
Sept Topic 14,Oct Topic 5,0.78
Sept Topic 14,Oct Topic 6,0.81
Sept Topic 14,Oct Topic 7,0.79
Sept Topic 14,Oct Topic 8,0.88
Sept Topic 14,Oct Topic 9,0.87
Sept Topic 14,Oct Topic 10,0.67
Sept Topic 14,Oct Topic 11,0.86
Sept Topic 14,Oct Topic 12,0.83
Sept Topic 14,Oct Topic 13,0.73
Sept Topic 15,Oct Topic 0,0.67
Sept Topic 15,Oct Topic 1,0.73
Sept Topic 15,Oct Topic 2,0.59
Sept Topic 15,Oct Topic 4,0.62
Sept Topic 15,Oct Topic 5,0.57
Sept Topic 15,Oct Topic 6,0.56
Sept Topic 15,Oct Topic 7,0.65
Sept Topic 15,Oct Topic 8,0.63
Sept Topic 15,Oct Topic 9,0.60
Sept Topic 15,Oct Topic 10,0.65
Sept Topic 15,Oct Topic 11,0.67
Sept Topic 15,Oct Topic 12,0.66
Sept Topic 15,Oct Topic 13,0.60
Oct Topic 0,Nov Topic 0,0.94
Oct Topic 0,Nov Topic 1,0.85
Oct Topic 0,Nov Topic 2,0.78
Oct Topic 0,Nov Topic 3,0.74
Oct Topic 0,Nov Topic 4,0.88
Oct Topic 0,Nov Topic 5,0.79
Oct Topic 0,Nov Topic 7,0.77
Oct Topic 0,Nov Topic 8,0.84
Oct Topic 1,Nov Topic 0,0.86
Oct Topic 1,Nov Topic 1,0.94
Oct Topic 1,Nov Topic 2,0.75
Oct Topic 1,Nov Topic 3,0.68
Oct Topic 1,Nov Topic 4,0.84
Oct Topic 1,Nov Topic 5,0.78
Oct Topic 1,Nov Topic 7,0.78
Oct Topic 1,Nov Topic 8,0.77
Oct Topic 2,Nov Topic 0,0.78
Oct Topic 2,Nov Topic 1,0.66
Oct Topic 2,Nov Topic 2,0.95
Oct Topic 2,Nov Topic 3,0.74
Oct Topic 2,Nov Topic 4,0.71
Oct Topic 2,Nov Topic 5,0.78
Oct Topic 2,Nov Topic 7,0.61
Oct Topic 2,Nov Topic 8,0.69
Oct Topic 3,Nov Topic 0,0.68
Oct Topic 3,Nov Topic 1,0.54
Oct Topic 3,Nov Topic 2,0.74
Oct Topic 3,Nov Topic 3,0.88
Oct Topic 3,Nov Topic 4,0.61
Oct Topic 3,Nov Topic 5,0.68
Oct Topic 3,Nov Topic 7,0.62
Oct Topic 3,Nov Topic 8,0.53
Oct Topic 4,Nov Topic 0,0.89
Oct Topic 4,Nov Topic 1,0.83
Oct Topic 4,Nov Topic 2,0.74
Oct Topic 4,Nov Topic 3,0.67
Oct Topic 4,Nov Topic 4,0.99
Oct Topic 4,Nov Topic 5,0.81
Oct Topic 4,Nov Topic 7,0.70
Oct Topic 4,Nov Topic 8,0.82
Oct Topic 5,Nov Topic 0,0.80
Oct Topic 5,Nov Topic 1,0.79
Oct Topic 5,Nov Topic 2,0.76
Oct Topic 5,Nov Topic 3,0.72
Oct Topic 5,Nov Topic 4,0.81
Oct Topic 5,Nov Topic 5,0.94
Oct Topic 5,Nov Topic 7,0.66
Oct Topic 5,Nov Topic 8,0.73
Oct Topic 6,Nov Topic 0,0.77
Oct Topic 6,Nov Topic 1,0.73
Oct Topic 6,Nov Topic 2,0.63
Oct Topic 6,Nov Topic 3,0.58
Oct Topic 6,Nov Topic 4,0.82
Oct Topic 6,Nov Topic 5,0.68
Oct Topic 6,Nov Topic 6,0.76
Oct Topic 6,Nov Topic 7,0.65
Oct Topic 6,Nov Topic 8,0.75
Oct Topic 7,Nov Topic 0,0.81
Oct Topic 7,Nov Topic 1,0.78
Oct Topic 7,Nov Topic 2,0.70
Oct Topic 7,Nov Topic 3,0.67
Oct Topic 7,Nov Topic 4,0.76
Oct Topic 7,Nov Topic 5,0.68
Oct Topic 7,Nov Topic 7,0.88
Oct Topic 7,Nov Topic 8,0.79
Oct Topic 8,Nov Topic 0,0.86
Oct Topic 8,Nov Topic 1,0.79
Oct Topic 8,Nov Topic 2,0.83
Oct Topic 8,Nov Topic 3,0.69
Oct Topic 8,Nov Topic 4,0.84
Oct Topic 8,Nov Topic 5,0.77
Oct Topic 8,Nov Topic 7,0.70
Oct Topic 8,Nov Topic 8,0.92
Oct Topic 9,Nov Topic 0,0.85
Oct Topic 9,Nov Topic 1,0.75
Oct Topic 9,Nov Topic 2,0.79
Oct Topic 9,Nov Topic 3,0.72
Oct Topic 9,Nov Topic 4,0.84
Oct Topic 9,Nov Topic 5,0.78
Oct Topic 9,Nov Topic 7,0.67
Oct Topic 9,Nov Topic 8,0.79
Oct Topic 10,Nov Topic 0,0.76
Oct Topic 10,Nov Topic 1,0.79
Oct Topic 10,Nov Topic 2,0.73
Oct Topic 10,Nov Topic 3,0.64
Oct Topic 10,Nov Topic 4,0.63
Oct Topic 10,Nov Topic 5,0.69
Oct Topic 10,Nov Topic 7,0.70
Oct Topic 10,Nov Topic 8,0.75
Oct Topic 11,Nov Topic 0,0.90
Oct Topic 11,Nov Topic 1,0.88
Oct Topic 11,Nov Topic 2,0.78
Oct Topic 11,Nov Topic 3,0.71
Oct Topic 11,Nov Topic 4,0.89
Oct Topic 11,Nov Topic 5,0.79
Oct Topic 11,Nov Topic 7,0.83
Oct Topic 11,Nov Topic 8,0.84
Oct Topic 12,Nov Topic 0,0.85
Oct Topic 12,Nov Topic 1,0.84
Oct Topic 12,Nov Topic 2,0.75
Oct Topic 12,Nov Topic 3,0.70
Oct Topic 12,Nov Topic 4,0.86
Oct Topic 12,Nov Topic 5,0.84
Oct Topic 12,Nov Topic 7,0.78
Oct Topic 12,Nov Topic 8,0.76
Oct Topic 13,Nov Topic 0,0.77
Oct Topic 13,Nov Topic 1,0.72
Oct Topic 13,Nov Topic 2,0.75
Oct Topic 13,Nov Topic 3,0.72
Oct Topic 13,Nov Topic 4,0.75
Oct Topic 13,Nov Topic 5,0.75
Oct Topic 13,Nov Topic 7,0.69
Oct Topic 13,Nov Topic 8,0.69
Nov Topic 0,Dec Topic 0,0.96
Nov Topic 0,Dec Topic 1,0.86
Nov Topic 0,Dec Topic 2,0.81
Nov Topic 0,Dec Topic 3,0.79
Nov Topic 0,Dec Topic 4,0.88
Nov Topic 0,Dec Topic 5,0.78
Nov Topic 0,Dec Topic 6,0.82
Nov Topic 0,Dec Topic 7,0.79
Nov Topic 0,Dec Topic 8,0.88
Nov Topic 1,Dec Topic 0,0.86
Nov Topic 1,Dec Topic 1,0.96
Nov Topic 1,Dec Topic 2,0.72
Nov Topic 1,Dec Topic 3,0.68
Nov Topic 1,Dec Topic 4,0.84
Nov Topic 1,Dec Topic 5,0.78
Nov Topic 1,Dec Topic 6,0.78
Nov Topic 1,Dec Topic 7,0.80
Nov Topic 1,Dec Topic 8,0.81
Nov Topic 2,Dec Topic 0,0.83
Nov Topic 2,Dec Topic 1,0.73
Nov Topic 2,Dec Topic 2,0.94
Nov Topic 2,Dec Topic 3,0.78
Nov Topic 2,Dec Topic 4,0.73
Nov Topic 2,Dec Topic 5,0.77
Nov Topic 2,Dec Topic 6,0.68
Nov Topic 2,Dec Topic 7,0.69
Nov Topic 2,Dec Topic 8,0.78
Nov Topic 3,Dec Topic 0,0.77
Nov Topic 3,Dec Topic 1,0.65
Nov Topic 3,Dec Topic 2,0.76
Nov Topic 3,Dec Topic 3,0.86
Nov Topic 3,Dec Topic 4,0.67
Nov Topic 3,Dec Topic 5,0.71
Nov Topic 3,Dec Topic 6,0.63
Nov Topic 3,Dec Topic 7,0.66
Nov Topic 3,Dec Topic 8,0.64
Nov Topic 4,Dec Topic 0,0.90
Nov Topic 4,Dec Topic 1,0.84
Nov Topic 4,Dec Topic 2,0.75
Nov Topic 4,Dec Topic 3,0.72
Nov Topic 4,Dec Topic 4,0.99
Nov Topic 4,Dec Topic 5,0.79
Nov Topic 4,Dec Topic 6,0.85
Nov Topic 4,Dec Topic 7,0.73
Nov Topic 4,Dec Topic 8,0.86
Nov Topic 5,Dec Topic 0,0.81
Nov Topic 5,Dec Topic 1,0.78
Nov Topic 5,Dec Topic 2,0.78
Nov Topic 5,Dec Topic 3,0.74
Nov Topic 5,Dec Topic 4,0.81
Nov Topic 5,Dec Topic 5,0.92
Nov Topic 5,Dec Topic 6,0.67
Nov Topic 5,Dec Topic 7,0.66
Nov Topic 5,Dec Topic 8,0.77
Nov Topic 6,Dec Topic 6,0.52
Nov Topic 7,Dec Topic 0,0.78
Nov Topic 7,Dec Topic 1,0.78
Nov Topic 7,Dec Topic 2,0.67
Nov Topic 7,Dec Topic 3,0.64
Nov Topic 7,Dec Topic 4,0.71
Nov Topic 7,Dec Topic 5,0.63
Nov Topic 7,Dec Topic 6,0.72
Nov Topic 7,Dec Topic 7,0.92
Nov Topic 7,Dec Topic 8,0.73
Nov Topic 8,Dec Topic 0,0.85
Nov Topic 8,Dec Topic 1,0.79
Nov Topic 8,Dec Topic 2,0.72
Nov Topic 8,Dec Topic 3,0.64
Nov Topic 8,Dec Topic 4,0.82
Nov Topic 8,Dec Topic 5,0.72
Nov Topic 8,Dec Topic 6,0.79
Nov Topic 8,Dec Topic 7,0.76
Nov Topic 8,Dec Topic 8,0.94
