聚类数量,轮廓系数
2,0.07121981462760585
3,0.10868857836018088
4,0.1473788781573126
5,0.21146839098438872
6,0.26203339763998224
7,0.2565959584392938
8,0.2971482010541973
9,0.3197520086766401
10,0.3351211423200498
