主题数,困惑度,一致性
2,-5.13479703362026,0.5799790579666759
3,-5.350097190294361,0.5467415229340912
4,-5.500162690965068,0.5294185902277606
5,-5.568736194199436,0.5099470530032789
6,-5.644480309776722,0.5834462324801314
7,-5.80036077757324,0.6007327121862562
8,-5.747458735411712,0.5818190993123433
9,-5.885930488685088,0.5913183837522242
10,-5.846514292317682,0.6259054869341987
11,-6.092383472857772,0.6393961525307078
12,-6.054604461494358,0.6352861230290984
13,-6.1336538270682555,0.6659381617734332
14,-6.202954059439542,0.6767862277767026
15,-6.235421976030619,0.6663461093669762
