,官方-时间,官方-数量,提问-时间,提问-数量
0,2022-01-31,571,2022-01-31,911
1,2022-02-28,368,2022-02-28,424
2,2022-03-31,1004,2022-03-31,1351
3,2022-04-30,1115,2022-04-30,1158
4,2022-05-31,851,2022-05-31,810
5,2022-06-30,915,2022-06-30,754
6,2022-07-31,689,2022-07-31,761
7,2022-08-31,710,2022-08-31,652
8,2022-09-30,655,2022-09-30,506
9,2022-10-31,373,2022-10-31,168
10,2022-11-30,303,2022-11-30,296
11,2022-12-31,408,2022-12-31,442
12,2023-01-31,335,2023-01-31,97
