主题数,困惑度,一致性
2,227.269501766996,0.3058625666018274
3,238.1831258279232,0.2992166379943206
4,244.29919447829894,0.3360080180818715
5,251.24657677581754,0.36519755855529273
6,260.742804006223,0.35071594307544746
7,278.36006290873615,0.3473931920674627
8,307.3701911620777,0.3467675125627993
9,345.58143073912584,0.3727952937063961
10,397.3377523673981,0.3705170250204831
11,468.15017894709644,0.3943047987823759
12,551.1649563780055,0.40293080470543713
13,627.8301788952945,0.38978596475307203
14,692.24043852564,0.3885605211286584
