num topics,Perplexity,consistency
2,-6.9043254047283815,0.3192114588529836
3,-6.688894639503023,0.5037865566662196
4,-6.727880703896719,0.48532681900079955
5,-6.716635268069034,0.42534466575557933
6,-6.732613436373101,0.45303833803498433
7,-6.7430646251044575,0.4877756078410757
8,-6.734710243507371,0.5272691288514948
9,-6.835504219768388,0.4999003204868694
10,-6.7870394720204406,0.4646338438862353
11,-6.843260945740791,0.45874166136448086
12,-6.859514319371407,0.5061373149997416
13,-6.899508809116126,0.5333235853670062
14,-6.894791492658534,0.5132260013039194
