word,counts
真的,107
感觉,50
喜欢,49
视频,33
印象,31
人格,31
朋友,27
刻板,26
目标,25
希望,24
确实,22
老师,21
特别,21
事情,19
分析,17
情绪,17
计划,17
工作,17
能力,17
建议,16
生活,16
身体,16
情感,15
情况,15
一点,15
努力,15
发现,15
类型,14
功能,14
终于,14
效率,14
难受,13
那种,13
方式,13
性格,12
每次,12
追求,12
成长,12
学习,12
相处,12
感谢,11
原因,11
知识,11
感受,10
符合,10
分享,10
发展,10
弱者,10
人生,10
我会,9
只能,9
想要,9
好像,9
测试,9
焦虑,9
解决,9
第一,9
导致,8
自我,8
改变,8
更好,8
思考,8
同学,8
动力,8
带来,8
两个,8
好奇,8
感情,8
描述,8
快乐,8
讨厌,8
一期,8
迷茫,8
意见,8
东西,8
有人,8
重视,8
时间,8
不到,7
同理,7
身边,7
经历,7
变得,7
社会,7
区别,7
解决问题,7
摆烂,7
面对,7
不想,7
反思,7
特征,7
价值,7
有用,7
真实,7
有时候,7
环境,7
不行,7
忽略,7
影响,6
发现自己,6
