word,counts
china,218
chinese,67
video,54
beautiful,43
sichuan,37
morning,35
fighter,35
love,34
panda,33
military,33
cute,32
people,31
sanxingdui,27
taiwan,27
aircraft,26
amp,26
day,25
missile,25
amazing,23
powerful,23
visit,22
time,22
russia,22
cool,21
nice,21
wow,19
weapon,19
russian,19
speed,18
hiking,17
animal,16
game,16
carrier,16
american,15
check,15
ukraine,15
ship,15
life,14
history,14
power,14
united,14
war,14
submarine,14
sea,14
jet,14
air,14
ancient,13
link,13
free,13
based,13
chengdu,13
city,13
navy,13
stealth,13
enjoy,12
bronze,12
mask,12
join,12
real,12
top,12
system,12
building,12
view,11
coming,11
hope,11
human,11
happy,11
range,11
yummy,11
billion,11
space,11
supersonic,11
advanced,11
museum,10
test,10
ready,10
meet,10
modern,10
share,10
type,10
buy,10
helicopter,10
country,10
water,10
nuclear,10
challenge,10
anti,10
engine,10
pla,10
build,10
capability,10
relic,9
forward,9
future,9
soo,9
force,9
target,9
army,9
bomber,9
super,9
