Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重
合适,0.032,质量,0.034,舒服,0.024
舒服,0.027,不错,0.025,质量,0.023
衣服,0.026,特别,0.020,不错,0.019
不错,0.026,喜欢,0.019,衣服,0.018
尺码,0.024,做工,0.018,喜欢,0.016
质量,0.024,好看,0.016,价格,0.016
面料,0.020,真的,0.016,京东,0.013
穿着,0.019,东西,0.014,穿着,0.012
款式,0.018,收到,0.014,值得,0.011
好看,0.015,衣服,0.013,物流,0.010
效果,0.014,购买,0.013,品牌,0.010
喜欢,0.014,满意,0.013,满意,0.010
上身,0.013,很快,0.012,颜色,0.009
舒适,0.012,值得,0.012,做工,0.009
材质,0.012,颜色,0.010,购物,0.009
卫衣,0.012,物流,0.009,快递,0.009
满意,0.012,精细,0.009,好看,0.009
类型,0.012,好评,0.009,厚实,0.008
颜色,0.011,款式,0.008,卫衣,0.008
版型,0.010,推荐,0.008,性价比,0.008
