内容,主题概率,主题类型
买大 宽松 换货 材质 做工 超出 预期 超值 好看 卖家 发货 预计 提早 后悔 五分,"[(0, 0.9522076), (1, 0.024465593), (2, 0.023326773)]",0
外观 美观 很久 终于 找到 这款 感觉 质量 挺好 喜欢 产品 希望 能用,"[(0, 0.026870748), (1, 0.9459658), (2, 0.027163437)]",1
回来 合身 灰色 满意 心满意足,"[(0, 0.87466544), (1, 0.06045302), (2, 0.064881556)]",0
衣服 质量 送货,"[(0, 0.7958777), (1, 0.106135), (2, 0.09798728)]",0
没想到 网上 客服 热心 推荐 喜欢 购物,"[(0, 0.045386128), (1, 0.6496621), (2, 0.30495182)]",1
大小 合适 喜欢 下次 光顾 网上 购物 成功,"[(0, 0.56796634), (1, 0.39125556), (2, 0.04077806)]",0
衣服 款式 新颖 时尚 面料 柔软 细腻 上身 效果,"[(0, 0.92906433), (1, 0.03607798), (2, 0.03485771)]",0
尽在不言中 不错 卖家 诚信 下次,"[(0, 0.37715796), (1, 0.5649865), (2, 0.057855498)]",1
衣服 款式 新颖 时尚 上身 效果 不错 质量,"[(0, 0.9172601), (1, 0.042756226), (2, 0.03998368)]",0
下次 广告 宝贝 实惠 喜欢 这家 宝贝 快递,"[(0, 0.040441323), (1, 0.91802114), (2, 0.041537575)]",1
忠实 粉丝 耐心 东东 不错 光顾,"[(0, 0.054520175), (1, 0.8953891), (2, 0.050090767)]",1
包装 仔细 值得 购买 宝贝 理想 光临,"[(0, 0.046481937), (1, 0.90943617), (2, 0.044081904)]",1
喜欢 店主 推荐 实惠 下次,"[(0, 0.06792714), (1, 0.8686976), (2, 0.063375264)]",1
宝贝 收到 实惠 喜欢 价格便宜 质量 不错,"[(0, 0.046218395), (1, 0.9076022), (2, 0.046179403)]",1
性价比 整体 感觉 不错 商家 描述 挺行 物流,"[(0, 0.049653057), (1, 0.6285581), (2, 0.3217888)]",1
物流 态度 希望 优惠 商品,"[(0, 0.059170403), (1, 0.40153277), (2, 0.5392968)]",2
发货 很快 商品质量 喜欢 购买 这家,"[(0, 0.056020927), (1, 0.8888641), (2, 0.055115003)]",1
信誉 卖家 第一 时间 发货 价格便宜 质量 不错,"[(0, 0.9093077), (1, 0.049287345), (2, 0.04140488)]",0
