Source,Target,Type,Weight
孩子,经常,Undirected,20
孩子,总是,Undirected,15
孩子,不能,Undirected,25
孩子,回家,Undirected,13
孩子,怎么办,Undirected,12
孩子,能力,Undirected,18
孩子,面对,Undirected,13
孩子,未来,Undirected,15
孩子,决定,Undirected,10
孩子,不想,Undirected,22
孩子,如何,Undirected,15
孩子,比较,Undirected,22
孩子,办法,Undirected,16
孩子,地方,Undirected,11
孩子,有点,Undirected,14
孩子,内心,Undirected,10
孩子,经历,Undirected,18
孩子,上班,Undirected,12
孩子,在家,Undirected,15
孩子,父母,Undirected,26
孩子,老师,Undirected,11
孩子,解决,Undirected,15
孩子,关系,Undirected,14
孩子,害怕,Undirected,14
孩子,失去,Undirected,15
孩子,心情,Undirected,10
孩子,影响,Undirected,12
孩子,今年,Undirected,11
感觉,希望,Undirected,32
感觉,焦虑,Undirected,42
感觉,一直,Undirected,37
感觉,身边,Undirected,21
感觉,成功,Undirected,13
感觉,同学,Undirected,19
感觉,事情,Undirected,41
感觉,社会,Undirected,13
感觉,难过,Undirected,10
感觉,毕业,Undirected,15
感觉,别人,Undirected,40
感觉,大学,Undirected,15
感觉,觉得,Undirected,47
感觉,失败,Undirected,14
感觉,没有,Undirected,68
感觉,家里,Undirected,24
感觉,专业,Undirected,14
感觉,无法,Undirected,23
感觉,需要,Undirected,30
感觉,学生,Undirected,15
感觉,家庭,Undirected,18
感觉,学校,Undirected,20
感觉,压力,Undirected,33
感觉,喜欢,Undirected,27
感觉,最近,Undirected,25
感觉,学习,Undirected,24
感觉,问题,Undirected,35
感觉,选择,Undirected,25
感觉,改变,Undirected,23
感觉,以后,Undirected,17
感觉,环境,Undirected,15
感觉,现在,Undirected,57
感觉,一年,Undirected,19
感觉,每天,Undirected,32
感觉,抑郁,Undirected,13
感觉,工作,Undirected,51
感觉,人生,Undirected,22
感觉,有时候,Undirected,19
感觉,生活,Undirected,41
感觉,状态,Undirected,22
感觉,不敢,Undirected,22
感觉,说话,Undirected,20
感觉,紧张,Undirected,16
感觉,想要,Undirected,18
感觉,感到,Undirected,16
感觉,考试,Undirected,12
感觉,妈妈,Undirected,12
感觉,晚上,Undirected,14
感觉,睡觉,Undirected,10
感觉,身体,Undirected,22
感觉,朋友,Undirected,34
感觉,不行,Undirected,15
感觉,烦恼,Undirected,11
感觉,困难,Undirected,15
感觉,担心,Undirected,24
感觉,情绪,Undirected,21
感觉,结果,Undirected,24
感觉,经常,Undirected,22
感觉,担忧,Undirected,11
感觉,总是,Undirected,26
感觉,不能,Undirected,31
感觉,准备,Undirected,12
感觉,吃饭,Undirected,13
感觉,领导,Undirected,13
感觉,公司,Undirected,16
感觉,回家,Undirected,12
感觉,怎么办,Undirected,12
感觉,能力,Undirected,24
感觉,面对,Undirected,18
感觉,未来,Undirected,18
感觉,决定,Undirected,16
感觉,失眠,Undirected,11
感觉,不想,Undirected,40
感觉,如何,Undirected,22
感觉,比较,Undirected,21
感觉,办法,Undirected,21
感觉,地方,Undirected,15
感觉,同事,Undirected,13
感觉,医院,Undirected,11
感觉,有点,Undirected,21
感觉,工资,Undirected,12
感觉,内心,Undirected,16
感觉,房子,Undirected,11
感觉,烦躁,Undirected,12
感觉,下班,Undirected,11
感觉,经历,Undirected,20
感觉,疫情,Undirected,13
感觉,安排,Undirected,11
感觉,上班,Undirected,13
感觉,在家,Undirected,13
感觉,父母,Undirected,19
感觉,老师,Undirected,24
感觉,严重,Undirected,16
感觉,解决,Undirected,17
感觉,关系,Undirected,17
感觉,害怕,Undirected,21
感觉,失去,Undirected,17
感觉,心情,Undirected,14
感觉,影响,Undirected,22
感觉,想着,Undirected,10
感觉,表现,Undirected,10
感觉,今年,Undirected,11
感觉,不安,Undirected,10
希望,焦虑,Undirected,31
希望,一直,Undirected,30
希望,身边,Undirected,14
希望,成功,Undirected,17
希望,同学,Undirected,15
希望,事情,Undirected,32
希望,社会,Undirected,14
希望,毕业,Undirected,15
希望,别人,Undirected,28
希望,大学,Undirected,17
希望,觉得,Undirected,34
希望,失败,Undirected,12
希望,没有,Undirected,46
希望,家里,Undirected,20
希望,专业,Undirected,10
希望,无法,Undirected,18
希望,需要,Undirected,27
希望,学生,Undirected,12
希望,家庭,Undirected,17
希望,学校,Undirected,15
希望,压力,Undirected,20
希望,喜欢,Undirected,23
希望,最近,Undirected,14
希望,学习,Undirected,19
希望,问题,Undirected,33
希望,选择,Undirected,21
希望,改变,Undirected,18
希望,以后,Undirected,11
希望,环境,Undirected,18
希望,现在,Undirected,36
希望,一年,Undirected,14
希望,每天,Undirected,19
希望,工作,Undirected,33
希望,人生,Undirected,18
希望,有时候,Undirected,11
希望,生活,Undirected,31
希望,状态,Undirected,16
希望,不敢,Undirected,17
希望,说话,Undirected,15
希望,想要,Undirected,18
希望,感到,Undirected,14
希望,妈妈,Undirected,15
希望,身体,Undirected,12
希望,朋友,Undirected,21
希望,不行,Undirected,10
希望,担心,Undirected,15
希望,情绪,Undirected,19
希望,结果,Undirected,20
希望,经常,Undirected,16
希望,总是,Undirected,17
希望,不能,Undirected,26
希望,公司,Undirected,11
希望,回家,Undirected,10
希望,怎么办,Undirected,12
希望,能力,Undirected,22
希望,去年,Undirected,10
希望,面对,Undirected,18
希望,目前,Undirected,10
希望,未来,Undirected,18
希望,决定,Undirected,12
希望,不想,Undirected,22
希望,如何,Undirected,16
希望,比较,Undirected,21
希望,办法,Undirected,22
希望,地方,Undirected,13
希望,有点,Undirected,16
希望,内心,Undirected,12
希望,经历,Undirected,21
希望,疫情,Undirected,11
希望,面试,Undirected,10
希望,在家,Undirected,11
希望,父母,Undirected,21
希望,老师,Undirected,17
希望,严重,Undirected,11
希望,解决,Undirected,20
希望,关系,Undirected,14
希望,害怕,Undirected,14
希望,失去,Undirected,14
希望,心情,Undirected,11
希望,影响,Undirected,14
希望,今年,Undirected,12
焦虑,一直,Undirected,40
焦虑,身边,Undirected,21
焦虑,成功,Undirected,18
焦虑,同学,Undirected,17
焦虑,事情,Undirected,44
焦虑,社会,Undirected,17
焦虑,毕业,Undirected,18
焦虑,别人,Undirected,38
焦虑,大学,Undirected,19
焦虑,觉得,Undirected,42
焦虑,失败,Undirected,15
焦虑,没有,Undirected,68
焦虑,家里,Undirected,20
焦虑,专业,Undirected,17
焦虑,无法,Undirected,27
焦虑,需要,Undirected,33
焦虑,学生,Undirected,14
焦虑,家庭,Undirected,17
焦虑,学校,Undirected,17
焦虑,压力,Undirected,37
焦虑,喜欢,Undirected,24
焦虑,最近,Undirected,19
焦虑,学习,Undirected,28
焦虑,问题,Undirected,42
焦虑,选择,Undirected,28
焦虑,改变,Undirected,21
焦虑,以后,Undirected,16
