Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重
game,0.072,notredame,0.132,god,0.054,catholic,0.058,love,0.040,notre,0.113,art,0.053,fire,0.121,dame,0.186,notredame,0.042,creed,0.077,spire,0.059,francis,0.056,people,0.121
video,0.039,rebuild,0.071,hope,0.036,notre,0.050,cathedral,0.033,dame,0.112,history,0.049,notredame,0.087,notre,0.186,time,0.033,assassin,0.073,flint,0.045,pope,0.031,money,0.042
report,0.028,cathedral,0.065,burn,0.032,rt,0.047,bell,0.028,cathedral,0.094,architecture,0.037,cathedral,0.048,cathedral,0.151,day,0.031,unity,0.067,water,0.040,macron,0.028,wonderful,0.032
amazing,0.026,pledge,0.044,shit,0.031,dame,0.047,fuck,0.025,france,0.032,tweet,0.031,news,0.043,fire,0.079,tragedy,0.023,free,0.062,architect,0.038,trump,0.025,condolence,0.030
cool,0.024,company,0.038,announces,0.026,cathedral,0.040,church,0.023,rebuild,0.032,gothic,0.025,church,0.035,paris,0.041,money,0.023,notredame,0.059,notredame,0.035,hunchback,0.021,building,0.030
happened,0.023,disney,0.038,forest,0.022,church,0.036,burning,0.022,donation,0.029,historian,0.023,french,0.024,photo,0.016,guy,0.022,de,0.045,design,0.034,restore,0.019,offering,0.029
nice,0.021,restoration,0.027,wow,0.021,beautiful,0.028,muslim,0.019,amp,0.027,construction,0.016,burned,0.023,billion,0.013,fund,0.019,ubisoft,0.035,france,0.033,offer,0.016,conversation,0.028
digital,0.017,rebuilding,0.027,question,0.019,reconstruction,0.027,france,0.019,competition,0.020,cathedral,0.015,black,0.023,damage,0.013,hour,0.017,paris,0.027,international,0.032,donated,0.016,rebuild,0.023
inside,0.016,donating,0.020,article,0.019,donate,0.026,solidarity,0.018,pour,0.019,site,0.014,notre,0.023,devastating,0.012,raised,0.017,pc,0.023,call,0.031,parisian,0.015,president,0.020
build,0.016,effort,0.020,hear,0.017,minister,0.017,april,0.016,rebuilt,0.019,picture,0.014,dame,0.022,rebuild,0.011,cross,0.015,puerto,0.017,watch,0.027,pray,0.013,apple,0.015
structure,0.016,walt,0.018,tragic,0.016,social,0.015,story,0.016,rebuilding,0.013,idea,0.013,paris,0.016,drone,0.010,real,0.014,aid,0.016,global,0.022,highlight,0.012,united,0.014
play,0.015,fire,0.017,piece,0.016,awesome,0.014,feel,0.015,burning,0.012,live,0.013,bbc,0.015,daily,0.009,hey,0.014,read,0.016,clean,0.021,renovation,0.012,don,0.013
gt,0.015,support,0.016,lost,0.015,wrong,0.014,notre,0.015,post,0.011,beauty,0.013,blaze,0.013,footage,0.009,tinderbox,0.013,rico,0.015,country,0.016,completely,0.012,human,0.012
scan,0.015,ubisoft,0.016,helping,0.014,wake,0.011,dame,0.015,jesus,0.011,incredible,0.011,firefighter,0.010,dollar,0.008,imagine,0.012,sad,0.013,life,0.016,month,0.012,fucking,0.012
mind,0.014,medium,0.016,attic,0.014,disney,0.011,holy,0.014,flame,0.010,original,0.011,historic,0.010,iconic,0.007,faith,0.011,week,0.013,care,0.015,pay,0.012,lot,0.012
tower,0.013,euro,0.013,respect,0.013,car,0.011,accident,0.013,french,0.010,expert,0.011,omar,0.009,lt,0.006,remember,0.011,visit,0.012,fire,0.013,donates,0.011,french,0.012
pretty,0.013,money,0.013,monument,0.012,restoring,0.010,set,0.011,isi,0.008,michelle,0.010,arson,0.009,raised,0.006,absolutely,0.011,ac,0.012,prayer,0.013,president,0.011,macron,0.011
window,0.013,million,0.013,europe,0.011,rebuild,0.009,hell,0.011,restore,0.008,laser,0.010,ilhan,0.008,image,0.006,cat,0.011,monday,0.011,contest,0.013,artist,0.010,donate,0.010
ago,0.013,mosque,0.012,insurance,0.011,vatican,0.009,ring,0.011,trump,0.008,destruction,0.010,robot,0.008,event,0.005,friend,0.011,restoration,0.011,launch,0.013,plan,0.010,billion,0.009
white,0.012,time,0.012,night,0.010,restoration,0.009,christian,0.010,wait,0.008,announced,0.009,louisiana,0.007,tribute,0.004,start,0.011,maker,0.010,gonna,0.012,opinion,0.010,loss,0.009
