,Topic number,coherence_values
0,2,0.2289860265185975
1,3,0.20784022164155933
2,4,0.21993115622453746
3,5,0.25923453719091794
4,6,0.27002978529201976
5,7,0.3433034239482183
6,8,0.2912954118321871
7,9,0.3313957246972959
8,10,0.3224292610239937
9,11,0.3237608054800909
10,12,0.379040567623883
11,13,0.371182262427172
12,14,0.4093929297980981
13,15,0.37540854988755806
