word,counts
真的,117
喜欢,105
朋友,87
感觉,83
人格,36
老师,35
需求,33
事情,26
希望,26
价值,24
发现,22
一点,21
视频,21
性格,21
两个,21
感受,20
照顾,20
情绪,20
内耗,18
建议,18
核心,18
找到,17
确实,17
开心,17
理解,16
功能,16
身边,16
发展,15
信念,15
想要,14
状态,14
接受,14
过度,14
分析,14
思考,14
热情,14
关系,14
类型,14
蝴蝶,14
自信,14
生活,13
控制,13
相处,13
情感,13
在意,13
太阳,13
好像,13
所有人,13
第一次,13
绝配,13
共情,13
特别,12
内心,12
付出,12
有没有,11
社交,11
那种,11
影响,11
我会,11
人群,10
拒绝,10
认可,10
自我,10
阴暗面,10
工作,10
想法,10
矛盾,10
真实,10
舒服,10
主动,10
超级,10
理想,9
不好,9
方式,9
有人,9
心理,9
本来,9
两年,9
自私,9
努力,9
讨厌,9
有时候,9
能力,9
每次,9
鼓励,8
学会,8
学习,8
帮忙,8
好多,8
世界,8
聊天,8
测试,8
表面,8
导致,8
敏感,8
双鱼,8
远离,7
人生,7
看法,7
选择,7
