,标题,时间,新闻内容,新闻链接,分词,情感分值,聚类结果
0,教育部党组成员、副部长吴岩一行到东南大学调研,2023-02-18,【东大新闻网2月18日电】（记者 东萱 摄影 杭添）2月17日上午，教育部党组成员、副部长吴岩一行到东南大学无线谷走访调研，听取了6G移动通信系统科技创新情况、国产EDA软件攻关情况介绍，并调研了未来技术学院建设情况。教育部财务司司长郭鹏、科学技术与信息化司司长雷朝滋、教育质量评估中心主任范唯等相关司局负责同志，江苏省教育厅副厅长曹玉梅，东南大学校长黄如、副校长金石陪同调研。吴岩详细调研了东南大学科研团队6G研发的情况，对团队多年来聚焦国家重大任务目标、攻关新型网络体系架构所作出的努力和成绩表示肯定。他说，习近平总书记高度重视信息化建设和数字经济、数字中国建设，多次强调数字化、网络化、智能化在中国特色社会主义现代化建设中的重要意义，希望东大科研团队持续发力、攻坚克难，相关研究再上新台阶。在东南大学牵头成立的国家集成电路设计自动化技术创新中心，吴岩听取了中心负责人对EDA技术与产业、东南大学建设EDA综合情况的介绍，就解决中心建设困难和优化条件保障等给出指导建议，并对中心探索EDA人才培养经验提出期待。在未来技术学院，吴岩听取了学院培养电子信息领域未来科技领军人才情况介绍，详细了解学生选拔、培养、未来就业等情况，并与同学们亲切交谈，勉励同学们继续努力，祝福大家都有美好的未来。 （责任编辑：翟梦杰 审核：宋健刚）,https://news.seu.edu.cn/2023/0218/c5486a434812/page.htm,东大 新闻网 日电 记者 东萱 摄影 杭添 上午 教育部党组 成员 部长 吴岩 一行 东南大学 无线 走访 调研 听取 通信 系统 科技 创新 情况 国产 软件 攻关 情况 介绍 调研 未来 技术 学院 建设 情况 教育部 财务司 司长 郭鹏 科学技术 信息化 司长 雷朝滋 教育 质量 评估 中心 主任 范唯等 相关 司局 负责同志 江苏省 教育厅 副厅长 曹玉梅 东南大学 校长 黄如 副校长 金石 陪同 调研 吴岩 详细 调研 东南大学 科研 团队 研发 情况 团队 多年 聚焦 国家 目标 攻关 新型 网络体系 架构 作出 努力 成绩 肯定 习近平 总书记 高度重视 信息化 建设 数字 经济 数字 中国 建设 数字化 网络化 智能化 中国 特色 现代化 建设 意义 希望 东大 科研 团队 持续 发力 攻坚克难 相关 研究 新台阶 东南大学 牵头 成立 国家 集成电路 设计 自动化 技术创新 中心 吴岩 听取 中心 负责人 技术 产业 东南大学 建设 综合 情况 介绍 解决 中心 建设 困难 优化 条件 保障 给出 指导 建议 中心 探索 人才培养 经验 提出 期待 未来 技术 学院 吴岩 听取 学院 培养 电子信息 领域 未来 科技 领军 人才 情况 介绍 详细 学生 选拔 培养 未来 就业 情况 同学 亲切 交谈 勉励 同学 努力 祝福 美好 未来 责任编辑 翟梦杰 审核 宋健刚,0.997,0
1,东南大学举办学习贯彻党的二十大精神专题培训班,2023-02-18,【东大新闻网2月18日电】（记者 孙艳 摄影 杭添）春启生机，春雨润物。为全面贯彻落实党的二十大精神，2月10日至15日，东南大学“学习贯彻党的二十大精神专题培训班”如火如荼地举行，培训邀请本校的领导和专家讲授，同时邀请了第十三届全国人大常委会委员、全国人大民族委员会主任委员、中国科学院原院长白春礼院士，全国人大常委会委员、全国人大社会建设委员会副主任委员、中国社科院大学教授江小涓等校外领导和专家进行授课，通过集中培训与自主研学结合、专家辅导与交流研讨结合的方式，全校中层领导干部认真积极地上好全面贯彻党的二十大精神开局之年“第一课”。党的二十大对推进中国式现代化以及加强高素质干部队伍建设进行了系统阐述和谋划部署。校长黄如作《东南再出发，干部当先行》的报告。她分析了世界新形势、新变化，中国所处的新方位、新征程，提出作为一名东大干部，要了解世界发展形势，国家发展新方位与挑战，明晰教育工作的责任和使命。她通过详实的数据图表、实际案例，科学分析了当前高等教育、科技创新、学科发展趋势，并指出要对标2035年迈入教育强国行列的要求，先于思考，先于行动，思考如何以教育更好地赋能、支撑中国式现代化的伟大实践，做出不可替代的东大贡献。她总结了学校目前整体概况及所取得的成绩，指出学校存在的问题短板，并进行归因分析，提出要做到学术至上、生为首位、师为根基，按照之前提出的办“有使命、有情怀、有格局、有品质”的大学目标，践行以立德树人为根本，以服务国家为导向，以队伍建设为支撑、以院系发展为基础、以学科交叉为抓手、以治理体系为保障的发展路径。黄如指出，学校的发展离不开一支想干、肯干、能干的干部队伍。大学的管理服务对干部提出了更高要求，要用一流的管理服务，留住一流的人才、吸引一流的学生；要以一流的学者队伍和一流的管理服务队伍实现一流大学的“双轮驱动”。黄如细致分析了学校干部队伍的情况，并提出要保持“有信心、充满拼劲闯劲、时时放心不下”的工作状态；有思考、有想法、有章法、有办法，提升学习力、判断力、谋划力、执行力、洞察力等工作能力；加强调研、总结等工作方法，以更大力度推进“东大干部十条”工作要求，打造一支信念过硬、政治过硬、能力过硬、责任过硬、作风过硬的一流管理队伍，以一流的管理服务支撑一流的人才培养、学术创新、学科建设，创造东南大学新的甲子辉煌。校党委书记左惟作《勤学善领 奋斗担当》的报告。他指出，要认清使命，深刻把握干部提升能力的重大意义。一是要从服务支撑中国式现代化的战略维度，深刻把握高校的时代使命。党的二十大将教育、科技、人才作为全面建设社会主义现代化国家的基础性、战略性支撑进行系统谋划、一体部署。高校作为科技第一生产力、人才第一资源和创新第一动力等“三个第一”的重要结合点，同时也是科教兴国、创新驱动和人才强国“三大战略”的重要交汇点，在中国式现代化建设进程中，责任重大、使命光荣，肩负着面向未来、推动人类文明进步的时代使命。东南大学在相关领域、产业、学科中应凸显自己不可或缺的作用。二是要从伟大斗争战略前沿和战略要地的维度，深刻把握高校的国家使命：培养担当民族复兴大任的时代新人、打造高水平科技自立自强国家战略力量、建构中国自主的知识体系，推动我国建成世界重要人才中心和创新高地，为国家强盛、民族复兴提供强有力支撑，助力产业走向全球顶尖行列，推动科技文化创新，引领人类文明进步。三是要从中国特色世界一流大学事业发展的维度，深刻把握领导干部提升能力的意义。党的二十大提出“建设堪当民族复兴重任的高素质干部队伍”的重大任务，作为高等教育的组织者、管理者和参与者，作为学校改革发展的“关键少数”，领导干部要准确把握高等教育发展趋势和规律，增强办学治校的能力、本领，使专业素养、能力更好适应国家发展和学校建设中国特色世界一流大学的要求。左惟总结了学校领导干部的优点，对学校领导干部具有争创中国特色世界一流大学的潜质给予充分肯定。他指出，面对党和国家新要求、学校发展新目标，对标习近平总书记对领导干部提出的一系列素质能力要求，学校领导干部队伍应正视还存在一些不足。为此，要结合高校特点，有针对性地全方位提升政治力、学习力、创新力、谋划力、指挥力、理解力、协同力、执行力、服务力等素质能力，善于研究把握教育教学规律、一流大学治理规律和沟通协调科学艺术，找准定位、明晰职责、团结协作，争做中国特色世界一流大学建设事业的闯将干将，为推进学校事业发展不懈努力、接续奋斗！培训会上，东南大学常务副校长吴刚作《学习党的二十大精神 谋划东大科研新篇章》的报告。他结合党的二十大报告的相关章节内容，提取了报告中关于科技创新的相关表述进行系统解读，并从加强马克思主义理论研究阐释、推进产学研深度融合、服务区域发展和国家战略、打造东大特色的战略科技队伍、加快构建东大学科学术话语体系和学术文化、完善长效科研体系、建设高水平科研平台等方面，提出了“东大担当”的具体举措。党委常务副书记刘攀作《贯彻中央人才工作精神，全力建设东大人才新高地》的报告，报告从二十大报告与新时代人才强国战略的历史脉络，新时代人才强国战略的背景、内涵与实施策略，东南大学人才工作的使命、实践与挑战，建设东大人才新高地的目标和举措等方面，全面深入系统地解读了新时代人才强国战略的内涵要义，并提出了东南大学服务国家战略、建设人才新高地的目标任务与路径举措。副校长金石作《以党的二十大为指引，加强新时代领军人才培养》的报告，结合二十大报告中的有关表述，深入解读了新时代新征程实施科教兴国战略的新内涵、重大意义和推进路径，并结合其他国家的发展实践经验以及习近平总书记关于教育的系列重要论述，深刻阐述了把教育和人力资源开发放在优先发展地位的现实价值。报告还分别从本科生和研究生两个层面，对学校领军人才的培养现状、问题不足和未来思考进行剖析，提出相应对策与思考。党委宣传部部长顾永红以《学习领会党的二十大关于教育科技人才的重大战略部署》为题，围绕党的二十大报告关于教育科技人才的重大战略部署，对其重大意义、丰富内涵和使命担当进行了阐释和汇报。此次培训是学校积极响应党中央及中组部要求，对全校中层干部进行集中轮训。培训教育引导全校领导干部更加深刻领悟“两个确立”的决定性意义，增强“四个意识”、坚定“四个自信”、做到“两个维护”，以实际行动践行对党忠诚，增强能力本领，以昂扬的精神状态、务实的工作作风，加速推进学校“双一流”建设。（责任编辑：孙艳 审核：宋健刚）,https://news.seu.edu.cn/2023/0218/c5486a434811/page.htm,东大 新闻网 日电 记者 孙艳 摄影 杭添 春启 生机 春雨 润物 贯彻落实 二十大 精神 日至 东南大学 学习 贯彻 二十大 精神 专题 培训班 如火如荼 培训 邀请 本校 领导 专家 讲授 邀请 第十三届 全国人大常委会 委员 全国人大民族委员会 主任委员 中国科学院 院长 白春礼 院士 全国人大常委会 委员 全国人大 社会 建设 委员会 主任委员 中国社科院 大学教授 江小 校外 领导 专家 授课 培训 自主 研学 专家 辅导 交流 研讨 方式 全校 中层 领导 干部 地上 贯彻 二十大 精神 开局 第一课 二十大 推进 中国式 现代化 高素质 干部队伍 建设 系统阐述 谋划 部署 校长 黄如作 东南 出发 干部 先行 报告 分析 世界 形势 变化 中国 所处 方位 征程 提出 一名 东大 干部 世界 发展 形势 国家 发展 方位 挑战 明晰 教育 工作 责任 使命 详实 数据 图表 案例 科学分析 高等教育 科技 创新 学科 发展趋势 指出 对标 迈入 教育 强国 行列 先于 思考 先于 思考 教育 更好 地赋 支撑 中国式 现代化 实践 做出 东大 贡献 学校 整体 概况 成绩 指出 学校 短板 归因 分析 提出 学术 至上 首位 师为 根基 提出 使命 情怀 格局 品质 大学 目标 践行 立德 人为 服务 国家 导向 队伍 建设 支撑 院系 发展 基础 学科 交叉 抓手 治理 体系 保障 发展 路径 黄如 指出 学校 发展 离不开 一支 肯干 能干 干部队伍 大学 管理 服务 干部 提出 一流 管理 服务 留住 一流 人才 吸引 一流 学生 一流 学者 队伍 一流 管理 服务 队伍 一流大学 双轮 驱动 黄如 细致 分析 学校 干部队伍 情况 提出 信心 充满 拼劲 闯劲 时时 放心不下 工作 状态 思考 想法 章法 办法 提升 学习 判断力 谋划 执行力 洞察力 工作 能力 调研 工作 方法 力度 推进 东大 干部 十条 工作 打造 一支 信念 过硬 政治 过硬 能力 过硬 责任 过硬 作风过硬 一流 管理 队伍 一流 管理 服务 支撑 一流 人才培养 学术 创新 学科建设 创造 东南大学 甲子 辉煌 党委书记 左惟作 勤学 善领 奋斗 担当 报告 指出 认清 使命 深刻 把握 干部 提升 能力 重大意义 一是 服务 支撑 中国式 现代化 战略 维度 深刻 把握 高校 时代 使命 二十大 教育 科技 人才 建设 现代化 国家 基础性 战略性 支撑 系统 谋划 一体 部署 高校 科技 第一 生产力 人才 第一 资源 创新 第一 动力 三个 第一 结合点 科教兴国 创新 驱动 人才 强国 三大 战略 交汇点 中国式 现代化 建设 进程 责任重大 使命 光荣 肩负着 面向未来 推动 人类文明 时代 使命 东南大学 相关 领域 产业 学科 中应 凸显 不可或缺 作用 二是 斗争 战略 前沿 战略要地 维度 深刻 把握 高校 国家 使命 培养 担当 民族 复兴 大任 时代 新人 打造 高水平 科技 自立自强 国家 战略 力量 建构 中国 自主 知识 体系 推动 我国 建成 世界 人才 中心 创新 高地 国家 强盛 民族 复兴 提供 强有力 支撑 助力 产业 走向 全球 顶尖 行列 推动 科技 文化 创新 引领 人类文明 三是 中国 特色 世界 一流大学 事业 发展 维度 深刻 把握 领导 干部 提升 能力 意义 二十大 提出 建设 堪当 民族 复兴 重任 高素质 干部队伍 高等教育 组织者 管理者 参与者 学校 改革 发展 关键 领导 干部 准确 把握 高等教育 发展趋势 规律 增强 办学 治校 能力 本领 专业 素养 能力 更好 国家 发展 学校 建设 中国 特色 世界 一流大学 左惟 学校 领导 干部 优点 学校 领导 干部 争创 中国 特色 世界 一流大学 潜质 给予 充分肯定 指出 面对 党和国家 学校 发展 目标 对标 习近平 总书记 领导 干部 提出 一系列 素质 能力 学校 领导 干部队伍 正视 高校 针对性 全方位 提升 政治 学习 创新力 谋划 指挥 理解力 协同 执行力 服务 素质 能力 善于 研究 把握 教育 教学 规律 一流大学 治理 规律 沟通 协调 科学 艺术 找准 定位 明晰 职责 团结 协作 争做 中国 特色 世界 一流大学 建设 事业 闯将 干将 推进 学校 事业 发展 不懈努力 接续 奋斗 培训 会上 东南大学 常务 副校长 吴刚作 学习 二十大 精神 谋划 东大 科研 新篇章 报告 二十大 报告 相关 章节 内容 提取 报告 科技 创新 相关 表述 系统 解读 马克思主义 理论 研究 阐释 推进 产学研 深度 融合 服务 区域 发展 国家 战略 打造 东大 特色 战略 科技队伍 加快 构建 东大 学科 学术 话语 体系 学术 文化 完善 长效 科研 体系 建设 高水平 科研 平台 提出 东大 担当 举措 党委 常务副 书记 刘攀作 贯彻 中央 人才 工作 精神 建设 东大 人才 新高 报告 报告 二十大 报告 时代 人才 强国 战略 历史 脉络 时代 人才 强国 战略 背景 内涵 实施 策略 东南大学 人才 工作 使命 实践 挑战 建设 东大 人才 新高 目标 举措 系统地 解读 时代 人才 强国 战略 内涵 要义 提出 东南大学 服务 国家 战略 建设 人才 新高 目标 路径 举措 副校长 金石 以党 二十大 指引 时代 领军 人才培养 报告 二十大 报告 表述 解读 时代 征程 实施 科教兴国 战略 内涵 重大意义 推进 路径 国家 发展 实践经验 习近平 总书记 教育 系列 论述 深刻 阐述 教育 人力资源 开发 放在 优先发展 地位 现实 价值 报告 本科生 研究生 两个 层面 学校 领军 人才 培养 现状 未来 思考 剖析 提出 对策 思考 党委 宣传部 部长 顾永红以 学习 领会 二十大 教育 科技人才 战略部署 为题 围绕 二十大 报告 教育 科技人才 战略部署 重大意义 内涵 使命 担当 阐释 汇报 培训 学校 积极响应 党中央 中组部 全校 中层干部 轮训 培训 教育引导 全校 领导 干部 深刻 领悟 两个 确立 决定性 意义 增强 四个 意识 坚定 四个 自信 两个 维护 实际行动 践行 对党 忠诚 增强 能力 本领 昂扬 精神状态 务实 工作作风 加速 推进 学校 一流 建设 责任编辑 孙艳 审核 宋健刚,0.9974,1
2,东南大学召开2023年春季中层干部大会,2023-02-17,"【东大新闻网2月17日电】（记者 东萱 摄影 杭添）2月15日，东南大学在九龙湖校区润良报告厅召开2023年春季中层干部大会。校党委书记左惟、校长黄如分别作报告，总结学校2022年工作，部署2023年工作。常务副书记刘攀主持会议。  会上，左惟作《推进改革 聚力提升 深入学习贯彻党的二十大精神 全面推进中国特色世界一流大学建设再上新台阶》的报告。他从深入学习贯彻落实党的二十大精神,深刻领悟“两个确立”的决定性意义，坚决做到“两个维护”；持续深化政治建设，全面提升党对学校工作的领导；隆重举办东南大学建校120周年系列活动,学习贯彻落实习近平总书记重要指示批示精神；思想宣传文化工作取得新进展；强化思想引领和价值塑造，领军人才培养体系不断完善；学校治理体系和治理能力现代化水平有力提升；基层党建支撑和干部人才队伍更加坚强有力；推进全面从严治党向纵深发展、向基层延伸，风清气正的政治生态有力构建；深入推进“双一流”建设，和谐校园建设稳步推进等方面回顾了2022年学校党委的主要工作及取得成效。他在分析当前形势和学校建设发展任务时指出，面对“两个大局”的深刻变化以及机遇与挑战并存的国内形势，一流大学更要面向国家所需，肩负更重大的任务和责任。党的二十大报告作出了实施科教兴国战略，强化现代化建设人才支撑的战略部署。高校作为科技第一生产力、人才第一资源和创新第一动力“三个第一”的重要结合点与科教兴国、创新驱动和人才强国“三大战略”的重要交汇点，在推进中国式现代化进程中必将发挥不可或缺、不可替代的重要作用。高校要以高水平研究、高水平成果和高水平人才，助力我国建设世界重要人才中心和创新高地，服务支撑实现第二个百年奋斗目标和伟大复兴中国梦。为此，东南大学应坚定不移实施新“三步走”发展战略，在推进事业发展中，坚持服务国家重大战略、服务社会重大关切、服务产业重大需求的价值导向，坚持以人为本，遵循生为首位、师为根基，更好发挥职责使命。左惟指出，2023年是全面贯彻落实党的二十大精神的开局之年，是推动落实学校第十五次党代会战略部署的深化之年，也是实现“十四五”发展规划中期目标的关键之年。学校党委将坚持以习近平新时代中国特色社会主义思想为指导，认真贯彻落实习近平总书记重要指示批示精神，立足新甲子新起点，继续紧扣“提升年”工作主题，着力实现“五个提升”，以优异办学成效全面推进中国特色世界一流大学建设。左惟强调，要将学习宣传贯彻党的二十大精神作为首要政治任务，扎实推进主题教育。要通过学习深化认识，提升能力状态，谋大局、抓发展、抢机遇、争资源，主动担当作为，深化改革创新，提升“双一流”建设成效和各项事业发展。要克服路径依赖、思维惯性、行为惰性，努力提升教师队伍的境界、认识、能力、情怀、胸襟，提升服务管理的责任意识、服务态度、工作效率、治理水平、进取精神。要持续把师生生命健康放在突出位置，确保校园安全稳定；深化巩固拓展教育思想大讨论成果，贯彻生为首位培养理念，落实大讨论形成的改革方案与质量提升计划，促进学生全面发展；引导、成就教师将个人职业发展与学校事业发展、国家发展建设紧密结合，实现人生价值。要持之以恒推动全面从严治党，增强各级党组织的凝聚力、战斗力；加强新时代廉洁文化建设，涵养求真务实、团结奋斗的时代新风，教育引导党员干部牢记“三个务必”；纠治“四风”，旗帜鲜明地反对倦怠、躺平。要实施就业优先战略，准确把握2023届高校毕业生就业创业工作面临的形势，做好毕业生就业工作，引导学生到祖国最需要的地方建功立业。他希望全校上下凝心聚力、共谋发展，为办有使命、有情怀、有格局、有品质的大学而团结奋斗。  黄如作《勇立时代潮头 勇担历史使命》的报告。她指出，2022年学校以习近平新时代中国特色社会主义思想为指引，以习近平总书记重要指示批示精神为根本遵循，认真学习宣传贯彻党的二十大精神，成功召开第十五次党代会，隆重举行建校120周年系列庆祝活动，紧紧围绕“提升年”工作主题，全面推进高质量内涵式发展，学校综合实力和办学水平取得新成就：一是人才培养质量获得新提升；二是师资队伍建设跃上新台阶；三是科技自立自强实现新跨越；四是学科建设与发展规划展现新作为；五是国际国内交流合作迈出新步伐；六是“品质东大”建设呈现新面貌；七是治理体系改革激发新活力。黄如指出，2023 年学校行政工作要以习近平新时代中国特色社会主义思想为指引，全面贯彻落实党的二十大精神，牢记习近平总书记嘱托，立足“两个大局”，胸怀“国之大者”，把握主动作为、部门联动、资源优化、靶向服务的工作总基调，全力推动“双一流”建设和“十四五”规划实施。一是以立德树人为根本，贯彻“课比天大、生为首位”培养理念，落实人才培养“一号工作”，大力推进教育教学改革，构建面向未来的具有东大特色的高质量教育体系。二是以队伍建设为支撑，坚持“学术至上，师为根基”，大力推进人才工作“一号工程”，实现人才队伍顶峰高度、整体宽度、基础厚度的协调发展，为人才强国战略贡献力量。三是以国家需求为导向，坚持“四个面向”，在学术牵引下抓成果、抓平台、抓项目，实施“东大创新2030行动计划”，真正做有格局、有组织、有学术引领力的科研，努力解决“卡脖子”技术问题。要把学科优势转化为科研优势，进而转化为产业优势，成为推动产业和区域经济社会发展的重要力量。同时，要加强国际国内合作，坚持“引进来”与“走出去”相结合，积极构建“多维融合、创新共赢”的办学格局。四是以学科交叉为抓手，进一步优化学科布局，推进学科交叉机制改革，促进交叉融合，强化内涵建设，持续打造学科高峰工程、高原工程。五是以院系发展为基础，进一步激发院系活力和主观能动性。六是以治理体系为保障，健全学校规章制度和落实机制；完善多部门协调联动机制，优化资源配置和管理服务，加快推进治理体系和治理能力现代化。她强调，各部门单位要进一步增强使命意识和责任意识，增强危机感和紧迫感，有效凝聚并自信展现矢志创新之力、逐梦一流之志、奋发有为之势，为建设高等教育强国交出一份卓越而不可替代的“东大答卷”。校党政领导班子成员，近期退出现职的校领导，党委常委、校长助理，党委委员、纪委委员，两院院士，副处级以上干部，各级人大代表、政协委员，民主党派、侨联、党外知识分子联谊会和欧美同学会主要负责人，教代会执委，校退离休协会负责人等参加了会议。  （责任编辑：翟梦杰 审核：宋健刚） ",https://news.seu.edu.cn/2023/0217/c5486a434741/page.htm,东大 新闻网 日电 记者 东萱 摄影 杭添 东南大学 九龙湖 校区 润良 报告厅 春季 中层干部 大会 党委书记 左惟 校长 黄如 报告 学校 工作 部署 工作 常务副 书记 刘攀 主持会议 会上 左惟作 推进改革 聚力 提升 学习 贯彻 二十大 精神 推进 中国 特色 世界 一流大学 建设 新台阶 报告 学习 贯彻落实 二十大 精神 深刻 领悟 两个 确立 决定性 意义 两个 维护 持续 深化 政治 建设 提升 学校 工作 领导 隆重 举办 东南大学 建校 周年 系列 活动 学习 贯彻落实 习近平 总书记 指示 批示 精神 思想 宣传 文化 工作 新进展 强化 思想 引领 价值 塑造 领军 人才培养 体系 不断完善 学校 治理 体系 治理 能力 现代化 水平 提升 基层 党建 支撑 干部 人才队伍 坚强有力 推进 从严治党 纵深 发展 基层 延伸 风清气 政治 生态 构建 推进 一流 建设 和谐 校园 建设 稳步 推进 回顾 学校 党委 工作 取得成效 分析 形势 学校 建设 发展 指出 面对 两个 大局 深刻 变化 机遇 挑战 并存 国内形势 一流大学 更要 面向 国家 肩负 责任 二十大 报告 作出 实施 科教兴国 战略 强化 现代化 建设 人才 支撑 战略部署 高校 科技 第一 生产力 人才 第一 资源 创新 第一 动力 三个 第一 结合点 科教兴国 创新 驱动 人才 强国 三大 战略 交汇点 推进 中国式 现代化 进程 发挥 不可或缺 作用 高校 高水平 研究 高水平 成果 高水平 人才 助力 我国 建设 世界 人才 中心 创新 高地 服务 支撑 第二个 百年 奋斗目标 复兴 中国 东南大学 坚定不移 实施 三步走 发展 战略 推进 事业 发展 服务 国家 战略 服务 社会 关切 服务 产业 需求 价值 导向 以人为本 首位 师为 根基 更好 发挥 职责 使命 左惟 指出 贯彻落实 二十大 精神 开局 推动 落实 学校 第十五次 党代会 战略部署 深化 十四五 发展 规划 中期 目标 关键 学校 党委 习近平 时代 中国 特色 思想 指导 贯彻落实 习近平 总书记 指示 批示 精神 立足 甲子 新起点 紧扣 提升 工作 主题 着力 五个 提升 优异 办学 成效 推进 中国 特色 世界 一流大学 建设 左惟 学习 宣传 贯彻 二十大 精神 首要 政治 扎实 推进 主题 教育 学习 深化 提升 能力 状态 大局 发展 机遇 资源 主动 担当 深化改革 创新 提升 一流 建设 成效 各项事业 发展 克服 路径 依赖 思维 惯性 惰性 努力 提升 教师队伍 境界 能力 情怀 胸襟 提升 服务 管理 责任意识 服务态度 工作效率 治理 水平 进取精神 持续 师生 生命 健康 放在 突出位置 确保 校园 稳定 深化 拓展 教育 思想 讨论 成果 贯彻 首位 培养 理念 落实 讨论 改革方案 质量 提升 计划 学生 发展 引导 成就 教师 职业 发展 学校 事业 发展 国家 发展 建设 紧密结合 人生价值 持之以恒 推动 从严治党 增强 党组织 凝聚力 战斗力 时代 廉洁 文化 建设 涵养 求真务实 团结奋斗 时代 新风 教育引导 党员干部 牢记 三个 务必 纠治 四风 旗帜鲜明 反对 倦怠 躺平 实施 就业 优先 战略 准确 把握 高校 毕业生 就业 创业 工作 面临 形势 做好 毕业生 就业 工作 引导 学生 祖国 地方 建功立业 希望 全校 凝心 聚力 共谋 发展 办有 使命 情怀 格局 品质 大学 团结奋斗 黄如作 勇立 时代 潮头 勇担 历史使命 报告 指出 学校 习近平 时代 中国 特色 思想 指引 习近平 总书记 指示 批示 精神 认真学习 宣传 贯彻 二十大 精神 成功 第十五次 党代会 隆重举行 建校 周年 系列 庆祝 活动 紧紧围绕 提升 工作 主题 推进 高质量 内涵式 发展 学校 综合 实力 办学 水平 成就 一是 人才培养 质量 提升 二是 师资队伍 建设 跃上 新台阶 三是 科技 自立自强 跨越 四是 学科建设 发展 规划 展现 五是 国际 国内 交流 合作 迈出 步伐 六是 品质 东大 建设 呈现 新面貌 七是 治理 体系 改革 激发 活力 黄如 指出 学校 行政 工作 习近平 时代 中国 特色 思想 指引 贯彻落实 二十大 精神 牢记 习近平 总书记 嘱托 立足 两个 大局 胸怀 国之大者 把握 主动 部门 联动 资源 优化 靶向 服务 工作 基调 推动 一流 建设 十四五 规划 实施 一是 立德 人为 贯彻 课比 天大 首位 培养 理念 落实 人才培养 一号 工作 推进 教育 教学改革 构建 面向未来 东大 特色 高质量 教育 体系 二是 队伍 建设 支撑 学术 至上 师为 根基 推进 人才 工作 一号 工程 人才队伍 顶峰 高度 整体 宽度 基础 厚度 协调 发展 人才 强国 战略 贡献力量 三是 国家 需求 导向 四个 面向 学术 牵引 成果 平台 项目 实施 东大 创新 行动计划 格局 组织 学术 引领 科研 努力 解决 卡脖子 技术 学科 优势 转化 科研 优势 转化 产业 优势 推动 产业 区域 经济社会 发展 力量 国际 国内 合作 引进 相结合 构建 多维 融合 创新 共赢 办学 格局 四是 学科 交叉 抓手 进一步 优化 学科 布局 推进 学科 交叉 机制 改革 交叉 融合 强化 内涵 建设 持续 打造 学科 高峰 工程 高原 工程 五是 院系 发展 基础 进一步 激发 院系 活力 主观 能动性 六是 治理 体系 保障 健全 学校 规章制度 落实 机制 完善 部门 协调 联动机制 优化 资源配置 管理 服务 加快 推进 治理 体系 治理 能力 现代化 部门 单位 进一步 增强 使命 意识 责任意识 增强 危机感 紧迫感 凝聚 自信 展现 矢志 创新 之力 逐梦 一流 之志 奋发有为 之势 建设 高等教育 强国 交出 一份 卓越 东大 答卷 党政 领导班子 成员 近期 退出 现职 校领导 党委 常委 校长助理 党委委员 纪委 委员 两院 院士 副处级 干部 人大代表 政协委员 民主党派 侨联 党外 知识分子 联谊会 欧美 同学会 负责人 教代会 执委 校退 离休 协会 负责人 参加 会议 责任编辑 翟梦杰 审核 宋健刚,0.9454,1
