word,counts
电影,45698
真的,30756
感觉,18922
视频,16583
喜欢,15533
剧情,12613
好看,10971
地球,9979
哈哈哈,9838
中国,8984
确实,8741
宇宙,8621
人类,8540
世界,7628
漫威,7432
游戏,7374
蜘蛛侠,7269
时间,6983
一部,6592
这部,6565
希望,6499
特效,6346
好像,6345
电影院,6212
看过,6211
美国,6195
评论,6010
故事,5918
一点,5844
流浪,5705
东西,5663
只能,5464
演员,5380
英雄,5362
有人,5235
黑人,5011
角色,4990
两个,4983
发现,4939
票房,4931
导演,4814
不错,4605
那种,4538
记得,4532
黑豹,4432
观众,4429
本来,4411
满江红,4393
几个,4302
特别,4247
一种,4016
肯定,3978
孩子,3973
粉丝,3967
钢铁,3963
理解,3883
主角,3868
不好,3760
反派,3751
小时,3743
啊啊啊,3682
弹幕,3663
朋友,3654
阿凡达,3613
哈哈哈哈,3575
一句,3458
不行,3448
超级,3431
地方,3412
上映,3406
作品,3358
妈妈,3346
期待,3305
设定,3263
老师,3262
谢谢,3254
历史,3246
美人鱼,3230
看完,3197
迪士尼,3178
国家,3157
灭霸,3153
系列,3150
有没有,3097
第一部,3078
日本,3078
漫画,3070
不到,3041
能力,3005
哪吒,2986
是因为,2960
看着,2946
复联,2903
国内,2862
变形金刚,2813
公主,2765
第一,2743
现实,2742
未来,2727
厉害,2722
不用,2721
不想,2706
回来,2697
战争,2691
有个,2689
镜头,2678
封面,2659
为啥,2634
影响,2618
片子,2616
建议,2581
估计,2577
人物,2567
速度,2566
动画,2556
画面,2550
支持,2533
永远,2523
小时候,2506
名字,2497
离谱,2492
吴京,2477
选择,2476
可爱,2468
关注,2467
生活,2448
反正,2431
真实,2419
女主,2413
成功,2400
男主,2387
声音,2376
刺客,2370
告诉,2352
明白,2347
预告,2340
可惜,2319
迈尔斯,2319
当年,2294
奥本海默,2288
演技,2263
第一次,2257
原因,2253
宝石,2248
正确,2243
动物,2243
生命,2240
好多,2237
科幻,2234
队长,2211
关系,2200
内容,2186
闪电侠,2163
兄弟,2150
事情,2131
美队,2117
影院,2115
芭比,2114
穿越,2104
蜘蛛,2085
贾玲,2082
好好,2075
接受,2058
彩蛋,2044
情况,2044
结局,2040
文化,2038
联盟,2034
唯一,2028
女儿,2025
终于,2022
三个,2010
那段,1993
想要,1989
标题,1981
结尾,1978
说实话,1971
超人,1970
实在,1954
评价,1953
越来越,1938
质量,1937
推荐,1937
雷神,1934
一段,1920
逻辑,1918
李焕英,1909
力量,1904
流量,1904
搞笑,1890
震撼,1887
简单,1886
至少,1873
想到,1861
导致,1852
科技,1833
预告片,1824
擎天柱,1809
找到,1806
眼睛,1802
