Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重,Topic14-主题词,Topic14-权重
会员,0.093,广告,0.091,广告,0.099,广告,0.087,评论,0.108,评论,0.266,评论,0.063,视频,0.088,评论,0.091,评论,0.057,视频,0.054,评论,0.140,讨厌,0.091,视频,0.085,哔哩,0.184
广告,0.026,垃圾,0.043,会员,0.030,打开,0.069,删除,0.095,删除,0.243,删除,0.054,垃圾,0.038,删除,0.074,删除,0.046,评论,0.047,删除,0.119,垃圾,0.036,评论,0.052,删除,0.024
垃圾,0.024,太太,0.040,视频,0.027,跳转,0.063,恶心,0.033,视频,0.028,闪退,0.054,弹幕,0.026,视频,0.030,声音,0.021,播放,0.047,视频,0.055,评论,0.020,删除,0.045,评论,0.020
刷新,0.021,视频,0.024,垃圾,0.026,恶心,0.044,视频,0.030,希望,0.015,软件,0.029,播放,0.018,广告,0.030,会员,0.020,删除,0.040,广告,0.021,视频,0.019,广告,0.021,保护,0.016
登录,0.020,后台,0.022,帐号,0.024,卸载,0.033,平台,0.014,广告,0.013,广告,0.026,闪退,0.017,软件,0.022,退出,0.019,广告,0.024,软件,0.021,广告,0.014,刷新,0.019,页面,0.014
评论,0.017,开屏,0.018,开屏,0.020,下载,0.028,会员,0.014,平台,0.010,登陆,0.026,推送,0.016,体验,0.015,内容,0.018,用户,0.016,喜欢,0.021,小孩,0.014,内容,0.019,不想,0.013
恶心,0.016,回来,0.018,推荐,0.016,手机,0.020,评分,0.013,粉丝,0.009,垃圾,0.025,广告,0.016,会员,0.013,视频,0.016,模式,0.015,哔哩,0.016,用户,0.014,缓存,0.014,退货,0.012
用户,0.015,跳转,0.017,评论,0.013,开屏,0.019,能量,0.013,推荐,0.008,喜欢,0.018,软件,0.015,开屏,0.012,客服,0.014,跳转,0.011,弹幕,0.013,软件,0.013,推送,0.012,访问,0.012
控评,0.014,软件,0.012,充电,0.013,用户,0.014,加载,0.011,硬币,0.007,意义,0.012,审核,0.015,垃圾,0.012,流量,0.013,软件,0.010,审核,0.013,删除,0.012,平台,0.011,广告,0.011
删除,0.014,竖屏,0.010,游戏,0.012,桌面,0.012,广告,0.011,网站,0.007,劣质,0.011,恶心,0.014,小时,0.012,平台,0.013,连续,0.010,举报,0.010,修改,0.010,打开,0.010,购买,0.011
视频,0.013,显示,0.009,软件,0.011,哔哩,0.012,推广,0.010,版本,0.007,希望,0.010,按钮,0.011,感觉,0.012,恶心,0.012,接触,0.010,客服,0.010,团队,0.010,用户,0.010,举报,0.010
账号,0.012,加载,0.009,功能,0.011,网页,0.012,客户,0.010,内容,0.007,没用,0.010,评论,0.011,耗电,0.010,广告,0.011,禁言,0.010,小破站,0.008,恶心,0.010,关注,0.009,垃圾,0.009
不到,0.011,评论,0.009,删除,0.011,评论,0.011,用户,0.008,跳转,0.006,恶心,0.009,看着,0.010,弹窗,0.009,软件,0.011,下载,0.009,很好,0.007,水军,0.009,发现,0.009,退款,0.007
客服,0.011,倒闭,0.009,恶心,0.011,情况,0.010,刷到,0.007,手机,0.006,列表,0.007,要钱,0.010,官方,0.009,播放,0.010,换成,0.009,垃圾,0.007,全是,0.009,不行,0.008,服务器,0.006
充大,0.009,收费,0.009,年度,0.009,软件,0.010,股票,0.007,用户,0.006,理解,0.007,竖屏,0.010,追番,0.009,用户,0.010,收藏,0.008,好看,0.007,感受,0.009,推荐,0.008,广告费,0.006
身份,0.009,玩意,0.008,玩意,0.008,闪退,0.010,整体,0.007,垃圾,0.005,回来,0.007,打开,0.010,包括,0.008,结束,0.009,竖屏,0.008,用户,0.006,年龄,0.009,地方,0.008,更改,0.006
链接,0.009,比抖,0.008,找到,0.008,敷衍,0.010,值得,0.007,系统,0.005,默认,0.007,擦边球,0.010,恶心,0.008,聚集地,0.008,手机,0.008,希望,0.006,鼓励,0.009,显示,0.007,全家,0.006
不想,0.008,血腥,0.008,返回,0.008,删除,0.010,付钱,0.007,改进,0.005,收藏夹,0.006,动态,0.009,动漫,0.008,没法,0.008,审核,0.008,鬼畜,0.006,登陆,0.009,质量,0.007,网友,0.006
找回,0.007,主页,0.008,难看,0.008,晃动,0.007,忘记,0.007,通知,0.005,放在,0.006,流量,0.009,平台,0.008,喜欢,0.008,版权,0.007,内容,0.005,低俗,0.009,块钱,0.007,药丸,0.006
切换,0.007,支付,0.008,减肥药,0.008,发言,0.007,弹出,0.006,下载,0.005,推给,0.006,内容,0.009,后台,0.007,审核,0.007,不用,0.007,推荐,0.005,开屏,0.009,员工,0.007,孝子,0.006
