词语,词频
焦虑,174
自己,128
工作,113
没有,88
一直,86
每天,61
朋友,60
疫情,55
压力,53
担心,50
感觉,50
生活,49
觉得,37
害怕,36
孩子,36
经常,35
影响,35
现在,35
情绪,34
比较,32
学习,32
状态,29
事情,28
公司,27
紧张,25
最近,25
感到,24
身体,23
学校,23
问题,23
父母,23
家里,21
需要,21
考研,21
毕业,20
成绩,20
持续性,19
考不上,19
有点,18
不想,18
家庭,18
心情,17
失眠,17
不能,17
一段时间,17
睡不着,17
持续,16
准备,16
晚上,16
今年,15
希望,15
严重,15
考试,15
一年,14
有时候,14
面试,14
完成,14
烦恼,13
生病,13
高考,13
医院,12
经济,12
结果,12
治疗,12
同学,12
检查,11
不敢,11
裁员,11
表现,10
上班,10
复习,10
负面,9
怎么办,9
目前,9
身边,9
大学,9
领导,9
合适,9
任务,9
备考,9
失业,9
喜欢,9
体检,8
未来,8
去年,8
睡眠,8
面对,8
办法,8
长时间,8
稳定,8
担忧,8
房子,8
研究生,8
无法,8
想着,8
社会,8
离婚,8
妈妈,8
同事,8
专业,8
想要,8
儿子,8
家里人,8
总是,7
天天,7
住院,7
下班,7
回家,7
烦躁,7
手术,7
母亲,7
低落,7
选择,7
抑郁,7
缓解,7
收入,7
单位,7
重新,7
面临,7
下降,7
以后,7
妹妹,7
爸爸,7
投资,7
陷入,6
不安,6
如何,6
成功,6
医生,6
迷茫,6
改变,6
老婆,6
吃饭,6
地方,6
别人,6
人生,6
高中,6
效率,6
倾诉,6
产品,6
决定,6
放松,6
失败,6
工资,6
长期,6
在家,6
本人,6
高三,6
状况,6
压抑,5
新冠,5
怀孕,5
质量,5
内心,5
失去,5
照顾,5
赚钱,5
解决,5
城市,5
困难,5
老师,5
说话,5
关系,5
家人,5
安排,5
时常,5
能力,5
不行,5
环境,5
怀疑,5
睡觉,5
小孩,5
岗位,5
难过,5
经历,5
大四,5
难以,5
学生,5
企业,5
