Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重,Topic14-主题词,Topic14-权重
paris,0.050,people,0.071,don,0.043,church,0.066,global,0.044,flint,0.089,app,0.038,fire,0.089,free,0.068,movie,0.038,notredame,0.067,notredame,0.046,notre,0.201,billion,0.085,day,0.055
de,0.045,money,0.060,love,0.040,burned,0.063,country,0.026,water,0.070,donate,0.036,notredame,0.077,creed,0.066,pat,0.035,fire,0.051,cathedral,0.037,dame,0.201,cathedral,0.083,cathedral,0.044
god,0.040,burn,0.028,puerto,0.025,raise,0.050,france,0.024,clean,0.033,donating,0.035,news,0.059,assassin,0.066,hell,0.034,cathedral,0.046,paris,0.033,cathedral,0.160,notre,0.078,st,0.031
notredame,0.025,president,0.027,rico,0.024,louisiana,0.049,rebuilt,0.019,broke,0.022,notredame,0.032,amp,0.038,notredame,0.063,fire,0.032,france,0.043,game,0.031,fire,0.065,dame,0.077,notredame,0.025
care,0.025,white,0.023,pc,0.023,nbc,0.041,human,0.018,cross,0.019,rebuild,0.026,photo,0.026,unity,0.061,robertson,0.030,heart,0.028,fuck,0.027,paris,0.023,raised,0.052,fire,0.024
french,0.024,life,0.022,money,0.021,black,0.037,follow,0.017,massive,0.019,sad,0.021,blaze,0.025,ubisoft,0.046,christian,0.030,rebuilding,0.023,saved,0.026,rebuild,0.021,dollar,0.048,patrick,0.020
building,0.021,shit,0.020,company,0.021,visit,0.033,called,0.016,michigan,0.016,pledged,0.019,video,0.023,time,0.039,cathedral,0.027,billionaire,0.022,fire,0.019,church,0.014,planet,0.036,gas,0.019
people,0.019,rt,0.020,disney,0.020,fire,0.025,faith,0.016,cathedral,0.015,tragedy,0.018,cathedral,0.023,macron,0.029,catholic,0.026,relic,0.020,mosque,0.019,burning,0.014,people,0.021,cool,0.017
south,0.017,donated,0.016,people,0.020,report,0.017,bitch,0.015,daily,0.015,humanity,0.018,black,0.022,offer,0.026,trump,0.023,agree,0.018,art,0.019,france,0.011,donation,0.021,religious,0.016
amazing,0.016,building,0.014,live,0.019,lot,0.015,gt,0.015,golden,0.013,guy,0.018,roof,0.019,cathedral,0.017,church,0.020,race,0.016,video,0.018,architect,0.008,jesus,0.015,lost,0.016
call,0.016,vatican,0.012,real,0.019,as,0.012,story,0.015,word,0.013,people,0.018,watch,0.018,america,0.016,notredame,0.019,chaplain,0.015,restoration,0.017,spire,0.007,joke,0.015,fund,0.015
church,0.015,trump,0.011,bad,0.017,catholic,0.012,hey,0.015,loss,0.012,support,0.015,church,0.015,beautiful,0.016,burning,0.018,money,0.015,inferno,0.017,disney,0.006,medium,0.013,can,0.014
crazy,0.014,oak,0.010,architecture,0.016,people,0.012,visited,0.015,moment,0.011,mobile,0.015,arson,0.015,rebuild,0.015,siege,0.017,rescue,0.015,firefighter,0.017,iconic,0.006,repair,0.012,money,0.014
link,0.014,dying,0.010,understand,0.016,happen,0.011,city,0.015,posted,0.011,indian,0.014,notre,0.014,vow,0.015,archbishop,0.017,million,0.015,alaqsa,0.015,flame,0.005,flame,0.011,ravaged,0.013
century,0.013,rich,0.010,music,0.016,read,0.011,treasure,0.015,heard,0.011,yeah,0.014,dame,0.013,click,0.014,sydney,0.016,imagine,0.014,tribute,0.014,damage,0.005,child,0.011,opinion,0.012
damn,0.013,extent,0.010,moron,0.014,poor,0.011,attention,0.015,altar,0.010,cath,0.013,woman,0.013,mind,0.013,image,0.015,pretty,0.013,burn,0.014,warning,0.005,notredame,0.009,worker,0.012
history,0.013,pay,0.010,play,0.013,hate,0.011,notredame,0.014,rise,0.010,reason,0.013,bbc,0.012,stupid,0.011,result,0.014,crown,0.013,fucking,0.013,didn,0.005,claim,0.009,york,0.012
official,0.012,fire,0.009,millennium,0.011,feel,0.010,question,0.014,africa,0.010,doesn,0.013,obama,0.012,answer,0.010,set,0.014,future,0.013,jerusalem,0.013,devastating,0.005,homeless,0.009,statue,0.011
book,0.012,french,0.009,flint,0.011,muslim,0.010,complete,0.013,check,0.010,happened,0.013,michelle,0.011,caused,0.010,wow,0.013,plan,0.012,notre,0.012,burned,0.005,fire,0.008,caught,0.011
sick,0.012,fool,0.009,church,0.011,literally,0.010,saint,0.013,modern,0.010,wait,0.012,visit,0.010,bell,0.010,claim,0.012,french,0.011,set,0.012,notredame,0.005,history,0.008,time,0.011
