,Topic number,coherence_values
0,2,0.24651925548261658
1,3,0.31039750037945874
2,4,0.32316587268398334
3,5,0.29926216388612226
4,6,0.33460687098644276
5,7,0.34262077861250245
6,8,0.39294210594144763
7,9,0.3751309255702495
8,10,0.3600602849002976
9,11,0.3720333298036062
10,12,0.3949014228169602
11,13,0.41520274446088035
12,14,0.41948815973232945
13,15,0.42769271986373586
