Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重
不好,0.029,衣服,0.086,衣服,0.033,尺码,0.028,起球,0.027,衣服,0.094,尺码,0.025,质量,0.040,京东,0.040,衣服,0.033,衣服,0.028,客服,0.044,衣服,0.083
感觉,0.023,实物,0.017,京东,0.029,客服,0.022,京东,0.022,起球,0.026,宽松,0.025,做工,0.030,衣服,0.030,价格,0.017,退货,0.022,售后,0.020,质量,0.040
口袋,0.018,不符,0.017,客服,0.022,质量,0.022,东西,0.018,合适,0.024,衣服,0.025,衣服,0.026,质量,0.024,合适,0.017,申请,0.017,给我发,0.020,一点,0.020
保价,0.018,穿着,0.017,地摊货,0.019,合适,0.022,一等品,0.017,尺码,0.024,客服,0.019,尺码,0.025,起球,0.017,商家,0.017,质量,0.017,衣服,0.020,降价,0.016
京东,0.015,快递,0.012,线头,0.017,京东,0.022,不值,0.017,京东,0.019,合适,0.019,掉色,0.025,不好,0.017,尺码,0.017,不好,0.017,感觉,0.015,客服,0.016
差价,0.012,商家,0.012,收到,0.017,价格,0.017,合格品,0.014,质量,0.017,面料,0.019,牌子,0.020,自营,0.012,感觉,0.011,面料,0.017,退货,0.015,起球,0.016
卫衣,0.012,发过来,0.012,不值,0.013,产品,0.017,品质,0.014,客服,0.016,质量,0.016,感觉,0.020,一圈,0.009,玩意儿,0.011,两天,0.011,不符,0.015,不好,0.015
平时,0.012,产品,0.012,自营,0.013,起球,0.017,质量,0.014,感觉,0.015,舒适,0.013,降价,0.020,不错,0.009,京东,0.011,东西,0.011,京东,0.015,垃圾,0.012
秋衣,0.012,东西,0.012,满意,0.011,面料,0.011,衣服,0.014,类型,0.012,身高体重,0.013,合适,0.015,吊牌,0.009,保暖,0.011,起球,0.011,线头,0.010,卫衣,0.012
块钱,0.012,物流,0.012,面料,0.011,降价,0.011,宣传,0.010,图片,0.012,做工,0.013,材质,0.015,料子,0.009,类型,0.011,新货,0.011,脖子,0.010,运费,0.012
颜色,0.012,很小,0.012,穿着,0.011,差劲,0.011,感觉,0.010,售后,0.010,绳子,0.013,快递,0.010,领子,0.009,十二,0.011,退款,0.011,失望,0.010,一张,0.008
垃圾,0.012,垃圾,0.012,推荐,0.011,几天,0.011,客服,0.010,程度,0.010,类型,0.013,样子,0.010,值得,0.009,买家,0.011,颜色,0.011,做工,0.010,包装袋,0.008
鞋子,0.012,黑色,0.006,降价,0.011,穿着,0.011,购买,0.010,上身,0.010,胸部,0.007,价格,0.010,穿着,0.009,味道,0.011,商家,0.011,廉价,0.010,开到,0.008
体验,0.012,一条龙,0.006,破损,0.011,一点,0.011,掉色,0.010,效果,0.010,批货,0.007,服务,0.010,建议,0.009,不符,0.011,客服,0.011,实在,0.010,呜呜,0.008
真差,0.006,来回,0.006,感觉,0.011,做工,0.011,商家,0.010,薄厚,0.007,懒得,0.007,几天,0.010,不行,0.009,不好,0.011,一点,0.011,建议,0.010,第一次,0.008
这款,0.006,翻新,0.006,尺码,0.011,第一次,0.011,卫衣,0.010,两次,0.007,材质,0.007,建议,0.010,合适,0.009,款式,0.011,发来,0.011,洗完,0.010,诉求,0.008
权益,0.006,想越,0.006,不好,0.011,舒服,0.011,一件,0.010,款式,0.007,环保,0.007,粗糙,0.010,好评,0.009,垃圾,0.011,纤维,0.011,图片,0.010,无理,0.008
服务,0.006,特给力,0.006,起球,0.011,感觉,0.011,降价,0.010,包装,0.007,舒服,0.007,真的,0.010,黑色,0.009,质量,0.011,售后,0.006,不好,0.010,发票,0.008
活动,0.006,一比,0.006,正品,0.011,服务,0.011,做工,0.007,几天,0.007,全棉,0.007,图片,0.008,图片,0.009,亲肤,0.006,一颗,0.006,颜色,0.010,自营,0.008
运费,0.006,担心,0.006,离谱,0.011,衣服,0.011,好评,0.007,材质,0.007,疼痛,0.007,收到,0.007,几次,0.009,适中,0.006,棒球,0.006,荣耀,0.005,厘米,0.008
