内容,主题概率,主题类型
吊牌 二手,"[(0, 0.025642252), (1, 0.025643362), (2, 0.025642632), (3, 0.025642252), (4, 0.025642252), (5, 0.025642252), (6, 0.025642252), (7, 0.025642252), (8, 0.35896763), (9, 0.025642252), (10, 0.025642252), (11, 0.025642252), (12, 0.35896608)]",8
收到 衣服 图片 不符,"[(0, 0.015384911), (1, 0.8153785), (2, 0.015385494), (3, 0.015384993), (4, 0.015385156), (5, 0.015385337), (6, 0.015384929), (7, 0.015385161), (8, 0.015385087), (9, 0.015385139), (10, 0.015385027), (11, 0.015385166), (12, 0.015385124)]",1
衣服 材质 起球,"[(0, 0.01923096), (1, 0.019231077), (2, 0.019231105), (3, 0.019231103), (4, 0.01923114), (5, 0.76922685), (6, 0.019231053), (7, 0.019231256), (8, 0.019231124), (9, 0.019231075), (10, 0.019231096), (11, 0.019231027), (12, 0.019231135)]",5
发来 包装 还坏,"[(0, 0.01923152), (1, 0.01923152), (2, 0.019231675), (3, 0.01923152), (4, 0.01923152), (5, 0.019231798), (6, 0.019231694), (7, 0.76922053), (8, 0.019231642), (9, 0.01923152), (10, 0.019231914), (11, 0.019231657), (12, 0.01923152)]",7
衣服,"[(0, 0.03846164), (1, 0.0384626), (2, 0.03846197), (3, 0.0384617), (4, 0.03846174), (5, 0.5384564), (6, 0.038461864), (7, 0.038461886), (8, 0.03846194), (9, 0.03846197), (10, 0.038461898), (11, 0.038461808), (12, 0.03846258)]",5
店家 不看 粉白 两件 白色 干嘛,"[(0, 0.0109894285), (1, 0.010989429), (2, 0.01098939), (3, 0.010989427), (4, 0.01098939), (5, 0.010989431), (6, 0.01098939), (7, 0.01098939), (8, 0.010989463), (9, 0.010989428), (10, 0.86812705), (11, 0.01098939), (12, 0.01098939)]",10
衣服 几天 炸线 质量 不好,"[(0, 0.012820833), (1, 0.0128207775), (2, 0.012820774), (3, 0.012820836), (4, 0.012820782), (5, 0.012820862), (6, 0.012820751), (7, 0.01282087), (8, 0.012820852), (9, 0.012820786), (10, 0.012820812), (11, 0.012820762), (12, 0.84615034)]",12
商家 牌子 摘掉 啥意思 退货 机会,"[(0, 0.010989391), (1, 0.010989488), (2, 0.010989391), (3, 0.868126), (4, 0.010989527), (5, 0.010989407), (6, 0.010989411), (7, 0.010989578), (8, 0.010989395), (9, 0.010989543), (10, 0.010989865), (11, 0.010989525), (12, 0.010989485)]",3
衣服,"[(0, 0.03846164), (1, 0.0384628), (2, 0.03846197), (3, 0.0384617), (4, 0.03846174), (5, 0.53845614), (6, 0.038461864), (7, 0.038461886), (8, 0.03846194), (9, 0.03846197), (10, 0.0384619), (11, 0.038461808), (12, 0.038462576)]",5
服务 意识 一个多月 搞完,"[(0, 0.015385237), (1, 0.015385152), (2, 0.015385152), (3, 0.015385354), (4, 0.0153852), (5, 0.015385241), (6, 0.015385152), (7, 0.015385334), (8, 0.015385152), (9, 0.015385152), (10, 0.8153776), (11, 0.015385152), (12, 0.015385152)]",10
恶心 恶心 购物,"[(0, 0.01923133), (1, 0.019231433), (2, 0.019231346), (3, 0.01923133), (4, 0.01923133), (5, 0.7692238), (6, 0.01923133), (7, 0.019231368), (8, 0.01923137), (9, 0.01923133), (10, 0.01923133), (11, 0.01923133), (12, 0.01923133)]",5
垃圾 衣服 骗人 玩意儿 垃圾,"[(0, 0.0128208315), (1, 0.012820977), (2, 0.012820768), (3, 0.012820772), (4, 0.012820761), (5, 0.012820948), (6, 0.012820753), (7, 0.012820793), (8, 0.012820764), (9, 0.84615004), (10, 0.012820799), (11, 0.012820746), (12, 0.012821084)]",9
