word1,word2,weight
自己,工作,106
没有,工作,101
没有,现在,100
自己,现在,96
自己,觉得,87
自己,生活,82
现在,工作,79
觉得,没有,77
自己,别人,76
自己,感觉,76
自己,焦虑,74
没有,生活,74
自己,事情,69
感觉,没有,68
焦虑,没有,68
自己,一直,68
自己,朋友,67
自己,问题,67
别人,没有,66
一直,没有,65
觉得,工作,64
没有,问题,64
自己,不能,63
焦虑,工作,63
事情,没有,63
觉得,现在,61
没有,不能,60
感觉,现在,57
没有,朋友,57
事情,工作,57
自己,孩子,56
问题,工作,55
一直,现在,54
工作,生活,54
焦虑,现在,54
现在,生活,54
觉得,生活,53
自己,每天,52
一直,工作,52
别人,觉得,52
事情,生活,51
感觉,工作,51
问题,现在,50
自己,不想,50
别人,工作,50
别人,现在,50
事情,觉得,49
别人,生活,49
没有,每天,48
焦虑,生活,48
自己,压力,48
事情,现在,48
自己,希望,48
孩子,没有,48
工作,不能,48
现在,不能,48
自己,需要,47
没有,需要,47
自己,喜欢,47
现在,朋友,47
感觉,觉得,47
没有,结果,46
希望,没有,46
工作,朋友,46
没有,喜欢,46
自己,学习,45
自己,结果,45
没有,不想,44
焦虑,事情,44
觉得,问题,44
自己,能力,44
没有,压力,44
自己,总是,44
事情,问题,43
孩子,现在,43
觉得,朋友,43
自己,选择,43
自己,状态,43
没有,状态,43
感觉,焦虑,42
焦虑,觉得,42
焦虑,问题,42
自己,比较,42
没有,选择,42
每天,工作,41
生活,不能,41
感觉,生活,41
自己,家里,41
感觉,事情,41
自己,害怕,41
压力,工作,40
感觉,别人,40
焦虑,一直,40
事情,别人,40
工作,结果,40
喜欢,工作,40
自己,情绪,40
感觉,不想,40
选择,工作,40
自己,无法,40
问题,不能,40
问题,生活,40
没有,比较,40
压力,现在,39
自己,担心,39
觉得,不能,39
生活,朋友,39
一直,生活,39
自己,父母,39
现在,不想,39
需要,工作,39
没有,学习,39
孩子,工作,38
没有,总是,38
没有,想要,38
没有,能力,38
现在,每天,38
工作,不想,38
焦虑,别人,38
自己,经常,38
一直,觉得,38
觉得,喜欢,37
别人,朋友,37
没有,家里,37
自己,想要,37
感觉,一直,37
焦虑,压力,37
别人,问题,37
现在,结果,36
自己,经历,36
自己,人生,36
希望,现在,36
一直,事情,36
没有,改变,36
事情,不能,36
工作,能力,36
觉得,不想,36
没有,害怕,36
需要,现在,36
每天,生活,36
身边,没有,36
没有,人生,35
焦虑,不能,35
自己,最近,35
孩子,生活,35
自己,如何,35
现在,比较,35
感觉,问题,35
喜欢,现在,35
没有,父母,35
现在,状态,35
事情,朋友,35
学习,工作,35
学习,现在,35
一直,别人,35
没有,环境,34
没有,不敢,34
家里,工作,34
感觉,朋友,34
需要,问题,34
别人,不想,34
自己,办法,34
自己,学校,34
工作,担心,34
自己,改变,34
希望,觉得,34
焦虑,朋友,34
自己,影响,34
自己,未来,34
自己,面对,34
没有,办法,33
事情,需要,33
焦虑,需要,33
没有,经常,33
自己,感到,33
没有,家庭,33
需要,生活,33
自己,有点,33
没有,情绪,33
工作,状态,33
希望,工作,33
别人,喜欢,33
工作,公司,33
希望,问题,33
感觉,压力,33
自己,不敢,33
别人,不能,33
大学,没有,33
一直,朋友,33
一直,不能,33
自己,大学,33
自己,身边,33
焦虑,每天,33
自己,家庭,33
喜欢,生活,32
事情,喜欢,32
工作,办法,32
觉得,需要,32
希望,事情,32
感觉,每天,32
问题,朋友,32
一直,问题,32
家里,现在,32
没有,未来,32
自己,解决,32
工作,比较,32
没有,经历,32
没有,最近,32
自己,老师,32
感觉,希望,32
现在,父母,32
一直,结果,32
没有,无法,32
没有,学校,32
问题,解决,31
没有,老师,31
事情,总是,31
焦虑,能力,31
没有,身体,31
孩子,事情,31
自己,说话,31
问题,能力,31
希望,焦虑,31
最近,现在,31
选择,现在,31
生活,结果,31
孩子,问题,31
感觉,不能,31
压力,问题,31
工作,父母,31
觉得,结果,31
自己,同学,31
问题,选择,31
希望,生活,31
觉得,比较,31
没有,面对,30
没有,公司,30
工作,经历,30
焦虑,比较,30
没有,有点,30
朋友,不能,30
焦虑,结果,30
问题,结果,30
问题,状态,30
环境,工作,30
自己,毕业,30
觉得,每天,30
现在,能力,30
压力,生活,30
事情,结果,30
工作,人生,30
生活,比较,30
希望,一直,30
生活,情绪,30
感觉,需要,30
无法,工作,30
觉得,总是,30
没有,影响,30
自己,身体,29
自己,环境,29
孩子,感觉,29
自己,以后,29
孩子,觉得,29
觉得,状态,29
没有,如何,29
自己,成绩,29
现在,不敢,29
现在,有点,29
压力,不能,29
没有,解决,29
焦虑,环境,29
工作,未来,29
工作,情绪,29
工作,解决,29
事情,学习,29
焦虑,担心,29
一直,喜欢,29
觉得,压力,28
需要,不能,28
生活,不想,28
学校,现在,28
同学,没有,28
焦虑,学习,28
现在,害怕,28
喜欢,问题,28
现在,想要,28
焦虑,选择,28
以后,工作,28
现在,公司,28
别人,总是,28
焦虑,人生,28
现在,总是,28
现在,身体,28
学习,问题,28
结果,不能,28
事情,状态,28
不能,比较,28
没有,感到,28
毕业,没有,28
没有,担心,28
没有,地方,28
工作,面对,28
没有,说话,28
自己,公司,28
孩子,焦虑,28
别人,需要,28
人生,生活,28
工作,总是,28
自己,地方,28
工作,经常,28
希望,别人,28
觉得,能力,28
事情,面对,27
希望,需要,27
事情,影响,27
毕业,工作,27
别人,不敢,27
感觉,喜欢,27
身边,觉得,27
别人,压力,27
焦虑,无法,27
事情,无法,27
别人,学习,27
事情,不想,27
无法,问题,27
大学,现在,27
孩子,别人,27
觉得,经历,27
觉得,经常,27
喜欢,朋友,27
生活,状态,27
工作,想要,27
自己,关系,27
生活,经常,27
生活,总是,27
觉得,人生,27
孩子,一直,27
问题,不想,27
生活,能力,27
觉得,学习,27
环境,现在,27
工作,害怕,27
成绩,没有,27
现在,经常,27
孩子,父母,26
生活,影响,26
需要,压力,26
事情,每天,26
工作,影响,26
希望,不能,26
问题,每天,26
生活,想要,26
学习,生活,26
生活,身体,26
事情,能力,26
焦虑,影响,26
焦虑,如何,26
焦虑,面对,26
生活,经历,26
现在,人生,26
现在,情绪,26
自己,内心,26
一年,工作,26
觉得,情绪,26
别人,经常,26
觉得,担心,26
别人,每天,26
自己,紧张,26
觉得,不敢,26
孩子,希望,26
别人,结果,26
自己,妈妈,26
没有,以后,26
别人,能力,26
感觉,总是,26
改变,生活,25
孩子,不能,25
别人,选择,25
现在,经历,25
别人,害怕,25
问题,担心,25
现在,办法,25
别人,比较,25
现在,担心,25
一直,需要,25
别人,状态,25
觉得,选择,25
问题,比较,25
自己,社会,25
焦虑,情绪,25
焦虑,父母,25
焦虑,经历,25
成绩,工作,25
没有,上班,25
自己,成功,25
生活,未来,25
焦虑,状态,25
改变,现在,25
焦虑,总是,25
生活,父母,25
生活,感到,25
需要,选择,25
最近,工作,25
家庭,现在,25
孩子,喜欢,25
感觉,最近,25
事情,选择,25
情绪,不能,25
自己,不行,25
事情,比较,25
没有,一年,25
感觉,选择,25
没有,有时候,25
事情,情绪,25
没有,在家,25
事情,压力,25
无法,生活,25
觉得,害怕,25
一直,办法,25
自己,严重,25
朋友,不想,25
毕业,现在,25
身边,生活,25
家庭,工作,25
工作,身体,25
工作,不敢,25
自己,一年,25
生活,面对,24
感觉,老师,24
每天,不能,24
感觉,结果,24
工作,领导,24
生活,担心,24
焦虑,喜欢,24
感觉,能力,24
