所属主题,文章数量,特征词,主题强度
Topic0,4047,endearment、medium、system、agree、sorrowing、poor、bring、house、china、power、child、people、middle、isn、totally、human、fast、government、delicious、skin,0.074265
Topic1,5114,china、america、time、life、money、infrastructure、build、freedom、ago、level、country、rich、true、town、built、omg、foreigner、pay、live、camera,0.093845
Topic2,4181,nice、africa、fun、yeah、peter、living、pretty、night、person、haha、stupid、asia、mask、famous、youtube、party、history、accept、southeast、forget,0.076724
Topic3,3740,href、singapore、asian、real、government、street、fake、metro、wrong、company、fancy、term、china、easy、compared、invalid、service、hard、awesome、capital,0.068631
Topic4,5241,chinese、cantonese、china、chicken、dish、people、local、speak、stay、woman、language、eat、food、happy、east、safe、nation、week、mandarin、family,0.096176
Topic5,3516,city、friend、lol、speechless、called、super、top、tour、muslim、society、lived、call、citizen、dear、guide、send、issue、european、guangzhou、love,0.064521
Topic6,6450,china、guangzhou、favorite、glad、wow、subway、chinese、german、live、restaurant、station、visit、modern、train、love、cool、business、english、quality、cuisine,0.11836
Topic7,10183,china、video、country、people、love、chinese、food、american、usa、immigrant、day、job、watching、west、hope、channel、lot、japan、free、hong,0.18686
Topic8,3450,african、india、china、beautiful、population、amazing、rice、indian、future、africa、development、love、walk、south、god、develop、labor、support、visit、fond,0.06331
Topic9,4141,food、western、culture、clean、girl、chinese、building、low、soup、worker、people、view、restaurant、hate、understand、cheap、lovely、hai、style、walking,0.07599
Topic10,4431,quot、black、chinese、feel、white、people、wait、hometown、native、learn、mind、born、china、racist、change、move、malaysia、compare、start、time,0.081312
