Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重
endearment,0.029,china,0.025,nice,0.187,href,0.103,chinese,0.058,city,0.169,china,0.107,china,0.078,african,0.067,food,0.088,quot,0.114
medium,0.029,america,0.023,africa,0.040,singapore,0.052,cantonese,0.051,friend,0.047,guangzhou,0.068,video,0.061,india,0.059,western,0.037,black,0.025
system,0.025,time,0.023,fun,0.031,asian,0.029,china,0.026,lol,0.045,favorite,0.062,country,0.051,china,0.057,culture,0.027,chinese,0.024
agree,0.017,life,0.016,yeah,0.029,real,0.025,chicken,0.026,speechless,0.022,glad,0.018,people,0.045,beautiful,0.050,clean,0.025,feel,0.020
sorrowing,0.016,money,0.016,peter,0.027,government,0.024,dish,0.024,called,0.016,wow,0.017,love,0.029,population,0.034,girl,0.019,white,0.019
poor,0.016,infrastructure,0.013,living,0.023,street,0.024,people,0.024,super,0.016,subway,0.016,chinese,0.024,amazing,0.026,chinese,0.017,people,0.016
bring,0.016,build,0.013,pretty,0.022,fake,0.019,local,0.018,top,0.015,chinese,0.016,food,0.016,rice,0.026,building,0.017,wait,0.013
house,0.015,freedom,0.011,night,0.020,metro,0.017,speak,0.015,tour,0.015,german,0.015,american,0.016,indian,0.024,low,0.015,hometown,0.011
china,0.015,ago,0.011,person,0.017,wrong,0.011,stay,0.014,muslim,0.015,live,0.015,usa,0.014,future,0.023,soup,0.014,native,0.011
power,0.015,level,0.010,haha,0.017,company,0.011,woman,0.014,society,0.010,restaurant,0.013,immigrant,0.012,africa,0.015,worker,0.012,learn,0.011
child,0.014,country,0.009,stupid,0.012,fancy,0.011,language,0.013,lived,0.010,station,0.013,day,0.011,development,0.013,people,0.011,mind,0.011
people,0.013,rich,0.009,asia,0.012,term,0.011,eat,0.013,call,0.010,visit,0.013,job,0.011,love,0.012,view,0.010,born,0.010
middle,0.012,true,0.009,mask,0.012,china,0.011,food,0.013,citizen,0.009,modern,0.012,watching,0.010,walk,0.011,restaurant,0.010,china,0.010
isn,0.012,town,0.008,famous,0.011,easy,0.010,happy,0.013,dear,0.009,train,0.012,west,0.010,south,0.009,hate,0.010,racist,0.009
totally,0.011,built,0.008,youtube,0.010,compared,0.009,east,0.011,guide,0.009,love,0.011,hope,0.009,god,0.009,understand,0.010,change,0.009
human,0.010,omg,0.008,party,0.009,invalid,0.009,safe,0.010,send,0.008,cool,0.010,channel,0.009,develop,0.008,cheap,0.009,move,0.009
fast,0.010,foreigner,0.008,history,0.008,service,0.009,nation,0.010,issue,0.008,business,0.009,lot,0.008,labor,0.008,lovely,0.009,malaysia,0.009
government,0.010,pay,0.008,accept,0.008,hard,0.008,week,0.009,european,0.008,english,0.009,japan,0.008,support,0.008,hai,0.009,compare,0.008
delicious,0.009,live,0.008,southeast,0.008,awesome,0.008,mandarin,0.008,guangzhou,0.008,quality,0.008,free,0.008,visit,0.007,style,0.009,start,0.008
skin,0.009,camera,0.008,forget,0.008,capital,0.008,family,0.008,love,0.007,cuisine,0.008,hong,0.007,fond,0.007,walking,0.009,time,0.008
