主题数,困惑度,一致性
2,-8.41017654867493,0.2748543861872753
3,-8.491375876726767,0.3315315223380697
4,-8.651353357135704,0.32256328542411716
5,-8.751502512272141,0.3008190043604822
6,-8.874410117661453,0.3621743201957639
7,-9.010346468237847,0.3596836049975174
8,-9.224115600502024,0.3523956777134525
9,-9.437596841610755,0.3513035371716918
10,-9.787452395633867,0.38316133528658913
11,-10.331457876764006,0.3959978237199888
12,-11.151652668213385,0.37211908965567336
13,-12.022203364705623,0.36758681642160723
14,-13.356409622504183,0.39324178849226415
