word,tfidf
真的,28.171605806165328
喜欢,26.575253803963992
感觉,19.25686877316481
朋友,12.71742794286383
老师,9.604568579660636
事情,8.627305636863458
利己主义,8.376030679321055
人格,7.221845318627999
讨厌,6.731457215524465
相处,6.579619589364307
确实,6.524394627139984
精致,6.232057491514643
分析,6.122687235762379
工作,6.085093684670717
建议,6.064450890997923
反复,6.060980852984161
符合,5.833439965700494
计划,5.563722636451571
东西,5.513729387504205
真实,5.481904487556538
视频,5.407172936350367
安全感,5.341295675659452
特别,5.184376935936709
好像,4.983780391326044
有人,4.98239473504064
领导,4.8055434159498995
完美主义,4.695191679496334
性格,4.501249822464288
测试,4.488224228773597
那种,4.474320647582428
一点,4.291526319245131
评论,4.283583159681559
改变,4.272897850186646
每次,4.25643524421379
处女座,4.235189845132911
有没有,4.222244226121165
情绪,4.144830612632174
救命,4.126564411351613
生活,3.993115409550534
有时候,3.9425579272394358
迟到,3.8648906023436966
希望,3.86243800779628
理解,3.6765648643163167
不到,3.605060963794903
社交,3.517990161750576
利己,3.5167319123266743
发现,3.4314833992989717
一模一样,3.4236980406401214
情感,3.4072611207744594
能力,3.403421499005272
全中,3.3957856742288977
终于,3.363551197886512
对象,3.354546469023487
摩羯,3.2812759125088546
摆烂,3.1794828687044805
本来,3.1658893988793952
接受,3.153962241344385
做事,3.1417708433464178
害怕,3.1001545614768435
感谢,3.0981336688272423
几年,3.0879674983708854
独立,3.073930263161228
闺蜜,3.0633424542482004
找到,3.021483308411153
一句,3.0199779199598167
我会,3.0184199050777494
巨蟹座,3.0
狮子,3.0
摩羯座,2.9624208055169037
努力,2.9420207789459516
一期,2.9322969584945926
逻辑,2.930816950575978
学习,2.910456767641847
不想,2.8958506927337972
早日康复,2.879981512711187
男朋友,2.879144460109997
辛苦,2.848826992312402
和解,2.8469268709041566
第一句,2.8460902211946215
舒服,2.777852317413855
方式,2.76309166771368
冷漠,2.7457197837966003
时间,2.7334641711375465
世界,2.728841505632438
尝试,2.728110337006707
没错,2.721234502340598
老妈子,2.688746556080771
感受,2.685628691866346
强迫症,2.6800851205152165
解决,2.678498719571831
想法,2.673052337353249
理想,2.6549596531891706
只能,2.6548189994759155
情况,2.6447084770746887
效率,2.636924921260402
安慰,2.632490276629561
身上,2.6314671637443485
射手,2.5406110525568546
休息,2.5187513888131052
好久,2.468781620384318
典型,2.466192997846529
两个,2.4556007629328565
关心,2.435548626949123
区别,2.4008365009188553
标准,2.400348877776858
感情,2.3860844270740955
麻烦,2.383865424331112
做好,2.3817956881664912
事物,2.3791487126415363
第一次,2.3704025844842542
这件,2.364400310208344
独处,2.3348868625573758
照顾,2.3273420440321524
同理,2.3185697656011452
更好,2.317024404852007
金牛座,2.2948781108532295
放过,2.2515468719850653
一年,2.250660961144125
身体,2.242678068900595
控制,2.1959037457234296
有点像,2.1953536380118726
内心,2.174001894457984
共情,2.156719309545319
暴击,2.1468152249234866
细节,2.1372891184718603
规划,2.1287922146587968
白羊,2.1285645053918727
仿佛,2.119851693215656
痛苦,2.1187224158600095
有个,2.1158157619228106
关系,2.113795226373483
交朋友,2.1136607073425875
方法,2.0994621562207536
更新,2.080809069224859
利益,2.067706845933904
想要,2.0442881857410145
是因为,2.0314529898379936
理性,2.0299109881867086
很大,2.007274391162423
两次,2.0038344265504087
狮子座,2.0
经验,1.9955692859029999
雪力,1.9848520056796395
适合,1.976504600984435
电影,1.9762812826995386
敏感,1.9647131455785551
啥时候,1.9611371551368952
不好,1.950091997748926
天秤,1.902403937102035
身边,1.8892314763531912
类型,1.8792431159932175
金牛,1.8626359191285617
测出,1.8571840549248413
算是,1.8353928460172435
谈恋爱,1.8341527306319776
现实,1.8251560069018864
好羡慕,1.8230170887102624
小时,1.8228712749355545
付出,1.8178232384292596
导致,1.8124164253791584
看完,1.7999131875108003
发言,1.7878811528425964
很好,1.7838337642867865
位置,1.7753979583503843
发展,1.7718350261153915
孤独,1.771775673837021
一种,1.7617251318102487
社会,1.757030916897402
介绍,1.7512269510565834
发现自己,1.7488706983415248
无序,1.7371902477654946
焦虑,1.7270147244333391
处女,1.7071067811865475
人生,1.7061080679134053
地方,1.7030468458743184
准确,1.702015393835893
好多,1.6893852238208504
大学,1.6872019161187635
实在,1.68528341277325
经典,1.684983426506057
天蝎座,1.684983426506057
自私,1.6839600758515891
伴侣,1.682410802764501
陪伴,1.6782342892999533
拖沓,1.6750730536223868
分享,1.6716198995430815
合适,1.6661851209808374
办法,1.662527682680706
