主题数,困惑度,一致性
2,-7.450286079371619,0.26271734099024363
3,-7.6011139363363505,0.2665950541967524
4,-7.6994909067498,0.26138362324038544
5,-7.7948086989519725,0.3154911071479887
6,-7.859751153050832,0.2571607684192324
7,-7.917638953660866,0.30340454445504894
8,-7.928212741237245,0.36882245393225965
9,-7.9938772764745405,0.31804482142582274
10,-8.061439377560719,0.3426986242399003
11,-8.163987577582404,0.3386619859835838
12,-8.323383221662295,0.3360685204294324
13,-8.446748893223923,0.3593416918954277
14,-8.551569927928208,0.35998973148015473
