Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重
贡菜,0.047,一点,0.021,直播间,0.040,客服,0.046,不好,0.046,好吃,0.027,果子,0.036,好吃,0.023
第一次,0.035,直播间,0.020,收到,0.020,直播间,0.029,口感,0.020,一点,0.021,收到,0.025,一点,0.018
不好,0.032,客服,0.020,品质,0.018,收到,0.018,直播间,0.019,直播间,0.020,质量,0.021,真的,0.016
东西,0.029,难吃,0.019,坏果,0.016,一分货,0.015,打开,0.016,果子,0.018,三包,0.014,客服,0.015
一袋,0.026,好吃,0.018,开口,0.015,缺斤少两,0.014,退货,0.015,真的,0.017,好多,0.013,很小,0.015
一包,0.016,味道,0.016,好多,0.015,描述,0.014,主播,0.014,质量,0.016,袋子,0.013,直播间,0.014
坏果,0.016,不好,0.015,东西,0.013,皮厚,0.013,发霉,0.014,一包,0.014,打开,0.013,购买,0.014
一点,0.015,包装,0.013,客服,0.012,情况,0.012,商家,0.011,购买,0.014,商家,0.011,发黄,0.014
打开,0.015,商家,0.012,发黄,0.012,黄色,0.012,客服,0.011,客服,0.013,太小,0.011,第一次,0.014
第二次,0.015,颜色,0.011,满意,0.011,不好,0.011,块钱,0.011,不好,0.012,直播间,0.010,收到,0.013
一半,0.011,一包,0.011,不好,0.010,一袋,0.011,收到,0.009,垃圾,0.012,味道,0.010,果肉,0.011
果肉,0.011,每包,0.010,味道,0.009,商家,0.011,真的,0.009,发黄,0.011,主播,0.009,南瓜,0.010
品质,0.010,东西,0.010,特别,0.008,垃圾,0.010,好吃,0.009,东西,0.011,好评,0.008,发霉,0.010
购买,0.010,果壳,0.010,很小,0.007,相符,0.010,品质,0.009,购物,0.011,展示,0.007,样子,0.009
客服,0.009,贡菜,0.010,一点,0.007,一分钱,0.009,一点,0.008,建议,0.011,一点,0.007,第二次,0.009
质量,0.008,解决,0.010,打开,0.007,敷衍,0.009,红薯,0.008,商家,0.010,她家,0.007,菜叶,0.009
回购,0.008,生产日期,0.008,个头,0.007,真的,0.008,黄色,0.007,品质,0.010,客服,0.007,难吃,0.008
味道,0.008,南瓜,0.008,包装,0.007,主播,0.008,难闻,0.007,坏果,0.010,上当,0.007,完整,0.007
本来,0.007,真的,0.008,色素,0.007,东西,0.008,良心,0.006,特别,0.009,不好,0.007,打开,0.007
那种,0.007,新鲜,0.007,牌子,0.007,直播,0.008,发黄,0.006,这家,0.009,东西,0.007,不理,0.007
