word,counts
喜欢,698
真的,473
感觉,365
世界,262
事情,236
人生,224
朋友,214
理解,196
看不到,191
老师,163
形容,162
现实,156
东西,155
找到,151
内心,146
想法,139
工作,138
希望,137
生活,134
视频,133
敏感,125
自我,122
不想,120
別人,119
好像,115
怎麼,113
讨厌,113
挑戰,111
這種,110
不到,110
情绪,109
方式,109
理想,106
一点,105
有时候,102
探索,101
社会,99
痛苦,97
苦惱,96
努力,95
想要,92
特别,91
人格,90
状态,87
思考,87
意义,85
我会,84
挑战,76
沟通,75
相处,74
幻想,73
感受,73
性格,72
能力,72
恋爱,71
那种,70
身边,69
学习,67
开心,67
害怕,67
改变,66
发现,64
确实,63
类型,62
信念,61
接受,61
表达,61
测试,59
不好,59
有人,59
内耗,57
动力,56
社交,55
艺术,55
未来,54
情感,52
活着,52
共情,52
分享,51
说话,51
苦恼,51
兴趣,51
交流,49
感情,49
目标,48
精神,48
怀疑,48
矛盾,47
价值观,47
父母,47
适合,47
感到,46
时间,45
选择,45
环境,44
迷茫,44
一种,44
想象,44
大学,43
办法,43
