聚类数量,轮廓系数
2,0.10455525528220466
3,0.12332806834461632
4,0.14497544679054403
5,0.14861536868705266
6,0.16483371483202539
7,0.20931518840875593
8,0.22582720048798605
9,0.23550700271909425
10,0.24460960770158593
