发文时间,转发,点赞,评论,熵值
2022-01-07,82.0,6582.0,659.0,2.584962500721156
2022-01-10,805.0,47882.0,6064.0,1.584962500721156
2022-01-12,101.0,12022.0,1112.0,2.2516291673878226
2022-01-21,625.0,70305.0,6335.0,2.0
2022-01-28,34.4,4534.8,425.0,2.887067072009434
2022-02-02,53.0,4821.0,573.0,3.0
2022-02-18,504.0,48745.0,3868.0,2.0
2022-02-22,94.0,9439.0,891.0,1.584962500721156
2022-03-06,256.0,33179.0,2969.0,2.807354922057604
2022-03-09,76.0,17477.0,964.0,1.0
2022-03-22,317.0,24717.0,2240.0,2.0
2022-04-01,765.0,37474.0,4653.0,1.584962500721156
2022-04-02,131.0,9978.0,1181.0,2.0
2022-04-07,150.0,11988.0,1310.0,2.807354922057604
2022-04-08,276.0,11388.0,1765.0,1.292481250360578
2022-04-09,207.5,39788.0,3024.0,1.292481250360578
2022-04-12,108.0,12916.0,1226.0,2.584962500721156
2022-04-20,66.0,6282.0,712.0,2.0
2022-04-29,516.0,71022.0,5963.0,1.584962500721156
2022-05-03,407.0,70960.0,5064.0,2.94770277922009
2022-05-06,97.7,12320.3,1154.7,2.8539459630470856
2022-05-09,60.0,6106.0,651.0,1.0
2022-05-18,110.0,17835.5,1387.0,1.660964047443681
2022-05-28,238.0,31383.0,2138.0,3.4312879687701363
2022-06-04,83.0,10402.0,1142.0,1.584962500721156
2022-06-05,239.0,23246.5,2385.0,1.792481250360578
2022-06-11,399.0,66418.0,4332.0,1.584962500721156
2022-06-14,37.0,5812.0,470.0,3.169925001442312
2022-06-18,217.5,14562.0,1214.0,2.19615871138938
2022-06-20,23.5,3893.5,250.0,2.973851389610045
2022-06-21,68.0,6507.0,731.0,2.321928094887362
2022-06-22,143.0,13107.0,1203.0,2.0
2022-07-06,100.0,7071.5,731.5,2.5
2022-07-07,42.0,5063.0,488.0,2.584962500721156
2022-07-13,316.5,27617.5,2553.0,1.792481250360578
2022-07-19,565.0,15949.0,1435.5,0.792481250360578
2022-07-20,30.5,3261.1666666666665,306.6666666666667,2.307254755768515
2022-07-25,239.5,13309.5,1350.5,3.035964047443681
2022-08-03,36.0,5895.0,417.0,2.321928094887362
2022-08-04,95.5,8401.5,1026.5,2.19615871138938
2022-08-05,57.0,7700.0,655.0,2.75
2022-08-06,85.0,11697.0,1197.0,1.584962500721156
2022-08-11,140.0,9506.0,1146.0,4.277613436819114
2022-08-16,201.0,35671.0,2697.0,2.0
2022-08-17,216.0,6216.0,739.0,2.807354922057604
2022-08-23,319.0,21699.0,2720.0,1.584962500721156
2022-08-30,352.0,52723.0,4200.0,2.321928094887362
2022-09-06,109.0,16087.0,1354.0,3.0
2022-09-07,460.0,36183.0,4707.0,2.807354922057604
2022-09-10,75.0,6683.0,610.0,1.584962500721156
2022-09-13,37.0,6577.0,420.0,1.0
2022-09-16,100.0,9131.0,784.0,2.321928094887362
2022-09-17,193.0,16731.0,1491.0,2.321928094887362
2022-09-30,281.0,10381.0,1759.0,2.584962500721156
2022-10-01,465.42857142857144,23783.85714285714,2465.1428571428573,2.051157386777264
2022-10-03,376.0,52442.0,3924.0,3.169925001442312
