发文时间,转发,点赞,评论,熵值
2022-10-04,22.0,3430.3333333333335,263.3333333333333,3.271260397072345
2022-10-11,54.5,6512.0,644.5,2.403677461028802
2022-10-19,98.8,11647.8,1024.2,1.8102422223664658
2022-10-20,401.0,29280.5,3099.5,2.084962500721156
2022-10-21,172.0,14999.4,1198.0,2.259841603677456
2022-10-28,433.0,60014.0,5967.0,2.584962500721156
2022-10-30,392.0,78008.0,4626.0,2.0
2022-10-31,549.0,130744.0,8908.0,2.0
2022-11-02,123.0,5857.0,557.0,1.584962500721156
2022-11-05,137.0,26886.0,2276.0,2.584962500721156
2022-11-07,246.66666666666666,26503.666666666668,2488.0,2.4096062301652936
2022-11-11,274.0,33016.0,3063.0,2.584962500721156
2022-11-14,74.0,7017.0,780.0,2.321928094887362
2022-11-16,906.0,75771.0,6582.0,1.584962500721156
2022-11-20,426.0,53950.0,5542.0,2.807354922057604
2022-11-24,228.0,55013.0,4027.0,3.459431618637298
2022-12-01,185.0,11728.0,1377.0,3.169925001442312
2022-12-02,301.44444444444446,24613.666666666668,3358.8888888888887,2.6682264151700803
2022-12-07,292.0,50081.0,4095.0,2.0
2022-12-09,112.5,17385.5,1674.0,3.1427011094311244
2022-12-12,146.0,27379.0,2392.0,3.321928094887362
2022-12-13,896.7142857142857,21182.0,1975.2857142857142,2.5969234841147317
2022-12-15,337.0,37361.0,3911.0,3.3974309381569223
2022-12-18,472.0,86934.0,5237.0,2.807354922057604
2022-12-19,191.0,30411.5,2945.5,2.5609640474436812
2022-12-20,138.0,26870.0,2856.0,3.418295834054489
2022-12-21,569.0,35206.0,3398.0,1.584962500721156
2022-12-23,136.0,37675.0,3519.0,1.584962500721156
2022-12-24,79.0,10610.0,848.3333333333334,1.1949875002403854
2022-12-25,464.0,70543.0,5228.0,2.94770277922009
2022-12-27,370.0,40207.0,4113.0,1.0
2022-12-28,256.0,37775.0,3812.0,2.0
2022-12-29,79.625,10932.5,964.75,3.9184805266022726
2022-12-31,29.0,4372.5,420.0,1.660964047443681
2023-01-01,101.0,11202.0,739.0,1.0
2023-01-05,94.0,14824.0,1590.5,2.19615871138938
2023-01-07,117.875,11299.75,1132.0,3.8451952041956887
2023-01-09,157.0,21506.0,2186.0,3.0
2023-01-10,92.66666666666667,10637.333333333334,1007.6666666666666,2.8390335134935096
2023-01-11,111.75,11225.5,1362.75,2.4984897394700813
2023-01-18,36.833333333333336,5553.333333333333,594.0,3.4512285254343973
2023-01-19,30.0,5150.6,493.8,3.191450778635314
2023-01-20,32.333333333333336,6615.666666666667,621.3333333333334,3.4498471772354926
2023-01-24,336.6666666666667,30626.666666666668,3213.6666666666665,3.6884701195349527
2023-01-25,72.0,9754.8,1221.2,2.1655504902019738
2023-01-31,372.0,39394.0,4078.0,3.321928094887362
2023-02-01,244.0,35068.0,2630.0,2.0
2023-02-03,374.0,44872.0,4889.0,1.0
2023-02-08,88.0,12975.0,1236.0,2.584962500721156
2023-02-10,95.5,9766.0,919.5,3.3775288506388472
2023-02-11,128.5,18421.5,1861.5,2.6348154370537262
2023-02-13,49.666666666666664,7439.333333333333,622.6666666666666,3.3702016194015467
2023-02-17,273.0,12424.0,1748.0,1.584962500721156
2023-02-21,27.0,3960.0,425.0,2.7091479170272446
2023-02-22,204.33333333333334,8662.0,1416.6666666666667,2.528320833573719
2023-02-23,87.57142857142857,11083.285714285714,1077.857142857143,3.1149871737563033
2023-02-24,179.0,38651.0,3290.0,1.0
2023-02-28,258.0,20909.0,2830.0,3.459431618637298
2023-03-01,90.86666666666666,8043.0,1101.8666666666666,3.3417676030488317
2023-03-02,835.5,40845.5,6299.5,1.9534452978042591
2023-03-08,70.33333333333333,11879.666666666666,840.0,2.2505039438122343
2023-03-09,346.0,19692.0,1696.0,2.584962500721156
2023-03-12,43.5,4747.5,355.5,4.0276412177505945
2023-03-13,15.0,3110.5,310.5,2.160964047443681
2023-03-14,116.0,9997.0,951.0,2.335156819106864
2023-03-15,45.666666666666664,7487.666666666667,675.3333333333334,3.5166172996901945
2023-03-16,465.0,59226.0,4221.0,1.0
2023-03-17,183.0,15270.0,1824.0,3.169925001442312
2023-03-20,197.0,27787.0,3911.0,2.94770277922009
2023-03-22,50.0,5051.0,569.0,1.584962500721156
2023-03-24,61.0,8605.5,767.0,3.1903709926092816
2023-03-28,43.0,5590.0,548.0,3.7004397181410926
2023-03-31,124.0,8170.0,1149.0,3.875
2023-04-01,3801.0,57514.0,5915.0,1.584962500721156
2023-04-02,179.0,17761.0,1961.5,2.3646415084724834
2023-04-03,34.0,5278.0,627.0,3.734521664779752
2023-04-04,44.5,3711.5,401.0,3.253897320099348
2023-04-06,259.3333333333333,12995.333333333334,1985.0,2.0147980397861516
2023-04-09,282.0,11783.0,1405.0,2.321928094887362
2023-04-12,351.5,22834.5,2679.0,2.4217843656153404
2023-04-14,108.0,6850.0,827.0,3.914866303883101
2023-04-16,24.0,4028.0,454.0,2.321928094887362
2023-04-18,103.0,9851.0,1534.0,2.584962500721156
2023-04-20,136.0,10341.0,957.0,2.0
2023-04-22,183.5,18388.0,2302.0,2.2508145836939115
2023-04-24,72.25,6227.25,808.0,4.89683744264027
2023-04-27,302.0,24696.0,2796.0,2.584962500721156
2023-04-30,143.0,21281.0,2396.0,2.584962500721156
2023-05-01,115.0,2580.0,312.0,4.51839711669891
2023-05-04,140.33333333333334,8711.0,1089.0,1.6356301985361725
2023-05-05,239.5,7919.0,622.5,1.292481250360578
2023-05-08,190.0,13793.0,1664.0,3.169925001442312
2023-05-09,156.5,11777.5,1453.5,2.292481250360578
2023-05-10,300.0,29802.0,2895.0,1.0
2023-05-11,0.0,2273.0,61.0,1.584962500721156
2023-05-15,123.5,5138.5,1402.0,2.660964047443681
2023-05-16,87.5,5865.5,702.0,3.8842608295911503
2023-05-19,229.0,22142.0,2003.0,1.584962500721156
2023-05-21,73.0,6667.0,693.0,4.08746284125034
2023-05-23,68.0,7389.0,732.0,3.584962500721156
2023-05-25,1.0,110.0,4.0,0.0
2023-05-26,330.0,28073.0,3304.0,2.321928094887362
2023-05-27,88.0,13086.0,1789.0,4.229871195093384
2023-05-29,28.0,4512.0,449.0,2.75
2023-06-01,42.0,4450.5,481.0,2.564641508472483
2023-06-03,298.5,19128.0,2693.5,2.660964047443681
2023-06-04,87.0,6751.0,912.0,1.0
2023-06-05,16.5,3005.5,232.0,2.8858203181716595
2023-06-07,5.0,1655.0,163.0,2.321928094887362
2023-06-08,167.0,9177.0,1524.0,4.483856189774723
2023-06-09,50.5,6994.5,1000.0,0.0
2023-06-11,162.0,18817.0,3366.0,3.321928094887362
2023-06-13,176.0,20109.0,3002.0,1.584962500721156
2023-06-14,5.0,77.0,2.0,2.5216406363433186
2023-06-15,85.0,6153.0,1065.0,3.0
2023-06-16,277.0,31374.0,5100.0,2.584962500721156
2023-06-20,232.0,14350.0,1652.0,1.584962500721156
2023-06-21,168.0,10345.0,1636.0,1.584962500721156
2023-06-23,226.0,26118.0,5823.0,3.321928094887362
2023-06-29,108.0,14818.0,2017.0,3.321928094887362
