查找条件,发文用户,发文id,发文链接,发文时间,转发,点赞,评论,媒体资源图片,媒体资源视频,含有hashtags,全文,clearn_comment,scores,compound,Negtive,Postive,Neutral,comp_score,entropy_values,主题概率,主题类型
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1674442231887933440,https://twitter.com/13298072/status/1674442231887933440,Thu Jun 29 15:38:32 +0000 2023,108,14818,2017,https://pbs.twimg.com/media/FzzQVYfWcAQR8VJ.jpg,,,"Camp Mode maintains cabin temperature, airflow &amp; interior lighting while you sleep 🏕️ ",camp mode maintains cabin temperature airflow amp interior lighting sleep,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu,3.321928094887362,"[(0, 0.01522954), (1, 0.015155649), (2, 0.9240078), (3, 0.015190721), (4, 0.015228682), (5, 0.015187681)]",2
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1672218014534582277,https://twitter.com/13298072/status/1672218014534582277,Fri Jun 23 12:20:17 +0000 2023,226,26118,5823,,https://twitter.com/Tesla/status/1672218014534582277/video/1,,"Solar Roof is built to withstand any weather, including heavy storms &amp; hail ",solar roof built withstand weather including heavy storm amp hail,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}",0.0772,0.0,0.126,0.874,pos,3.321928094887362,"[(0, 0.015247272), (1, 0.015284691), (2, 0.9238032), (3, 0.015188281), (4, 0.015191229), (5, 0.015285311)]",2
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1671524134449209344,https://twitter.com/13298072/status/1671524134449209344,Wed Jun 21 14:23:03 +0000 2023,168,10345,1636,https://pbs.twimg.com/media/FzJyV0MXgAMQrb2.jpg,,,The most American-made cars are S3XY → ,americanmade car xy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu,1.584962500721156,"[(0, 0.041699488), (1, 0.042313926), (2, 0.04184387), (3, 0.79043007), (4, 0.041721653), (5, 0.04199101)]",3
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1671142588135473152,https://twitter.com/13298072/status/1671142588135473152,Tue Jun 20 13:06:55 +0000 2023,232,14350,1652,,,,Supercharger network 🤝 @Rivian owners,supercharger network owner,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu,1.584962500721156,"[(0, 0.041743714), (1, 0.041763388), (2, 0.042012244), (3, 0.791042), (4, 0.041683234), (5, 0.041755468)]",3
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1669810072409481223,https://twitter.com/13298072/status/1669810072409481223,Fri Jun 16 20:51:59 +0000 2023,277,31374,5100,https://pbs.twimg.com/media/FyxbaF9WcAEd5El.jpg,,,Produced our 10 millionth 4680 cell at Giga Texas this week! ,produced millionth cell giga texas week,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu,2.584962500721156,"[(0, 0.024049975), (1, 0.65282387), (2, 0.023830159), (3, 0.2514796), (4, 0.023836756), (5, 0.023979636)]",1
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1669412400850771969,https://twitter.com/13298072/status/1669412400850771969,Thu Jun 15 18:31:47 +0000 2023,85,6153,1065,https://pbs.twimg.com/media/FyrxuqjWwBIZ_iK.jpg,,,Total cost of ownership for a Tesla is lower than that of comparable gas vehicles ,total cost ownership tesla lower comparable gas vehicle,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}",-0.296,0.239,0.0,0.761,neg,3.0,"[(0, 0.018599622), (1, 0.018598301), (2, 0.018764837), (3, 0.018558605), (4, 0.018757742), (5, 0.9067209)]",5
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1668675404939272196,https://twitter.com/13298072/status/1668675404939272196,Wed Jun 14 17:09:25 +0000 2023,5,77,2,,,,@harsimranbansal 200mi by US EPA standard &amp; 275km by WLTP EU standard,mi epa standard amp wltp eu standard,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu,2.5216406363433186,"[(0, 0.8956817), (1, 0.020887684), (2, 0.020883812), (3, 0.020844044), (4, 0.020844832), (5, 0.020857958)]",0
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1668675404939272196,https://twitter.com/13298072/status/1668675404939272196,Tue Jun 13 17:43:13 +0000 2023,176,20109,3002,,,,"Within 15 mins, you can recover up to 200 miles/275 km",min recover mile,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu,1.584962500721156,"[(0, 0.04181576), (1, 0.04170722), (2, 0.0416691), (3, 0.7912888), (4, 0.041707344), (5, 0.04181181)]",3
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1667910869613703169,https://twitter.com/13298072/status/1667910869613703169,Sun Jun 11 15:05:14 +0000 2023,162,18817,3366,,,,Sentry Mode enables your Tesla to monitor &amp; record potential threats while parked,sentry mode enables tesla monitor amp record potential threat parked,"{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.5267}",-0.5267,0.274,0.0,0.726,neg,3.321928094887362,"[(0, 0.015223477), (1, 0.015232688), (2, 0.9239633), (3, 0.015179946), (4, 0.015214759), (5, 0.01518583)]",2
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1667297481019781123,https://twitter.com/13298072/status/1667297481019781123,Fri Jun 09 22:31:18 +0000 2023,34,5916,650,,https://twitter.com/Tesla/status/1533512936395784195/video/1,,,nan,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu,0.0,"[(0, 0.08333497), (1, 0.083335325), (2, 0.08333488), (3, 0.08333509), (4, 0.0835286), (5, 0.58313113)]",5
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1667297481019781123,https://twitter.com/13298072/status/1667297481019781123,Fri Jun 09 22:27:51 +0000 2023,67,8073,1350,https://pbs.twimg.com/media/FyNuOMIX0Ac-mCJ.jpg,,,,nan,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu,0.0,"[(0, 0.08333498), (1, 0.08333534), (2, 0.08333489), (3, 0.0833351), (4, 0.08352863), (5, 0.5831311)]",5
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1666808948643471360,https://twitter.com/13298072/status/1666808948643471360,Thu Jun 08 14:06:35 +0000 2023,167,9177,1524,https://pbs.twimg.com/media/FyGx5qsaQAU4i0-.jpg,,,"Full $7,500 federal tax credit applies to all new Model 3 & Y—meaning Model 3 starts at $32,740

Factor in fuel/maintenance savings & total cost of ownership vs comparable ICE vehicles drops to well below $30k.

If eligible, state & local incentives can drop price as low as $20k in certain states!

→ https://t.co/g5jAtpc3tq",federal tax credit applies model meaning model start factor fuel maintenance saving total cost ownership comparable ice vehicle drop eligible local incentive drop price low,"{'neg': 0.201, 'neu': 0.637, 'pos': 0.162, 'compound': -0.0516}",-0.0516,0.201,0.162,0.637,neg,4.483856189774723,"[(4, 0.9677853)]",4
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1666515996226494490,https://twitter.com/13298072/status/1666515996226494490,Wed Jun 07 18:42:31 +0000 2023,5,1655,163,,,,Additional incentives available if you fall below certain income levels → ,additional incentive fall income level,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.3612,0.0,0.385,0.615,pos,2.321928094887362,"[(0, 0.02778012), (1, 0.027780417), (2, 0.027780067), (3, 0.8609734), (4, 0.027890448), (5, 0.027795503)]",3
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1665738182904643586,https://twitter.com/13298072/status/1665738182904643586,Mon Jun 05 15:11:45 +0000 2023,5,1560,100,,,,"This works with both phone key &amp; key fob, whichever you prefer to use",phone key amp key fob whichever prefer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu,2.5216406363433186,"[(0, 0.8957322), (1, 0.020838058), (2, 0.020883767), (3, 0.020843742), (4, 0.020844521), (5, 0.020857688)]",0
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1665738182904643586,https://twitter.com/13298072/status/1665738182904643586,Mon Jun 05 15:11:45 +0000 2023,28,4451,364,,,,"Enable walk-away lock for your Tesla to automatically unlock/lock as you walk up to or away from the vehicle

Controls &gt; Locks &gt; Walk-Away Door Lock",enable walkaway lock tesla automatically unlock lock walk vehicle control gt lock gt walkaway door lock,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4939}",0.4939,0.0,0.231,0.769,pos,3.25,"[(1, 0.9507685)]",1
(from:Tesla) until:2023-06-30 since:2022-01-01,13298072,1665406471570440193,https://twitter.com/13298072/status/1665406471570440193,Sun Jun 04 17:13:39 +0000 2023,87,6751,912,,https://twitter.com/Tesla/status/1665406471570440193/video/1,,Track pack now available → ,track pack,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu,1.0,"[(0, 0.056068916), (1, 0.055735555), (2, 0.05620124), (3, 0.72030914), (4, 0.055920243), (5, 0.055764887)]",3
