,Topic number,coherence_values
0,2,0.2372506543530391
1,3,0.3040811746017356
2,4,0.32168781800623303
3,5,0.3572227932852171
4,6,0.3559120545617176
5,7,0.32859239990864175
6,8,0.369513747318694
7,9,0.3593904012610293
8,10,0.3405608537344377
9,11,0.3763376641939281
10,12,0.36841884999445607
11,13,0.3587535242321775
12,14,0.3621496891909784
13,15,0.33327805836567315
