Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重,Topic14-主题词,Topic14-权重
heart,0.177,church,0.080,history,0.069,terrible,0.065,water,0.058,burn,0.047,sad,0.242,time,0.051,heartbreaking,0.181,watch,0.071,tragedy,0.034,cathedral,0.072,cathedral,0.155,god,0.103,parisian,0.032
paris,0.042,week,0.061,building,0.046,france,0.065,news,0.058,horrible,0.041,day,0.066,cry,0.041,notredame,0.072,dame,0.029,saved,0.032,flame,0.057,notre,0.143,absolutely,0.082,fire,0.028
breaking,0.036,catholic,0.047,loss,0.041,burning,0.053,firefighter,0.054,watching,0.041,hope,0.048,awful,0.038,paris,0.042,cathedral,0.027,image,0.030,paris,0.053,dame,0.143,omg,0.038,forever,0.028
hurt,0.036,holy,0.042,beautiful,0.039,people,0.041,fire,0.050,fuck,0.030,ago,0.031,tragic,0.038,de,0.042,live,0.027,treasure,0.029,dame,0.047,fire,0.112,love,0.036,muslim,0.027
architecture,0.032,devastating,0.035,art,0.026,happening,0.035,trump,0.038,fire,0.022,history,0.029,pray,0.027,history,0.034,notre,0.026,window,0.024,notre,0.046,paris,0.077,feel,0.034,destruction,0.023
break,0.029,fire,0.030,heartbroken,0.024,memory,0.025,notredame,0.032,praying,0.022,safe,0.023,tonight,0.026,fucking,0.031,moment,0.022,cathedral,0.023,fire,0.042,notredame,0.028,happen,0.030,attack,0.022
beautiful,0.024,cathedral,0.020,french,0.023,paris,0.021,paris,0.030,eye,0.020,beautiful,0.022,visited,0.023,wow,0.029,ground,0.020,photo,0.022,notredame,0.026,spire,0.021,sending,0.022,life,0.022
history,0.023,france,0.018,lost,0.019,cathedral,0.020,blaze,0.027,don,0.019,rebuild,0.017,city,0.023,tear,0.018,fire,0.020,paris,0.020,engulfed,0.024,collapse,0.019,people,0.021,landmark,0.021
gothic,0.021,french,0.016,amp,0.018,loss,0.019,flying,0.024,history,0.018,hour,0.016,paris,0.020,damn,0.018,thinking,0.019,fire,0.017,spire,0.022,burning,0.012,humanity,0.020,cathedral,0.016
broken,0.019,accident,0.014,war,0.017,car,0.018,cathedral,0.024,tower,0.018,save,0.015,europe,0.016,built,0.018,top,0.018,artwork,0.017,prayer,0.022,news,0.012,event,0.016,lot,0.015
person,0.018,friday,0.014,piece,0.017,cultural,0.017,tanker,0.021,macron,0.017,tweet,0.014,left,0.016,minute,0.015,burning,0.017,coming,0.017,historic,0.016,video,0.010,friend,0.016,heard,0.014
visit,0.018,easter,0.013,flame,0.016,civilization,0.017,bad,0.021,bell,0.016,hear,0.014,rebuilt,0.014,cath,0.013,chance,0.017,glass,0.014,iconic,0.016,breaking,0.009,lord,0.016,thread,0.014
piece,0.018,dame,0.013,people,0.016,dame,0.017,real,0.019,bombing,0.016,happened,0.014,picture,0.013,losing,0.013,story,0.016,inside,0.014,burn,0.013,massive,0.008,hunchback,0.015,singing,0.014
beauty,0.014,notre,0.012,devastating,0.014,notre,0.017,shit,0.019,burning,0.015,building,0.013,shock,0.013,ash,0.012,lucky,0.016,rose,0.014,collapsed,0.013,live,0.007,blessed,0.014,notredame,0.014
literally,0.013,amp,0.012,france,0.014,nation,0.015,bbc,0.018,stand,0.015,structure,0.012,trip,0.013,twitter,0.012,rise,0.014,news,0.013,french,0.013,iconic,0.006,sick,0.013,horrific,0.014
amazing,0.012,christian,0.011,survived,0.014,jihadi,0.014,heritage,0.016,faith,0.015,incredibly,0.012,people,0.012,burn,0.012,upset,0.013,jesus,0.013,caught,0.011,france,0.006,devastating,0.013,stopped,0.013
art,0.011,pretty,0.010,true,0.014,summer,0.014,tackle,0.014,imagine,0.015,month,0.011,honestly,0.012,drale,0.012,paris,0.012,interior,0.013,roof,0.011,huge,0.006,prayer,0.013,idea,0.013
painful,0.011,stupid,0.009,iconic,0.013,hold,0.013,president,0.011,completely,0.015,burned,0.011,site,0.011,build,0.012,roof,0.012,beautiful,0.013,people,0.010,photo,0.006,shocked,0.013,upsetting,0.012
love,0.010,gonna,0.008,paris,0.013,prayer,0.012,damage,0.011,shame,0.014,devastated,0.011,notredame,0.011,hell,0.010,view,0.012,priceless,0.012,fall,0.010,started,0.006,noo,0.012,christianity,0.012
quasimodo,0.010,burning,0.008,culture,0.013,news,0.011,advice,0.011,president,0.014,amp,0.011,awe,0.010,list,0.010,front,0.011,relic,0.012,sadness,0.009,historic,0.006,st,0.012,french,0.011
