Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重
小时,0.017,地方,0.012,公园,0.010,真的,0.015,东西,0.014,时间,0.015,感觉,0.010
孩子,0.011,性价比,0.010,只能,0.010,游客,0.012,地方,0.012,服务,0.008,地方,0.007
上海,0.011,不高,0.010,游客,0.008,上海,0.012,真的,0.011,感觉,0.008,真的,0.006
排队,0.011,上海,0.008,游览,0.007,小时,0.009,门票,0.010,餐厅,0.008,项目,0.006
时间,0.009,东西,0.007,上海,0.007,地方,0.009,一点,0.009,公园,0.008,很大,0.006
真的,0.009,电影,0.006,不错,0.006,疫情,0.009,拍照,0.008,只能,0.008,携程,0.006
记得,0.008,天气,0.006,疫情,0.006,感觉,0.009,收费,0.007,路线,0.007,时间,0.005
两个,0.008,吃饭,0.006,东西,0.005,买票,0.008,景色,0.007,小时,0.006,小时,0.005
动物,0.007,品种,0.006,表演,0.005,服务,0.008,玻璃,0.007,票价,0.006,收费,0.005
分钟,0.007,价格,0.006,工作人员,0.005,不值,0.008,风景,0.007,真的,0.006,园区,0.005
地方,0.007,体验,0.006,几个,0.005,很差,0.007,稍微,0.007,体验,0.005,不到,0.005
游客,0.006,商店,0.006,节假日,0.005,磁悬浮列车,0.007,上海,0.007,位于,0.005,公园,0.005
工作人员,0.006,小孩,0.006,建筑,0.005,项目,0.005,影响,0.006,建成,0.005,拍照,0.005
好玩,0.006,差点,0.006,发现,0.005,不好,0.005,反光,0.006,一圈,0.005,入园,0.005
项目,0.006,排队,0.005,设施,0.005,性价比,0.005,动物园,0.006,动物园,0.005,门口,0.005
拍照,0.006,保安,0.005,装修,0.005,只能,0.005,分钟,0.006,建设,0.005,地平线,0.005
网上,0.005,景色,0.005,海洋,0.005,上海市,0.005,排队,0.005,售票,0.005,一趟,0.005
朋友,0.005,设施,0.004,维护,0.005,拍照,0.005,时间,0.005,电梯,0.005,场所,0.005
博物馆,0.005,工作人员,0.004,动物,0.005,体验,0.004,发现,0.005,三个,0.005,期望,0.005
不太,0.005,几个,0.004,是因为,0.005,店铺,0.004,人太多,0.005,东方明珠,0.005,顾村,0.005
