主题数,困惑度
2,-6.943451092021013
3,-6.974617710079343
4,-7.037251505415926
5,-7.062403058343463
6,-7.095149526630252
7,-7.12448533021421
8,-7.16868967900994
9,-7.222864694770519
10,-7.257212186180135
11,-7.287231971051104
12,-7.2654196800510515
13,-7.314273178171513
14,-7.355167350055496
