word,counts
味道,1591
送餐,1583
好吃,1534
小时,1243
不错,1234
送到,882
速度,742
外卖,650
难吃,607
送来,571
时间,543
太慢,542
配送,424
百度,423
态度,395
电话,341
小哥,309
卷饼,304
快递,298
餐员,294
米饭,288
东西,287
感觉,280
辛苦,257
包装,256
订单,231
师傅,201
煎饼,201
商家,192
菜品,185
牛肉,182
订餐,180
送达,180
店里,178
肘子,178
口味,177
喜欢,177
实在,175
下单,166
希望,161
骑士,158
满意,152
套餐,148
好评,137
备注,137
鸡肉,133
服务态度,131
不到,130
送货,128
送错,128
筷子,126
取消,123
饭菜,122
店家,122
饮料,121
客服,118
还好,116
发票,116
没法,115
肥肉,111
恶心,111
辣椒,110
失望,110
垃圾,109
好喝,108
袋子,107
饺子,107
挺快,104
挺好吃,103
咖啡,102
皮蛋,102
准时,98
人员,96
新鲜,96
没给,96
土豆丝,95
餐厅,93
肉丝,93
提前,92
披萨,92
菜量,91
蔬菜,87
土豆,86
南瓜,85
分量,83
干净,83
价格,81
米线,79
评价,78
质量,77
豆腐脑,77
只能,76
可乐,76
不想,75
没送,75
推荐,74
盒子,74
建议,73
鸡蛋,73
收到,73
