word,counts
一楼,1175
北京,753
活动,429
北农,427
中国,392
学校,375
百度,346
希望,331
工作,321
农学院,316
日本,260
同学,256
专业,254
发展,252
学院,233
朋友,233
社团,228
学生,223
大学,210
校园,206
喜欢,205
大学生,197
管理,187
参加,177
啊啊啊,175
谢谢,170
时间,162
交流,160
魔方,156
提供,141
动物,136
新生,135
报名,134
哈哈哈,130
公司,128
支持,128
有没有,127
考生,127
乐队,119
高校,119
服务,115
组织,113
啪啪,112
图片,110
机会,104
学习,104
医学,104
推荐,102
能力,102
自行车,102
微信,101
视频,100
国际,98
电话,98
老师,95
全国,94
录取,93
理科,92
农村,91
音乐,90
兴趣,88
信息,88
请问,88
免费,87
代表,84
宣传,79
地址,79
企业,78
教育,78
招聘,78
生活,77
照片,77
文科,77
文化,76
一本,76
建设,76
社会,75
参与,75
期待,74
关注,73
一辆,73
找到,72
经济,72
演出,72
相关,70
发现,70
注册,70
技术,70
内容,70
成绩,69
地点,68
培训,68
网站,67
加油,66
举办,66
军训,66
山东,66
一张,66
论坛,66
经验,66
