Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重
宽敞,0.021,宽敞,0.022
空间,0.016,后排,0.019
后排,0.015,空间,0.017
舒服,0.012,不错,0.015
设计,0.011,设计,0.014
座椅,0.011,座椅,0.010
不错,0.010,外观,0.009
驾驶,0.009,舒服,0.009
新能源,0.009,动力,0.008
真的,0.009,内饰,0.008
喜欢,0.009,驾驶,0.008
很大,0.008,喜欢,0.008
油耗,0.008,真的,0.007
动力,0.008,储物,0.007
内饰,0.008,车内,0.007
外观,0.007,很大,0.006
颜值,0.007,前排,0.006
车内,0.007,颜值,0.005
够用,0.007,油耗,0.005
配置,0.006,足够,0.004
