Regressor,MAE,Explained Variance,R2 Score
GBDT,1.281945577611532,0.9580969509400541,0.9570465786201872
Random Forest,1.0472202323951691,0.9656528078113609,0.9652204279878275
XGBoost,1.4131198356339938,0.9330837344004326,0.9325549283517869
LightGBM,1.079244291498822,0.9691554983213063,0.9681041548924062
