Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重
ukraine,0.019,russia,0.023,russian,0.024,russia,0.036
russia,0.015,ukraine,0.018,ukraine,0.013,ukraine,0.020
russian,0.012,war,0.017,ukrainian,0.012,country,0.018
nazi,0.012,putin,0.017,force,0.010,people,0.014
ukrainian,0.010,stand,0.011,people,0.009,nato,0.013
putin,0.010,support,0.009,arm,0.006,war,0.010
support,0.009,russian,0.008,russia,0.006,support,0.009
people,0.008,ukrainian,0.007,army,0.004,russian,0.009
war,0.008,western,0.007,missile,0.004,ukrainian,0.007
amp,0.007,weapon,0.006,report,0.004,fight,0.006
india,0.005,leader,0.006,soldier,0.004,peace,0.006
fuck,0.005,west,0.006,control,0.004,time,0.006
fight,0.005,nato,0.005,american,0.004,usa,0.006
nato,0.005,evil,0.004,war,0.004,amp,0.005
president,0.005,medium,0.004,defense,0.004,sanction,0.004
civilian,0.005,attack,0.004,region,0.004,stand,0.004
europe,0.004,crime,0.004,day,0.004,god,0.004
destroy,0.004,lol,0.004,kill,0.003,president,0.004
regime,0.004,humanity,0.004,truth,0.003,win,0.004
force,0.004,amp,0.004,land,0.003,love,0.004
