Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重
missile,0.009,people,0.021,die,0.021,russian,0.052,ukraine,0.041
morning,0.007,ukraine,0.015,der,0.016,ukrainian,0.033,russia,0.025
fab,0.005,amp,0.014,und,0.015,ukraine,0.027,war,0.025
ucrania,0.005,ukrainian,0.012,child,0.010,force,0.017,putin,0.019
del,0.005,putin,0.011,ist,0.008,kill,0.010,support,0.018
night,0.005,war,0.010,den,0.007,city,0.010,russian,0.013
los,0.004,life,0.009,mit,0.007,kyiv,0.010,people,0.013
kyiv,0.004,love,0.009,ukraine,0.007,military,0.010,amp,0.010
hit,0.004,hope,0.009,von,0.007,destroy,0.009,country,0.009
guerra,0.004,day,0.009,nicht,0.006,soldier,0.009,ukrainian,0.008
con,0.004,watch,0.007,refugee,0.006,army,0.009,invasion,0.008
strike,0.004,don,0.007,ein,0.006,civilian,0.008,president,0.008
che,0.004,time,0.007,auf,0.006,region,0.008,stand,0.007
shell,0.004,family,0.007,ich,0.005,troop,0.007,crime,0.006
una,0.004,stay,0.007,wir,0.005,video,0.007,time,0.005
para,0.004,live,0.007,das,0.005,arm,0.006,nato,0.005
local,0.004,brave,0.006,auch,0.004,report,0.006,call,0.005
building,0.003,heart,0.006,hat,0.004,attack,0.006,sanction,0.005
por,0.003,save,0.005,safe,0.004,play,0.006,join,0.005
video,0.003,hero,0.005,sich,0.004,day,0.006,europe,0.004
