聚类数量,轮廓系数
2,0.0748328528968591
3,0.10056925971824159
4,0.10791327601435247
5,0.13185811087876892
6,0.14986536427529049
7,0.16786754720266092
8,0.18774438037384195
9,0.18565776234580308
10,0.2173957946062676
