,准确率,准确率_score,精确率,精确率_score,召回率,召回率_score,F1值,F1值_score
0,SVM准确率,0.8725490196078431,SVM精确率,0.8703962703962703,SVM召回率,0.8081774264382959,SVMF1值,0.8304139069612958
1,逻辑回归准确率,0.9215686274509803,逻辑回归精确率,0.8879392212725546,逻辑回归召回率,0.8837944664031622,逻辑回归F1值,0.8836683925301895
