聚类数量,轮廓系数
2,0.029357005901901902
3,0.039767219811962136
4,0.05864785962588938
5,0.07561751228027706
6,0.08418827574763263
7,0.07536410528125803
8,0.08009228078425455
9,0.09643927620013633
10,0.09966066022065537
