主题数,困惑度,一致性
2,-8.098357190953616,0.39061084488060865
3,-8.222422508521554,0.41895006184918165
4,-8.317930464467503,0.4404907297584537
5,-8.406973126142008,0.40866423462172924
6,-8.478499849837439,0.4189012420791858
7,-8.559989264659642,0.4528516495017037
8,-8.549489277085716,0.48388294639053164
9,-8.636054582611642,0.4358112786257205
10,-8.681950068288092,0.48266908427101585
11,-8.757272981371583,0.4832671252658278
12,-8.797733938749252,0.502865226527686
13,-8.919383711300755,0.4813791411752233
14,-8.985953106146182,0.4914249046536921
