主题数,困惑度,一致性
2,-7.4053476520515655,0.2945085939241252
3,-7.496277525602448,0.32561476541111894
4,-7.494285320949256,0.34744342705913656
5,-7.600253298390027,0.3413247170439727
6,-7.67298761165436,0.3294041425301122
7,-7.733907781843345,0.38053498219042575
8,-7.820157653793207,0.33945892687550233
9,-7.840767453335859,0.3610585926856856
10,-7.911202874620018,0.383249982111994
11,-7.9592014803158575,0.37720004514400146
12,-8.018063814459921,0.3541533687941631
13,-8.112852459204673,0.36149990616321115
14,-8.20614145062446,0.3882209162194484
